 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0), 4+0:0:1:0:3, 4+0:0:0:0:3, 3+0:0:1:0:1, 5+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:2, 3+0:0:0:0:0, 2+0:0:0:0:0, 48+0:0:2:0:18
A minor (0), 3+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:1:0:2, 6+0:0:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:4, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:1, 45+0:0:2:0:22
F major (1b), 5+0:4:1:0:4, 5+0:4:0:0:4, 2+0:0:1:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:2:0:0:2, 4+0:3:0:0:3, 3+0:2:0:0:2, 3+0:2:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 49+0:17:2:0:18
G major (1#), 3+0:0:1:0:3, 3+0:0:0:0:2, 4+0:3:1:0:1, 5+0:5:0:0:2, 5+0:3:0:0:1, 6+0:5:0:0:2, 2+0:1:0:0:0, 0+0:0:0:0:0, 5+0:3:0:0:1, 4+0:3:0:0:1, 2+0:1:0:0:0, 2+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:2, 4+0:3:0:0:0, 3+0:2:0:0:0, 52+0:29:2:0:19
D minor (1b), 5+0:4:1:0:2, 4+0:3:0:0:1, 2+0:0:1:0:2, 5+0:0:0:0:3, 5+0:0:0:0:2, 5+0:0:0:0:3, 2+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:1:0:0:1, 2+0:2:0:0:0, 4+0:3:0:0:1, 3+0:2:0:0:1, 3+0:2:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 54+0:17:2:0:21
E minor (1#), 2+0:0:1:0:1, 2+0:0:0:0:0, 5+0:3:1:0:3, 6+0:5:0:0:5, 5+0:3:0:0:3, 6+0:5:0:0:5, 3+0:1:0:0:1, 0+0:0:0:0:0, 5+0:3:0:0:3, 4+0:2:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:2:0:0:2, 4+0:2:0:0:2, 51+0:26:2:0:27
Bb major (2b), 6+0:4:1:0:5, 6+0:4:0:0:5, 2+0:0:1:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:2, 4+0:3:0:0:4, 4+0:2:0:0:3, 4+0:2:0:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 49+0:17:2:0:24
D major (2#), 3+0:0:1:0:2, 2+0:0:0:0:1, 4+0:3:1:0:2, 6+0:5:0:0:3, 6+0:3:0:0:2, 7+0:5:0:0:3, 2+0:1:0:0:1, 1+0:0:0:0:0, 6+0:3:0:0:1, 5+0:2:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:1, 57+0:27:2:0:21
G minor (2b), 5+0:3:1:0:3, 5+0:3:0:0:2, 3+0:0:1:0:1, 3+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:0, 3+0:2:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 53+0:14:2:0:19
B minor (2#), 3+0:0:1:0:1, 3+0:0:0:0:0, 4+0:3:1:0:4, 6+0:5:0:0:5, 6+0:3:0:0:4, 7+0:5:0:0:6, 2+0:1:0:0:2, 1+0:0:0:0:0, 6+0:3:0:0:4, 6+0:2:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:3, 3+0:2:0:0:3, 61+0:26:2:0:35
Eb major (3b), 6+0:4:1:0:6, 7+0:4:0:0:6, 1+0:0:1:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:0:0:3, 5+0:3:0:0:4, 4+0:2:0:0:4, 4+0:2:0:0:4, 0+0:0:0:0:0, 0+0:0:0:0:0, 46+0:17:2:0:30
