 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
C major (0), 2+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+1:0:0:0:3, 4+0:0:0:0:3, 8+1:0:0:0:3, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:3, 9+1:0:0:0:3, 1+0:0:0:0:0, 92+3:0:0:0:42
A minor (0), 2+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:0, 9+1:0:0:0:5, 3+0:0:0:0:1, 8+1:0:0:0:4, 2+0:0:0:0:1, 4+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:3, 4+0:0:0:0:0, 3+0:0:0:0:3, 3+0:0:0:0:0, 4+0:0:0:0:3, 4+0:0:0:0:0, 3+0:0:0:0:3, 3+0:0:0:0:0, 9+1:0:0:0:5, 1+0:0:0:0:0, 86+3:0:0:0:41
A minor mel (0), 3+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 9+1:0:0:0:5, 2+0:0:0:0:1, 9+1:0:0:0:4, 2+0:0:0:0:1, 4+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:3, 4+0:0:1:0:1, 3+0:0:0:0:3, 2+0:0:0:0:0, 4+0:0:0:0:3, 4+0:0:1:0:1, 3+0:0:0:0:3, 2+0:0:0:0:0, 9+1:0:0:0:5, 1+0:0:0:0:0, 84+3:0:2:0:43
C major blues (0), 4+0:0:0:0:1, 6+0:0:0:0:0, 3+0:0:0:0:0, 9+1:0:0:0:3, 6+0:0:0:0:3, 9+1:0:0:0:3, 5+0:0:0:0:3, 4+0:0:0:0:1, 5+0:0:0:0:3, 4+0:0:0:0:1, 5+0:0:0:0:3, 4+0:0:0:0:1, 5+0:0:0:0:3, 4+0:0:0:0:1, 5+0:0:0:0:2, 3+0:0:0:0:1, 6+0:0:0:0:3, 4+0:0:0:0:1, 5+0:0:0:0:2, 3+0:0:0:0:1, 6+0:0:0:0:3, 9+1:0:0:0:3, 1+0:0:0:0:0, 115+3:0:0:0:42
A minor blues (0), 4+0:0:0:0:1, 6+0:0:0:0:0, 3+0:0:0:0:0, 9+1:0:0:0:3, 6+0:0:0:0:3, 9+1:0:0:0:3, 5+0:0:0:0:3, 4+0:0:0:0:1, 5+0:0:0:0:3, 4+0:0:0:0:1, 5+0:0:0:0:3, 4+0:0:0:0:1, 5+0:0:0:0:3, 4+0:0:0:0:1, 5+0:0:0:0:2, 3+0:0:0:0:1, 6+0:0:0:0:3, 4+0:0:0:0:1, 5+0:0:0:0:2, 3+0:0:0:0:1, 6+0:0:0:0:3, 9+1:0:0:0:3, 1+0:0:0:0:0, 115+3:0:0:0:42
C dorian (0), 3+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+1:0:0:0:3, 3+0:0:0:0:3, 9+1:0:0:0:3, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:1:0:3, 3+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:1:0:3, 3+0:0:0:0:1, 3+0:0:0:0:3, 9+1:0:0:0:3, 1+0:0:0:0:0, 90+3:0:2:0:44
C phrygian (0), 3+0:0:0:0:1, 6+0:0:0:0:0, 2+0:0:1:0:1, 8+1:0:0:0:3, 5+0:0:0:0:3, 7+1:0:0:0:3, 4+0:0:0:0:3, 3+0:0:0:0:1, 4+0:0:0:0:3, 3+0:0:0:0:1, 4+0:0:0:0:3, 3+0:0:0:0:1, 4+0:0:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:3, 8+1:0:0:0:3, 1+0:0:0:0:0, 93+3:0:1:0:43
C lydian (0), 3+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+1:0:0:0:3, 3+0:0:0:0:3, 9+1:0:0:0:3, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:1:0:3, 3+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:1:0:3, 3+0:0:0:0:1, 3+0:0:0:0:3, 9+1:0:0:0:3, 1+0:0:0:0:0, 90+3:0:2:0:44
C mixolydian (0), 3+0:0:0:0:1, 6+0:0:0:0:0, 2+0:0:1:0:1, 8+1:0:0:0:3, 5+0:0:0:0:3, 7+1:0:0:0:3, 4+0:0:0:0:3, 3+0:0:0:0:1, 4+0:0:0:0:3, 3+0:0:0:0:1, 4+0:0:0:0:3, 3+0:0:0:0:1, 4+0:0:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:3, 8+1:0:0:0:3, 1+0:0:0:0:0, 93+3:0:1:0:43
C aeolian (0), 2+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+1:0:0:0:3, 4+0:0:0:0:3, 8+1:0:0:0:3, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:3, 9+1:0:0:0:3, 1+0:0:0:0:0, 92+3:0:0:0:42
C locrian (0), 3+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:1:0:1, 7+1:0:0:0:3, 6+0:0:0:0:3, 6+1:0:0:0:3, 5+0:0:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 6+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 6+0:0:0:0:3, 7+1:0:0:0:3, 0+0:0:0:0:0, 90+3:0:1:0:43
F major (1b), 3+0:0:0:0:1, 6+0:0:0:0:0, 2+0:0:1:0:1, 8+1:0:0:0:3, 5+0:0:0:0:3, 7+1:0:0:0:3, 4+0:0:0:0:3, 3+0:0:0:0:1, 4+0:0:0:0:3, 3+0:0:0:0:1, 4+0:0:0:0:3, 3+0:0:0:0:1, 4+0:0:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:3, 8+1:0:0:0:3, 1+0:0:0:0:0, 93+3:0:1:0:43
G major (1#), 3+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+1:0:0:0:3, 3+0:0:0:0:3, 9+1:0:0:0:3, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:1:0:3, 3+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:1:0:3, 3+0:0:0:0:1, 3+0:0:0:0:3, 9+1:0:0:0:3, 1+0:0:0:0:0, 90+3:0:2:0:44
D minor (1b), 3+0:1:0:0:1, 5+0:1:0:0:0, 2+0:1:1:0:1, 8+1:2:0:0:3, 5+0:4:0:0:2, 8+1:2:0:0:3, 4+0:3:0:0:2, 3+0:0:0:0:2, 4+0:3:0:0:2, 3+0:0:0:0:2, 4+0:3:0:0:2, 3+0:0:0:0:2, 4+0:3:0:0:2, 3+0:0:0:0:2, 2+0:2:0:0:1, 4+0:0:0:0:2, 4+0:3:0:0:1, 3+0:0:0:0:2, 2+0:2:0:0:1, 4+0:0:0:0:2, 4+0:3:0:0:1, 8+1:2:0:0:3, 1+0:0:0:0:0, 91+3:35:1:0:39
E minor (1#), 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+1:5:0:0:5, 2+0:0:0:0:0, 9+1:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:1:0:1, 4+0:3:0:0:3, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:1:0:1, 4+0:3:0:0:3, 2+0:0:0:0:0, 9+1:5:0:0:5, 0+0:0:0:0:0, 81+3:40:2:0:42
D minor mel (1b), 2+0:1:0:0:1, 4+0:1:0:0:0, 2+0:1:0:0:0, 9+1:2:0:0:3, 4+0:4:0:0:2, 9+1:2:0:0:3, 3+0:3:0:0:2, 4+0:0:0:0:2, 3+0:3:0:0:2, 4+0:0:0:0:2, 3+0:3:0:0:2, 4+0:0:0:0:2, 3+0:3:0:0:2, 4+0:0:0:0:2, 2+0:2:0:0:1, 4+0:0:0:0:2, 3+0:3:0:0:1, 4+0:0:0:0:2, 2+0:2:0:0:1, 4+0:0:0:0:2, 3+0:3:0:0:1, 9+1:2:0:0:3, 1+0:0:0:0:0, 90+3:35:0:0:38
E minor mel (1#), 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 9+1:5:0:0:5, 2+0:0:0:0:0, 10+1:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 1+0:0:1:0:1, 5+0:3:0:0:3, 1+0:0:0:0:0, 4+0:4:0:0:4, 1+0:0:1:0:1, 5+0:3:0:0:3, 1+0:0:0:0:0, 9+1:5:0:0:5, 0+0:0:0:0:0, 79+3:40:2:0:42
F major blues (1b), 4+0:1:0:0:1, 6+0:2:0:0:2, 3+0:0:0:0:0, 9+1:2:0:0:2, 6+0:4:0:0:4, 8+1:2:0:0:2, 5+0:3:0:0:3, 4+0:0:0:0:0, 5+0:3:0:0:3, 4+0:0:0:0:0, 5+0:3:0:0:3, 4+0:0:0:0:0, 5+0:3:0:0:3, 4+0:0:0:0:0, 5+0:2:0:0:2, 3+0:0:0:0:0, 7+0:4:0:0:4, 4+0:0:0:0:0, 5+0:2:0:0:2, 3+0:0:0:0:0, 7+0:4:0:0:4, 9+1:2:0:0:2, 1+0:0:0:0:0, 116+3:37:0:0:37
G major blues (1#), 4+0:0:0:0:1, 6+0:1:0:0:0, 3+0:1:0:0:0, 9+1:4:0:0:4, 5+0:0:0:0:3, 10+1:3:0:0:4, 4+0:0:0:0:3, 4+0:3:0:0:2, 4+0:0:0:0:3, 4+0:3:0:0:2, 4+0:0:0:0:3, 4+0:3:0:0:2, 4+0:0:0:0:3, 4+0:3:0:0:2, 4+0:0:0:0:1, 4+0:3:0:0:1, 5+0:0:0:0:2, 4+0:3:0:0:2, 4+0:0:0:0:1, 4+0:3:0:0:1, 5+0:0:0:0:2, 9+1:4:0:0:4, 1+0:1:0:0:0, 109+3:35:0:0:46
D minor blues (1b), 4+0:1:0:0:1, 6+0:2:0:0:2, 3+0:0:0:0:0, 9+1:2:0:0:2, 6+0:4:0:0:4, 8+1:2:0:0:2, 5+0:3:0:0:3, 4+0:0:0:0:0, 5+0:3:0:0:3, 4+0:0:0:0:0, 5+0:3:0:0:3, 4+0:0:0:0:0, 5+0:3:0:0:3, 4+0:0:0:0:0, 5+0:2:0:0:2, 3+0:0:0:0:0, 7+0:4:0:0:4, 4+0:0:0:0:0, 5+0:2:0:0:2, 3+0:0:0:0:0, 7+0:4:0:0:4, 9+1:2:0:0:2, 1+0:0:0:0:0, 116+3:37:0:0:37
E minor blues (1#), 4+0:0:0:0:1, 6+0:1:0:0:0, 3+0:1:0:0:0, 9+1:4:0:0:4, 5+0:0:0:0:3, 10+1:3:0:0:4, 4+0:0:0:0:3, 4+0:3:0:0:2, 4+0:0:0:0:3, 4+0:3:0:0:2, 4+0:0:0:0:3, 4+0:3:0:0:2, 4+0:0:0:0:3, 4+0:3:0:0:2, 4+0:0:0:0:1, 4+0:3:0:0:1, 5+0:0:0:0:2, 4+0:3:0:0:2, 4+0:0:0:0:1, 4+0:3:0:0:1, 5+0:0:0:0:2, 9+1:4:0:0:4, 1+0:1:0:0:0, 109+3:35:0:0:46
F dorian (1b), 2+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+1:0:0:0:3, 4+0:0:0:0:3, 8+1:0:0:0:3, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:3, 9+1:0:0:0:3, 1+0:0:0:0:0, 92+3:0:0:0:42
G dorian (1#), 3+0:1:0:0:1, 3+0:2:0:0:0, 2+0:2:0:0:0, 9+1:5:0:0:4, 3+0:0:0:0:3, 10+1:4:0:0:4, 3+0:0:0:0:3, 4+0:4:0:0:2, 3+0:0:0:0:3, 4+0:4:0:0:2, 3+0:0:0:0:3, 4+0:4:0:0:2, 3+0:0:0:0:3, 4+0:4:0:0:2, 2+0:0:1:0:2, 4+0:3:0:0:1, 2+0:0:0:0:2, 4+0:4:0:0:2, 2+0:0:1:0:2, 4+0:3:0:0:1, 2+0:0:0:0:2, 9+1:5:0:0:4, 1+0:1:0:0:0, 88+3:46:2:0:48
F phrygian (1b), 3+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:1:0:1, 7+1:0:0:0:3, 6+0:0:0:0:3, 6+1:0:0:0:3, 5+0:0:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 6+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 6+0:0:0:0:3, 7+1:0:0:0:3, 0+0:0:0:0:0, 90+3:0:1:0:43
G phrygian (1#), 2+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+1:0:0:0:3, 4+0:0:0:0:3, 8+1:0:0:0:3, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:3, 9+1:0:0:0:3, 1+0:0:0:0:0, 92+3:0:0:0:42
F lydian (1b), 2+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+1:0:0:0:3, 4+0:0:0:0:3, 8+1:0:0:0:3, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:3, 9+1:0:0:0:3, 1+0:0:0:0:0, 92+3:0:0:0:42
