 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, rowcost
C major (0),  ,  ,  ,  , 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0,  ,  , 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 40+0:0:0:0:0
A minor (0),  ,  ,  ,  , 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0,  ,  , 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 45+0:0:0:0:5
F major (1b),  ,  ,  ,  , 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0,  ,  , 0+0:0:0:0:0, 1+0:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 30+0:0:1:0:1
G major (1#),  ,  ,  ,  , 0+0:0:0:0:0, 2+0:2:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:3:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0,  ,  , 0+0:0:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:1, 2+0:2:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:2:0:0:0, 1+0:1:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:1:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:2:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 37+0:26:0:0:2
D minor (1b),  ,  ,  ,  , 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 1+0:1:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 0+0:0:0:0:0, 2+0:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 1+0:1:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:0, 1+0:1:0:0:0,  ,  , 0+0:0:0:0:0, 2+0:1:0:0:0, 2+0:2:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 1+0:1:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 34+0:13:1:0:4
E minor (1#),  ,  ,  ,  , 1+0:0:0:0:0, 3+0:2:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:2:0:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 2+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 48+0:7:0:0:7
Bb major (2b),  ,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0,  ,  , 0+0:0:0:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 32+0:0:1:0:2
D major (2#),  ,  ,  ,  , 0+0:0:0:0:0, 3+0:2:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:2:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 2+0:1:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0,  ,  , 0+0:0:0:0:0, 2+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 3+0:2:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0,  ,  , 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:2:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 41+0:20:0:0:3
G minor (2b),  ,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0,  ,  , 0+0:0:0:0:0, 2+0:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 1+0:1:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:0, 2+0:1:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 29+0:5:1:0:3
B minor (2#),  ,  ,  ,  , 0+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0,  ,  , 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 31+0:6:0:0:12
