 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, rowcost
C major (0), 0+0:0:0:0:0, 7+0:0:1:2:3, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+2:0:1:1:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:3, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:2:1:3, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:3, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 57+2:0:10:6:18
A minor (0), 0+0:0:0:0:0, 7+0:0:1:2:4, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 7+2:0:1:1:3, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:4, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 0+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:2:1:4, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:4, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 0+0:0:0:0:0, 4+0:0:0:0:2, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 79+2:0:10:6:31
A minor mel (0), 0+0:0:0:0:0, 7+0:0:1:2:4, 3+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 6+2:0:1:1:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:4, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 1+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:2:1:4, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:4, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 1+0:0:0:0:0, 5+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 99+2:0:10:6:31
C major blues (0), 2+0:0:0:0:0, 7+0:0:1:2:3, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 8+1:0:2:1:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:2:1:3, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:2:1:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:2:1:3, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 119+1:0:11:6:19
A minor blues (0), 2+0:0:0:0:0, 7+0:0:1:2:3, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 8+1:0:2:1:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:2:1:3, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:2:1:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:2:1:3, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 119+1:0:11:6:19
C dorian (0), 0+0:0:0:0:0, 7+0:0:1:2:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 6+2:0:1:1:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:3, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:2:1:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:3, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 77+2:0:10:6:18
C phrygian (0), 1+0:0:0:0:0, 7+0:0:1:2:3, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 8+1:0:2:1:3, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:2:1:3, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 60+1:0:11:6:19
C lydian (0), 0+0:0:0:0:0, 7+0:0:1:2:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 6+2:0:1:1:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:3, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:2:1:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:3, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 77+2:0:10:6:18
C mixolydian (0), 1+0:0:0:0:0, 7+0:0:1:2:3, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 8+1:0:2:1:3, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:2:1:3, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 60+1:0:11:6:19
C aeolian (0), 0+0:0:0:0:0, 7+0:0:1:2:3, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+2:0:1:1:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:3, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:2:1:3, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:2:1:3, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 57+2:0:10:6:18
