 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, rowcost
E minor (1#), 6+0:2:0:0:2, 6+0:4:1:0:4, 4+0:2:0:0:2, 5+0:3:0:0:3, 6+0:6:1:0:6, 9+0:6:2:0:6, 4+0:2:0:0:2, 9+0:5:1:0:5, 3+0:2:0:0:2, 6+0:5:1:0:5, 4+0:2:0:0:2, 5+0:3:0:0:3, 5+0:3:0:0:3, 6+0:4:0:0:4, 6+0:4:1:0:4, 84+0:53:7:0:53
D minor mel (1b), 4+0:0:0:0:0, 5+0:0:1:0:2, 3+0:0:0:0:1, 4+0:0:0:0:1, 6+0:0:1:0:4, 7+0:0:2:0:4, 3+0:0:0:0:1, 7+0:0:1:0:3, 3+0:0:0:0:0, 6+0:0:1:0:3, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:2, 5+0:0:1:0:2, 68+0:0:7:0:25
E minor mel (1#), 5+0:2:0:0:2, 7+0:4:1:0:4, 5+0:2:0:0:2, 6+0:3:0:0:3, 6+0:6:1:0:6, 9+0:6:2:0:6, 5+0:2:0:0:2, 9+0:5:1:0:5, 4+0:2:0:0:2, 7+0:5:1:0:5, 5+0:2:0:0:2, 6+0:3:0:0:3, 6+0:3:0:0:3, 6+0:4:0:0:4, 7+0:4:1:0:4, 93+0:53:7:0:53
F major blues (1b), 6+0:1:0:0:1, 4+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:1, 8+0:0:2:0:2, 3+0:0:0:0:0, 7+0:0:1:0:1, 3+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:1, 64+0:1:7:0:8
G major blues (1#), 5+0:1:0:0:0, 6+0:3:1:0:1, 4+0:1:0:0:1, 5+0:2:0:0:0, 6+0:5:1:0:3, 8+0:5:2:0:3, 4+0:1:0:0:1, 8+0:4:1:0:2, 4+0:1:0:0:0, 7+0:4:1:0:2, 4+0:1:0:0:0, 5+0:2:0:0:0, 5+0:2:0:0:0, 5+0:3:0:0:2, 6+0:3:1:0:1, 82+0:38:7:0:16
D minor blues (1b), 6+0:1:0:0:1, 4+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:1, 8+0:0:2:0:2, 3+0:0:0:0:0, 7+0:0:1:0:1, 3+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:1, 64+0:1:7:0:8
E minor blues (1#), 5+0:1:0:0:0, 6+0:3:1:0:1, 4+0:1:0:0:1, 5+0:2:0:0:0, 6+0:5:1:0:3, 8+0:5:2:0:3, 4+0:1:0:0:1, 8+0:4:1:0:2, 4+0:1:0:0:0, 7+0:4:1:0:2, 4+0:1:0:0:0, 5+0:2:0:0:0, 5+0:2:0:0:0, 5+0:3:0:0:2, 6+0:3:1:0:1, 82+0:38:7:0:16
F dorian (1b), 5+0:0:0:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 7+0:0:2:0:3, 2+0:0:0:0:0, 7+0:0:1:0:1, 2+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:1:0:1, 59+0:0:7:0:12
G dorian (1#), 4+0:2:0:0:0, 6+0:4:1:0:1, 4+0:2:0:0:1, 5+0:3:0:0:0, 6+0:6:1:0:3, 8+0:6:2:0:3, 4+0:2:0:0:1, 8+0:5:1:0:2, 4+0:2:0:0:0, 7+0:5:1:0:2, 4+0:2:0:0:0, 5+0:3:0:0:0, 5+0:3:0:0:0, 5+0:4:0:0:2, 6+0:4:1:0:1, 81+0:53:7:0:16
F phrygian (1b), 3+0:0:0:0:1, 2+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 5+0:0:2:0:3, 2+0:0:0:0:0, 5+0:0:1:0:1, 0+0:0:0:0:0, 3+0:0:1:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:1:0:1, 33+0:0:7:0:12
