 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
C major (0), C minor (3b), F minor (4b), Bb minor (5b), Bb major (2b), F major (1b), F minor (4b), C minor (3b), G major (1#), G major (1#), G major (1#), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C minor (3b), C major (0)
A minor (0), C minor (3b), F minor (4b), Bb minor (5b), G minor (2b), E minor (1#), A minor (0), C major (0), D major (2#), D major (2#), B minor (2#), E minor (1#), C major (0), C minor (3b), C major (0), C major (0), C minor (3b), C major (0)
F major (1b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b), F minor (4b), F major (1b), D major (2#), D major (2#), D major (2#), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C minor (3b), C major (0)
G major (1#), Bb major (2b), Bb minor (5b), Bb minor (5b), G minor (2b), E minor (1#), C minor (3b), C major (0), G major (1#), D major (2#), D major (2#), G major (1#), G major (1#), C minor (3b), C major (0), C major (0), C minor (3b), C major (0)
D minor (1b), F major (1b), F minor (4b), Bb minor (5b), G minor (2b), D minor (1b), F minor (4b), F major (1b), D major (2#), D major (2#), D major (2#), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C minor (3b), D minor (1b)
E minor (1#), G minor (2b), Bb minor (5b), Bb minor (5b), G minor (2b), E minor (1#), A minor (0), C major (0), G major (1#), B minor (2#), B minor (2#), E minor (1#), G major (1#), C minor (3b), G major (1#), G major (1#), C minor (3b), C major (0)
Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b), Eb major (3b), C minor (3b), G minor (2b), G major (1#), G major (1#), G major (1#), C major (0), C minor (3b), C major (0), C major (0), Eb major (3b), Bb major (2b)
D major (2#), F major (1b), F minor (4b), Bb minor (5b), G minor (2b), E minor (1#), A minor (0), C major (0), D major (2#), D major (2#), D major (2#), G major (1#), G major (1#), C minor (3b), G major (1#), G major (1#), C minor (3b), C major (0)
G minor (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), G minor (2b), E minor (1#), C minor (3b), C minor (3b), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), C minor (3b), G major (1#), G major (1#), C minor (3b), C minor (3b)
B minor (2#), F major (1b), F minor (4b), Bb minor (5b), G minor (2b), E minor (1#), E minor (1#), G major (1#), D major (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), A minor (0), E minor (1#), E minor (1#), A minor (0), A minor (0)
Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), G minor (2b), G minor (2b), G major (1#), C major (0), C major (0), C minor (3b), C major (0), C major (0), C minor (3b), Eb major (3b)
A major (3#), C major (0), A minor (0), F# major (6#), F# minor (3#), E major (4#), A minor (0), C major (0), D major (2#), D major (2#), D major (2#), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C minor (3b), C major (0)
C minor (3b), C minor (3b), F minor (4b), Bb minor (5b), G minor (2b), G minor (2b), Eb major (3b), C minor (3b), G minor (2b), G major (1#), G major (1#), C major (0), C major (0), C minor (3b), C major (0), C major (0), C minor (3b), C minor (3b)
F# minor (3#), A minor (0), A major (3#), F# major (6#), F# minor (3#), F# major (6#), A major (3#), A minor (0), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), A minor (0), E minor (1#), E minor (1#), A minor (0), A minor (0)
Ab major (4b), Ab major (4b), Db major (5b), Db major (5b), Ab minor (7b), F minor (4b), Ab major (4b), C minor (3b), G major (1#), D major (2#), D major (2#), G major (1#), C major (0), C minor (3b), C major (0), C major (0), Eb major (3b), Eb major (3b)
E major (4#), E minor (1#), E major (4#), C# major (7#), F# minor (3#), E major (4#), E minor (1#), G major (1#), D major (2#), D major (2#), B minor (2#), E minor (1#), E minor (1#), A minor (0), E minor (1#), E minor (1#), A minor (0), A minor (0)
F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), Bb major (2b), F major (1b), F minor (4b), C minor (3b), G minor (2b), D minor (1b), F major (1b), C major (0), C major (0), C minor (3b), C major (0), C major (0), C minor (3b), C minor (3b)
C# minor (4#), Bb major (2b), Bb minor (5b), C# major (7#), F# minor (3#), E major (4#), E minor (1#), G major (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), F# minor (3#)
Db major (5b), Ab major (4b), Db major (5b), Db major (5b), Bb major (2b), F minor (4b), Ab major (4b), Eb major (3b), G minor (2b), G major (1#), G major (1#), G major (1#), C major (0), C minor (3b), C major (0), C major (0), Eb major (3b), Ab major (4b)
B major (5#), B minor (2#), B major (5#), C# major (7#), F# minor (3#), F# major (6#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E major (4#), F# major (6#)
Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), F minor (4b), F minor (4b), C minor (3b), G minor (2b), G minor (2b), G minor (2b), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C minor (3b), F minor (4b)
G# minor (5#), Bb major (2b), Bb minor (5b), C# major (7#), F# minor (3#), B major (5#), F minor (4b), F major (1b), D major (2#), B minor (2#), B minor (2#), E minor (1#), G major (1#), C minor (3b), G major (1#), G major (1#), C minor (3b), C major (0)
Gb major (6b), Ab major (4b), Db major (5b), Db major (5b), Cb major (7b), F minor (4b), Ab major (4b), Eb major (3b), G minor (2b), G major (1#), G major (1#), C major (0), C major (0), C minor (3b), C major (0), C major (0), Eb major (3b), Eb minor (6b)
