 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
Eb major (3b), 0+0:0:0:0:0, 2+0:0:1:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:2, 0+0:0:0:0:0, 6+0:3:0:0:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:1:0:0:1, 3+0:0:1:0:0, 2+0:0:0:0:1, 5+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:2:0:1, 1+0:0:0:0:0, 4+0:1:2:0:1, 0+0:0:0:0:0, 48+0:6:6:0:15
A major (3#), 4+0:2:0:0:2, 7+0:5:1:0:4, 5+0:3:0:0:2, 5+0:4:0:0:3, 5+0:2:0:0:2, 4+0:0:0:0:0, 4+0:2:0:0:1, 4+0:1:0:0:1, 6+0:3:0:0:2, 6+0:4:0:0:3, 5+0:2:0:0:1, 5+0:2:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:1, 7+0:2:0:0:1, 8+0:5:1:0:4, 7+0:4:0:0:3, 5+0:2:0:0:2, 4+0:3:0:0:2, 6+0:4:0:0:3, 4+0:2:0:0:2, 9+0:5:1:1:5, 4+0:2:0:0:2, 9+0:5:1:1:5, 3+0:2:0:0:2, 132+0:67:4:2:54
C minor (3b), 0+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+0:3:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 4+0:1:1:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:1:0:0:0, 5+0:1:2:0:2, 1+0:1:0:0:0, 5+0:1:2:0:2, 0+0:0:0:0:0, 57+0:9:6:0:11
F# minor (3#), 4+0:2:0:0:3, 7+0:5:1:0:6, 5+0:2:0:0:3, 5+0:4:0:0:5, 5+0:2:0:0:4, 5+0:0:0:0:2, 4+0:2:0:0:3, 4+0:1:0:0:3, 6+0:3:0:0:5, 6+0:4:0:0:5, 5+0:2:0:0:3, 5+0:1:0:0:3, 3+0:0:0:0:2, 4+0:1:0:0:3, 7+0:2:0:0:5, 8+0:5:1:0:6, 7+0:4:0:0:6, 5+0:2:0:0:4, 4+0:3:0:0:4, 6+0:4:0:0:5, 4+0:2:0:0:3, 9+0:5:1:1:7, 4+0:2:0:0:3, 9+0:5:1:1:7, 3+0:2:0:0:3, 134+0:65:4:2:103
Ab major (4b), 1+0:0:0:0:0, 1+0:0:1:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:0:0:3, 0+0:0:0:0:0, 6+0:3:0:0:5, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:1:0:0:2, 2+0:0:1:0:0, 2+0:0:0:0:1, 4+0:0:0:0:3, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:2:0:1, 1+0:0:0:0:0, 3+0:1:2:0:1, 0+0:0:0:0:0, 46+0:6:6:0:22
E major (4#), 5+0:2:0:0:2, 7+0:5:1:0:5, 5+0:2:0:0:2, 5+0:4:0:0:4, 5+0:2:0:0:2, 5+0:0:0:0:0, 4+0:2:0:0:2, 4+0:1:0:0:1, 6+0:3:0:0:3, 6+0:4:0:0:4, 6+0:2:0:0:2, 6+0:1:0:0:1, 3+0:0:0:0:0, 5+0:1:0:0:1, 7+0:2:0:0:2, 8+0:5:1:0:5, 7+0:4:0:0:4, 5+0:2:0:0:2, 4+0:3:0:0:3, 7+0:4:0:0:4, 4+0:2:0:0:2, 9+0:5:1:1:6, 4+0:2:0:0:2, 9+0:5:1:1:6, 3+0:2:0:0:2, 139+0:65:4:2:67
F minor (4b), 2+0:0:0:0:0, 2+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 7+0:3:0:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:1:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:1:1:2, 2+0:0:0:0:0, 4+0:2:1:1:2, 1+0:0:0:0:0, 65+0:8:4:2:10
C# minor (4#), 5+0:2:0:0:4, 7+0:5:1:0:7, 6+0:2:0:0:4, 5+0:4:0:0:5, 5+0:2:0:0:5, 6+0:0:0:0:3, 4+0:2:0:0:4, 4+0:2:1:0:3, 6+0:3:0:0:5, 6+0:4:0:0:6, 6+0:2:0:0:5, 6+0:1:0:0:4, 3+0:0:0:0:2, 6+0:1:0:0:4, 7+0:2:0:0:6, 8+0:5:1:0:7, 7+0:4:0:0:6, 6+0:2:0:0:4, 4+0:3:0:0:4, 7+0:4:0:0:6, 4+0:2:0:0:4, 9+0:5:1:1:8, 4+0:2:0:0:4, 9+0:5:1:1:8, 3+0:2:0:0:3, 143+0:66:5:2:121
Db major (5b), 2+0:0:0:0:1, 2+0:0:1:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:4, 1+0:0:0:0:0, 6+0:3:0:0:5, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:3, 4+0:0:0:0:3, 4+0:1:0:0:2, 3+0:0:1:0:0, 1+0:0:0:0:1, 4+0:0:0:0:3, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:1:2:0:1, 2+0:0:0:0:0, 4+0:1:2:0:1, 0+0:0:0:0:0, 61+0:6:6:0:29
B major (5#), 5+0:2:0:0:2, 7+0:5:1:0:6, 5+0:2:0:0:2, 5+0:4:0:0:4, 5+0:2:0:0:3, 6+0:0:0:0:1, 4+0:2:0:0:2, 5+0:1:0:0:2, 6+0:3:0:0:4, 6+0:4:0:0:5, 6+0:2:0:0:3, 7+0:1:0:0:2, 4+0:0:0:0:1, 6+0:1:0:0:2, 8+0:2:0:0:3, 8+0:5:1:0:6, 7+0:4:0:0:5, 6+0:2:0:0:3, 4+0:3:0:0:4, 7+0:4:0:0:5, 4+0:2:0:0:2, 9+0:5:1:1:7, 4+0:2:0:0:2, 9+0:5:1:1:7, 3+0:2:0:0:2, 146+0:65:4:2:85
