 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 3+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 4+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 24+0:0:2:0:2
A minor (0), 3+0:0:0:0:2, 2+0:0:0:0:1,  ,  , 5+0:0:1:0:3, 3+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:1:0:2, 2+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 29+0:0:2:0:12
A minor mel (0), 4+0:0:0:0:2, 3+0:0:0:0:1,  ,  , 6+0:0:1:0:3, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:1:0:2, 3+0:0:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:1, 39+0:0:2:0:12
C major blues (0), 5+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 5+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 36+0:0:2:0:2
A minor blues (0), 5+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 5+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 36+0:0:2:0:2
C dorian (0), 4+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 5+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 34+0:0:2:0:2
C phrygian (0), 2+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 3+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 16+0:0:2:0:2
C lydian (0), 4+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 5+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 34+0:0:2:0:2
C mixolydian (0), 2+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 3+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 16+0:0:2:0:2
C aeolian (0), 3+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 4+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 24+0:0:2:0:2
