name,KSgt,KSest,notes,err,success
1p64c,0,-1,549,7,98.72
2RfYc,0,-2,615,20,96.75
3RfYc,0,-2,678,13,98.08
3zn4c,0,-2,1441,37,97.43
6Cbwc,0,-3,743,26,96.50
73bwc,0,-5,952,23,97.58
7RfYc,0,-5,833,14,98.32
7XTyc,0,-2,787,18,97.71
9RfYc,0,-4,540,5,99.07
9THwc,,0,501,24,95.21
BRfYc,0,-2,665,12,98.20
D3fYc,,0,682,7,98.97
FRfYc,0,-5,690,134,80.58
GRfYc-Shaw-Nuff,0,-2,782,13,98.34
KRfYc,0,1,665,10,98.50
LRfYc,0,-4,782,7,99.10
N3fYc,,0,689,16,97.68
N8swc,0,-2,1150,29,97.48
Nqn4c,0,-1,549,5,99.09
PRfYc,0,-1,675,15,97.78
Pq3yc,0,-4,650,28,95.69
Q6Ryc,0,-4,798,11,98.62
QRfYc,,0,529,9,98.30
Qrqyc,0,-1,623,24,96.15
Rln4c,0,-4,669,9,98.65
S1swc,0,-3,449,12,97.33
S5VYc,0,-1,1106,19,98.28
SRfYc,0,-2,707,13,98.16
V3fYc,0,-1,1371,44,96.79
WG3yc,0,-5,788,29,96.32
WRfYc,0,-5,811,17,97.90
WS64c,,0,681,22,96.77
cXbwc,0,-4,983,23,97.66
gRfYc-Segment,0,-5,976,31,96.82
lTXyc,0,-3,519,16,96.92
mRfYc,0,-3,791,10,98.74
mTHyc,0,-2,500,12,97.60
myn4c,,0,1145,30,97.38
nRfYc,0,-2,645,28,95.66
nvJyc,0,-1,748,10,98.66
rCn4c,0,-1,667,13,98.05
rRfYc,0,-1,579,6,98.96
t66yc,0,-1,517,9,98.26
tCfYc,0,-2,1201,29,97.59
tRfYc,,-1,685,27,96.06
vRfYc,0,-3,674,9,98.66
wkTyc,,0,736,45,93.89
wv3wc,0,-4,1102,65,94.10
xRfYc,0,-2,732,4,99.45
yp3wc,0,-1,1198,21,98.25
,50,8,38548,1060,nan
,,16,,,97.25
