 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0), 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 7+1:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:0:0:4, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:3, 41+1:0:0:0:12
A minor (0), 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 8+1:0:0:0:3, 2+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 50+1:0:0:0:14
A minor mel (0), 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 7+1:0:0:0:3, 1+0:0:0:0:0, 5+0:0:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:1, 46+1:0:0:0:14
C major blues (0), 4+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+1:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:0:0:4, 3+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:3, 59+1:0:0:0:12
A minor blues (0), 4+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+1:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:0:0:4, 3+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:3, 59+1:0:0:0:12
C dorian (0), 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 6+1:0:0:0:2, 1+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:4, 1+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:3, 37+1:0:0:0:12
C phrygian (0), 4+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+1:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:4, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:3, 45+1:0:0:0:12
C lydian (0), 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 6+1:0:0:0:2, 1+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:4, 1+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:3, 37+1:0:0:0:12
C mixolydian (0), 4+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+1:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:4, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:3, 45+1:0:0:0:12
C aeolian (0), 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 7+1:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:0:0:4, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:3, 41+1:0:0:0:12
C locrian (0), 4+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+1:0:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:0:0:4, 3+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:0:0:3, 43+1:0:0:0:12
F major (1b), 4+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+1:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:4, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:3, 45+1:0:0:0:12
G major (1#), 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 6+1:0:0:0:2, 1+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:4, 1+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:3, 37+1:0:0:0:12
D minor (1b), 5+0:2:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:1, 5+1:2:0:0:1, 3+0:2:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 5+0:4:0:0:2, 3+0:2:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:3:0:0:1, 47+1:17:0:0:11
E minor (1#), 1+0:0:0:0:0, 4+0:2:0:0:2, 2+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:2, 5+2:2:0:0:2, 0+0:0:0:0:0, 5+0:3:0:0:3, 2+0:2:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 5+0:3:0:0:3, 2+0:2:0:0:2, 3+0:0:0:0:0, 39+2:18:0:0:18
D minor mel (1b), 4+0:2:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:0, 2+0:0:0:0:1, 6+1:2:0:0:1, 2+0:2:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:0, 0+0:0:0:0:0, 4+0:4:0:0:2, 2+0:2:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:3:0:0:1, 43+1:17:0:0:11
E minor mel (1#), 2+0:0:0:0:0, 4+0:2:0:0:2, 2+0:2:0:0:2, 2+0:0:0:0:0, 4+0:2:0:0:2, 4+2:2:0:0:2, 0+0:0:0:0:0, 6+0:3:0:0:3, 2+0:2:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 6+0:3:0:0:3, 2+0:2:0:0:2, 2+0:0:0:0:0, 41+2:18:0:0:18
F major blues (1b), 5+0:2:0:0:2, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 7+1:3:0:0:3, 3+0:2:0:0:2, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 7+0:5:0:0:5, 3+0:2:0:0:2, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:4:0:0:4, 58+1:20:0:0:20
G major blues (1#), 5+0:0:0:0:1, 4+0:1:0:0:0, 2+0:1:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 7+1:2:0:0:1, 3+0:0:0:0:1, 5+0:2:0:0:0, 2+0:1:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:3, 3+0:0:0:0:1, 5+0:2:0:0:0, 2+0:1:0:0:0, 5+0:0:0:0:2, 60+1:11:0:0:9
