 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
C locrian (0), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 45+0:0:1:0:4
F major (1b), 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 42+0:0:1:0:4
G major (1#), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 74+0:0:1:0:4
D minor (1b), 1+0:0:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:2, 2+0:1:0:0:1, 3+0:1:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:1:0:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:2, 2+0:1:0:0:1, 1+0:0:0:0:0, 63+0:5:1:0:19
E minor (1#), 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:3:0:0:3, 6+0:4:0:0:4, 4+0:3:0:0:3, 4+0:1:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:1, 4+0:2:0:0:2, 5+0:1:0:0:1, 3+0:2:0:0:2, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:5:1:0:5, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:3:0:0:3, 6+0:4:0:0:4, 4+0:3:0:0:3, 4+0:1:0:0:1, 1+0:0:0:0:0, 88+0:42:1:0:42
D minor mel (1b), 2+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:2, 6+0:0:0:0:2, 4+0:0:0:0:2, 3+0:1:0:0:1, 3+0:1:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:2, 6+0:0:0:0:2, 4+0:0:0:0:2, 3+0:1:0:0:1, 1+0:0:0:0:0, 77+0:5:1:0:19
E minor mel (1#), 4+0:1:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:1, 5+0:3:0:0:3, 7+0:4:0:0:4, 5+0:3:0:0:3, 5+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 5+0:2:0:0:2, 4+0:1:0:0:1, 4+0:2:0:0:2, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+0:5:1:0:5, 4+0:1:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:1, 5+0:3:0:0:3, 7+0:4:0:0:4, 5+0:3:0:0:3, 5+0:1:0:0:1, 2+0:0:0:0:0, 109+0:42:1:0:42
F major blues (1b), 3+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 90+0:5:1:0:6
G major blues (1#), 3+0:0:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:0, 5+0:2:0:0:1, 7+0:3:0:0:1, 5+0:3:0:0:1, 4+0:0:0:0:1, 3+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:0, 6+0:5:1:0:3, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:0, 5+0:2:0:0:1, 7+0:3:0:0:1, 5+0:3:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 102+0:28:1:0:11
D minor blues (1b), 3+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 90+0:5:1:0:6
