 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
C major (0), C major (0), F major (1b), F major (1b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b)
A minor (0), D minor (1b), G minor (2b), G minor (2b), C minor (3b), C major (0), C minor (3b), C major (0), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), F minor (4b), C minor (3b), C minor (3b), C major (0), C major (0), C major (0)
F major (1b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), F major (1b), C major (0), C major (0), C major (0)
G major (1#), G major (1#), G minor (2b), G minor (2b), C minor (3b), C major (0), C minor (3b), C minor (3b), G minor (2b), G minor (2b), Bb minor (5b), Bb minor (5b), F minor (4b), C minor (3b), C minor (3b), C major (0), C major (0), C major (0)
D minor (1b), D minor (1b), G minor (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), F minor (4b), Ab major (4b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), G minor (2b), C minor (3b)
E minor (1#), G major (1#), G minor (2b), G minor (2b), C minor (3b), C major (0), C minor (3b), C major (0), G minor (2b), G minor (2b), Bb minor (5b), Bb minor (5b), F minor (4b), C minor (3b), C minor (3b), C major (0), C major (0), C major (0)
Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b)
D major (2#), G major (1#), G minor (2b), G minor (2b), C minor (3b), C major (0), C minor (3b), C major (0), G minor (2b), G minor (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), F major (1b), C major (0), C major (0), C major (0)
G minor (2b), G minor (2b), Bb major (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), C minor (3b)
B minor (2#), D major (2#), D minor (1b), G minor (2b), C minor (3b), A minor (0), C minor (3b), C minor (3b), G minor (2b), G minor (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), F major (1b), C major (0), C major (0), C major (0)
Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b)
A major (3#), D major (2#), D minor (1b), G minor (2b), C minor (3b), C major (0), C minor (3b), C major (0), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), C major (0), A minor (0), C major (0), C major (0), C major (0), C major (0)
C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), C minor (3b)
F# minor (3#), B minor (2#), D minor (1b), G minor (2b), C minor (3b), A minor (0), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), F minor (4b), C minor (3b), C minor (3b), C major (0), C major (0), C major (0)
Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b)
E major (4#), E minor (1#), G minor (2b), G minor (2b), C minor (3b), A minor (0), C minor (3b), C minor (3b), G minor (2b), G minor (2b), Bb minor (5b), Bb minor (5b), F minor (4b), C minor (3b), C minor (3b), C major (0), C major (0), C major (0)
F minor (4b), F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), C minor (3b), C minor (3b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), C minor (3b)
C# minor (4#), E minor (1#), G minor (2b), G minor (2b), C minor (3b), C major (0), C minor (3b), C minor (3b), G minor (2b), G minor (2b), Bb minor (5b), Bb minor (5b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), C minor (3b)
Db major (5b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Eb major (3b), Bb major (2b), Eb major (3b)
