 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, rowcost
C major (0), 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 11+0:0:0:0:0
A minor (0), 1+0:0:0:0:1, 2+0:0:0:0:1,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:1, 2+0:0:0:0:1, 11+0:0:0:0:4
A minor mel (0), 2+0:0:0:0:1, 3+0:0:0:0:1,  ,  , 3+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 2+0:0:0:0:1, 3+0:0:0:0:1, 17+0:0:0:0:4
C major blues (0), 3+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 4+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 3+0:0:0:0:0, 20+0:0:0:0:0
A minor blues (0), 3+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 4+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 3+0:0:0:0:0, 20+0:0:0:0:0
C dorian (0), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 17+0:0:0:0:0
C phrygian (0), 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:0:0:0
C lydian (0), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 3+0:0:0:0:0, 4+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 17+0:0:0:0:0
C mixolydian (0), 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:0:0:0
C aeolian (0), 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 11+0:0:0:0:0
