 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, rowcost
C major (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0,  , 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 40+0:0:0:0:2
A minor (0), 3+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:1,  , 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:3, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:2, 5+0:0:0:0:1, 3+0:0:0:0:1, 55+0:0:0:0:24
F major (1b), 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:2, 1+0:0:0:0:0, 29+0:2:0:0:2
G major (1#), 2+0:2:0:0:0, 3+0:2:0:0:0, 2+0:2:0:0:0,  , 2+0:2:0:0:0, 2+0:2:0:0:0, 2+0:2:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 2+0:2:0:0:0, 3+0:3:0:0:1, 1+0:0:0:0:0, 2+0:2:0:0:0, 2+0:2:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:0, 3+0:1:0:0:1, 3+0:2:0:0:0, 45+0:37:0:0:2
D minor (1b), 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0,  , 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 6+0:2:0:0:2, 2+0:0:0:0:0, 47+0:2:0:0:8
E minor (1#), 2+0:2:0:0:2, 3+0:2:0:0:2, 2+0:2:0:0:2,  , 2+0:2:0:0:2, 2+0:2:0:0:2, 2+0:2:0:0:2, 2+0:2:0:0:2, 3+0:2:0:0:2, 4+0:2:0:0:2, 2+0:2:0:0:2, 2+0:2:0:0:2, 3+0:3:0:0:3, 2+0:0:0:0:0, 2+0:2:0:0:2, 2+0:2:0:0:2, 2+0:2:0:0:2, 3+0:2:0:0:2, 4+0:1:0:0:1, 4+0:2:0:0:2, 48+0:36:0:0:36
Bb major (2b), 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 5+0:2:0:0:3, 0+0:0:0:0:0, 12+0:2:0:0:4
D major (2#), 3+0:2:0:0:0, 4+0:2:0:0:1, 3+0:2:0:0:0,  , 3+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 4+0:2:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:0, 3+0:2:0:0:0, 4+0:3:0:0:2, 1+0:0:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 4+0:2:0:0:1, 4+0:1:0:0:2, 4+0:2:0:0:0, 63+0:37:0:0:8
G minor (2b), 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 17+0:1:0:0:2
B minor (2#), 3+0:2:0:0:2, 4+0:2:0:0:3, 3+0:2:0:0:2,  , 3+0:2:0:0:2, 3+0:2:0:0:2, 3+0:2:0:0:2, 3+0:2:0:0:2, 4+0:2:0:0:3, 5+0:2:0:0:3, 3+0:2:0:0:2, 3+0:2:0:0:2, 4+0:3:0:0:3, 1+0:0:0:0:1, 3+0:2:0:0:2, 3+0:2:0:0:2, 3+0:2:0:0:2, 4+0:2:0:0:3, 4+0:1:0:0:2, 5+0:2:0:0:3, 64+0:36:0:0:43
