 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, rowcost
C major (0), 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 32+0:0:0:0:1
A minor (0), 4+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 5+0:0:0:0:3, 1+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 45+0:0:0:0:21
F major (1b), 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 23+0:1:0:0:1
G major (1#), 4+0:3:0:0:0, 1+0:1:0:0:0, 4+0:3:0:0:0, 1+0:1:0:0:0, 5+0:4:0:0:1, 2+0:1:0:0:0, 4+0:3:0:0:0, 1+0:1:0:0:0, 2+0:2:0:0:0, 1+0:1:0:0:0, 4+0:3:0:0:0, 1+0:1:0:0:0, 4+0:3:0:0:0, 3+0:3:0:0:1, 1+0:1:0:0:0, 38+0:31:0:0:2
D minor (1b), 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 37+0:1:0:0:9
E minor (1#), 5+0:3:0:0:3, 1+0:1:0:0:1, 5+0:3:0:0:3, 1+0:1:0:0:1, 5+0:4:0:0:4, 2+0:1:0:0:1, 5+0:3:0:0:3, 1+0:1:0:0:1, 3+0:0:0:0:0, 2+0:1:0:0:1, 5+0:3:0:0:3, 1+0:1:0:0:1, 5+0:3:0:0:3, 3+0:3:0:0:3, 1+0:1:0:0:1, 45+0:29:0:0:29
Bb major (2b), 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 12+0:1:0:0:1
D major (2#), 5+0:3:0:0:1, 2+0:1:0:0:0, 5+0:3:0:0:1, 2+0:1:0:0:0, 6+0:4:0:0:2, 3+0:1:0:0:1, 5+0:3:0:0:1, 2+0:1:0:0:0, 3+0:2:0:0:0, 1+0:1:0:0:0, 5+0:3:0:0:1, 2+0:1:0:0:0, 5+0:3:0:0:1, 4+0:3:0:0:1, 2+0:1:0:0:0, 52+0:31:0:0:9
G minor (2b), 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 18+0:0:0:0:2
B minor (2#), 5+0:3:0:0:4, 2+0:1:0:0:1, 5+0:3:0:0:4, 2+0:1:0:0:1, 6+0:4:0:0:5, 3+0:1:0:0:2, 5+0:3:0:0:4, 2+0:1:0:0:1, 4+0:0:0:0:0, 1+0:1:0:0:1, 5+0:3:0:0:4, 2+0:1:0:0:1, 5+0:3:0:0:4, 4+0:3:0:0:3, 2+0:1:0:0:1, 53+0:29:0:0:36
