 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, rowcost
Eb major (3b), 2+0:0:0:0:0, 1+0:1:0:0:1, 1+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:1, 9+1:2:0:0:4, 1+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:2, 5+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 1+0:1:0:0:1, 1+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 9+1:2:0:0:4, 1+0:0:0:0:1, 0+0:0:0:0:0, 58+2:8:0:0:25
A major (3#), 2+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 10+1:4:1:0:3, 2+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 6+0:3:0:0:2, 6+0:3:0:0:2, 6+0:3:0:0:2, 3+0:2:0:0:1, 7+0:4:0:0:3, 7+0:4:0:0:3, 4+0:0:0:0:1, 8+0:2:0:0:2, 6+0:3:0:0:2, 6+0:3:0:0:2, 6+0:3:0:0:2, 3+0:2:0:0:1, 7+0:4:0:0:3, 7+0:4:0:0:3, 4+0:0:0:0:1, 6+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 4+0:2:0:0:1, 5+0:2:0:0:1, 3+0:1:0:0:1, 10+1:4:1:0:3, 2+0:1:0:0:0, 1+0:0:0:0:0, 162+2:69:2:0:43
C minor (3b), 3+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 10+1:2:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:0, 5+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 10+1:2:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 85+2:13:0:0:2
F# minor (3#), 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 10+1:4:1:0:6, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:3, 6+0:3:0:0:5, 6+0:3:0:0:5, 6+0:3:0:0:5, 3+0:2:0:0:3, 7+0:4:0:0:6, 7+0:4:0:0:6, 3+0:0:0:0:0, 8+0:2:0:0:5, 6+0:3:0:0:5, 6+0:3:0:0:5, 6+0:3:0:0:5, 3+0:2:0:0:3, 7+0:4:0:0:6, 7+0:4:0:0:6, 3+0:0:0:0:0, 5+0:0:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 4+0:2:0:0:3, 5+0:2:0:0:3, 3+0:1:0:0:2, 10+1:4:1:0:6, 3+0:1:0:0:1, 1+0:0:0:0:0, 163+2:65:2:0:103
Ab major (4b), 3+0:0:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:1, 8+1:2:0:0:5, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:2, 6+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:1, 8+1:2:0:0:5, 2+0:0:0:0:1, 0+0:0:0:0:0, 75+2:8:0:0:35
E major (4#), 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 10+1:4:1:0:4, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 7+0:3:0:0:3, 7+0:3:0:0:3, 7+0:3:0:0:3, 4+0:2:0:0:2, 7+0:4:0:0:4, 7+0:4:0:0:4, 3+0:0:0:0:0, 9+0:2:0:0:2, 7+0:3:0:0:3, 7+0:3:0:0:3, 7+0:3:0:0:3, 4+0:2:0:0:2, 7+0:4:0:0:4, 7+0:4:0:0:4, 3+0:0:0:0:0, 7+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:2:0:0:2, 6+0:2:0:0:2, 3+0:1:0:0:1, 10+1:4:1:0:4, 3+0:1:0:0:1, 1+0:0:0:0:0, 185+2:65:2:0:65
F minor (4b), 3+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+1:2:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 9+1:2:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 94+2:8:0:0:8
C# minor (4#), 3+0:0:0:0:1, 3+0:1:0:0:2, 3+0:1:0:0:2, 4+0:1:0:0:3, 5+0:1:0:0:3, 4+0:1:0:0:3, 10+1:4:1:0:7, 3+0:1:0:0:2, 3+0:0:0:0:1, 3+0:1:0:0:2, 1+0:0:0:0:1, 1+0:0:0:0:1, 4+0:1:0:0:4, 7+0:3:0:0:6, 7+0:3:0:0:6, 7+0:3:0:0:6, 4+0:2:0:0:3, 7+0:4:0:0:7, 7+0:4:0:0:7, 4+0:0:0:0:1, 8+1:2:0:0:5, 7+0:3:0:0:6, 7+0:3:0:0:6, 7+0:3:0:0:6, 4+0:2:0:0:3, 7+0:4:0:0:7, 7+0:4:0:0:7, 4+0:0:0:0:1, 6+0:0:0:0:2, 3+0:1:0:0:2, 3+0:0:0:0:1, 3+0:1:0:0:2, 3+0:1:0:0:2, 5+0:2:0:0:4, 6+0:2:0:0:4, 4+0:1:0:0:3, 10+1:4:1:0:7, 3+0:1:0:0:2, 1+0:0:0:0:1, 188+3:65:2:0:139
Db major (5b), 4+0:0:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:3, 2+0:0:0:0:1, 9+1:2:0:0:6, 3+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:2, 7+0:0:0:0:4, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 9+1:2:0:0:6, 3+0:0:0:0:2, 1+0:0:0:0:0, 108+2:8:0:0:63
B major (5#), 4+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:1:0:0:1, 5+0:1:0:0:1, 3+0:1:0:0:1, 11+1:4:1:0:4, 3+0:1:0:0:1, 4+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:2, 7+0:3:0:0:4, 7+0:3:0:0:4, 7+0:3:0:0:4, 4+0:2:0:0:3, 7+0:4:0:0:5, 7+0:4:0:0:5, 2+0:0:0:0:1, 10+0:2:0:0:3, 7+0:3:0:0:4, 7+0:3:0:0:4, 7+0:3:0:0:4, 4+0:2:0:0:3, 7+0:4:0:0:5, 7+0:4:0:0:5, 2+0:0:0:0:1, 8+0:0:0:0:1, 3+0:1:0:0:1, 4+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:2:0:0:2, 6+0:2:0:0:2, 3+0:1:0:0:1, 11+1:4:1:0:4, 3+0:1:0:0:1, 1+0:0:0:0:0, 193+2:65:2:0:82
Bb minor (5b), 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 8+1:2:0:0:3, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 8+1:2:0:0:3, 3+0:0:0:0:0, 1+0:0:0:0:0, 112+2:8:0:0:16
G# minor (5#), 4+0:0:0:0:1, 4+0:1:0:0:3, 4+0:1:0:0:3, 5+0:1:0:0:4, 5+0:1:0:0:4, 3+0:1:0:0:3, 12+1:4:1:0:8, 3+0:1:0:0:3, 4+0:0:0:0:1, 3+0:1:0:0:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:1:0:0:3, 7+0:3:0:0:7, 7+0:3:0:0:7, 7+0:3:0:0:7, 4+0:2:0:0:4, 7+0:4:0:0:7, 7+0:4:0:0:7, 2+0:0:0:0:1, 9+0:2:0:0:6, 7+0:3:0:0:7, 7+0:3:0:0:7, 7+0:3:0:0:7, 4+0:2:0:0:4, 7+0:4:0:0:7, 7+0:4:0:0:7, 2+0:0:0:0:1, 6+0:0:0:0:3, 3+0:1:0:0:3, 4+0:0:0:0:1, 4+0:1:0:0:3, 4+0:1:0:0:3, 5+0:2:0:0:5, 6+0:2:0:0:5, 3+0:1:0:0:3, 12+1:4:1:0:8, 3+0:1:0:0:3, 0+0:0:0:0:0, 192+2:65:2:0:159
Gb major (6b), 4+0:0:0:0:3, 3+0:1:0:0:3, 3+0:1:0:0:3, 4+0:0:0:0:3, 5+0:0:0:0:3, 3+0:0:0:0:2, 8+1:2:0:0:6, 3+0:0:0:0:3, 4+0:0:0:0:3, 3+0:0:0:0:3, 1+0:0:0:0:1, 1+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 8+0:0:0:0:5, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 5+0:0:0:0:3, 3+0:0:0:0:3, 4+0:0:0:0:3, 3+0:1:0:0:3, 3+0:1:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:2, 8+1:2:0:0:6, 3+0:0:0:0:3, 1+0:0:0:0:1, 123+2:8:0:0:92
F# major (6#), 4+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:1:0:0:2, 5+0:1:0:0:2, 3+0:1:0:0:2, 11+1:4:1:0:6, 4+0:1:0:0:1, 4+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:3, 7+0:3:0:0:5, 7+0:3:0:0:5, 7+0:3:0:0:5, 4+0:2:0:0:3, 7+0:4:0:0:6, 7+0:4:0:0:6, 1+0:0:0:0:0, 10+0:2:0:0:5, 7+0:3:0:0:5, 7+0:3:0:0:5, 7+0:3:0:0:5, 4+0:2:0:0:3, 7+0:4:0:0:6, 7+0:4:0:0:6, 1+0:0:0:0:0, 7+0:0:0:0:1, 4+0:1:0:0:1, 4+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:2:0:0:3, 6+0:2:0:0:3, 3+0:1:0:0:2, 11+1:4:1:0:6, 4+0:1:0:0:1, 1+0:0:0:0:0, 194+2:65:2:0:103
Eb minor (6b), 3+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 9+1:2:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 7+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 9+1:2:0:0:3, 2+0:0:0:0:1, 1+0:0:0:0:0, 106+2:8:0:0:19
D# minor (6#), 3+0:0:0:0:2, 3+0:1:0:0:3, 3+0:1:0:0:3, 5+0:1:0:0:5, 5+0:1:0:0:5, 3+0:1:0:0:3, 11+1:4:1:0:9, 4+0:1:0:0:3, 3+0:0:0:0:2, 4+0:1:0:0:3, 1+0:0:0:0:1, 1+0:0:0:0:1, 5+0:1:0:0:5, 7+0:3:0:0:7, 7+0:3:0:0:7, 7+0:3:0:0:7, 4+0:2:0:0:4, 7+0:4:0:0:7, 7+0:4:0:0:7, 2+0:0:0:0:0, 8+2:2:0:0:7, 7+0:3:0:0:7, 7+0:3:0:0:7, 7+0:3:0:0:7, 4+0:2:0:0:4, 7+0:4:0:0:7, 7+0:4:0:0:7, 2+0:0:0:0:0, 5+0:0:0:0:3, 4+0:1:0:0:3, 3+0:0:0:0:2, 3+0:1:0:0:3, 3+0:1:0:0:3, 5+0:2:0:0:5, 6+0:2:0:0:5, 3+0:1:0:0:3, 11+1:4:1:0:9, 4+0:1:0:0:3, 1+0:0:0:0:1, 189+4:65:2:0:170
