 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, rowcost
C major (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 10+1:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:2, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 10+1:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 104+2:0:0:0:6
A minor (0), 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 11+1:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:1, 5+0:0:0:0:3, 5+0:0:0:0:3, 4+0:0:0:0:1, 6+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:1, 5+0:0:0:0:3, 5+0:0:0:0:3, 4+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:1, 11+1:0:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 137+2:0:0:0:41
F major (1b), 1+0:0:0:0:0, 1+0:1:0:0:1, 1+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 9+1:2:0:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 1+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 9+1:2:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 79+2:10:0:0:10
G major (1#), 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 9+1:4:0:0:1, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:0, 4+0:3:0:0:0, 4+0:3:0:0:0, 4+0:3:0:0:0, 3+0:2:0:0:0, 5+0:4:0:0:1, 5+0:4:0:0:1, 6+0:1:0:0:2, 6+0:2:0:0:0, 4+0:3:0:0:0, 4+0:3:0:0:0, 4+0:3:0:0:0, 3+0:2:0:0:0, 5+0:4:0:0:1, 5+0:4:0:0:1, 6+0:1:0:0:2, 4+0:3:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:0, 1+0:1:0:0:0, 9+1:4:0:0:1, 1+0:1:0:0:0, 0+0:0:0:0:0, 112+2:73:0:0:10
D minor (1b), 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 9+1:1:1:0:2, 0+0:0:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:3:0:0:1, 6+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:3:0:0:1, 3+0:1:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 9+1:1:1:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 96+2:16:2:0:22
E minor (1#), 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 1+0:1:0:0:1, 9+1:4:0:0:4, 2+0:1:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 5+0:3:0:0:3, 5+0:3:0:0:3, 5+0:3:0:0:3, 4+0:2:0:0:2, 5+0:4:0:0:4, 5+0:4:0:0:4, 5+0:0:0:0:0, 7+0:2:0:0:2, 5+0:3:0:0:3, 5+0:3:0:0:3, 5+0:3:0:0:3, 4+0:2:0:0:2, 5+0:4:0:0:4, 5+0:4:0:0:4, 5+0:0:0:0:0, 5+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 3+0:2:0:0:2, 4+0:2:0:0:2, 1+0:1:0:0:1, 9+1:4:0:0:4, 2+0:1:0:0:1, 0+0:0:0:0:0, 135+2:65:0:0:65
Bb major (2b), 1+0:0:0:0:0, 1+0:1:0:0:1, 1+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 8+1:2:0:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 1+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 8+1:2:0:0:3, 1+0:0:0:0:0, 0+0:0:0:0:0, 62+2:8:0:0:16
D major (2#), 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 9+1:4:1:0:2, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:1, 6+0:4:0:0:2, 6+0:4:0:0:2, 5+0:0:0:0:2, 7+0:2:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:1, 6+0:4:0:0:2, 6+0:4:0:0:2, 5+0:0:0:0:2, 5+0:2:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 3+0:2:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 9+1:4:1:0:2, 1+0:1:0:0:0, 0+0:0:0:0:0, 129+2:70:2:0:24
G minor (2b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 7+1:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 6+0:1:0:0:0, 5+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 6+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 7+1:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 70+2:5:0:0:6
B minor (2#), 2+0:0:0:0:0, 1+0:1:0:0:1, 1+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 2+0:1:0:0:1, 10+1:4:1:0:4, 1+0:1:0:0:1, 2+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:1:0:0:2, 5+0:3:0:0:4, 5+0:3:0:0:4, 5+0:3:0:0:4, 3+0:2:0:0:3, 6+0:4:0:0:5, 6+0:4:0:0:5, 4+0:0:0:0:1, 8+0:2:0:0:3, 5+0:3:0:0:4, 5+0:3:0:0:4, 5+0:3:0:0:4, 3+0:2:0:0:3, 6+0:4:0:0:5, 6+0:4:0:0:5, 4+0:0:0:0:1, 6+0:0:0:0:1, 1+0:1:0:0:1, 2+0:0:0:0:0, 1+0:1:0:0:1, 1+0:1:0:0:1, 3+0:2:0:0:2, 4+0:2:0:0:2, 2+0:1:0:0:1, 10+1:4:1:0:4, 1+0:1:0:0:1, 0+0:0:0:0:0, 137+2:65:2:0:82
