 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, rowcost
Eb major (3b), 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:1:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+2:0:0:0:0, 4+0+2:0:0:0:1, 4+0+2:1:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+2:0:0:0:0, 4+0+2:0:0:0:1, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:1, 1+0+0:0:0:0:0, 4+0+2:1:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 39+0+23:3:0:0:4
A major (3#), 3+0+1:1:0:0:0, 0+0+0:0:0:0:0, 3+0+2:1:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:1:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:0, 5+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+3:0:0:0:0, 4+0+3:0:0:0:0, 3+0+4:0:0:0:1, 6+0+2:0:0:0:1, 5+0+1:0:0:0:0, 5+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+3:0:0:0:0, 4+0+3:0:0:0:0, 3+0+4:0:0:0:1, 5+0+3:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:1:0:0:0, 0+0+0:0:0:0:0, 3+0+2:1:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 109+0+44:5:0:0:3
C minor (3b), 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:1:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+2:0:0:0:0, 4+0+2:0:0:0:1, 4+0+4:1:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+2:0:0:0:0, 4+0+2:0:0:0:1, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:1:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 39+0+22:3:0:0:3
F# minor (3#), 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:1:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:1:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:0, 5+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 4+0+2:0:0:0:0, 3+0+1:0:0:0:0, 6+0+2:0:0:0:1, 5+0+1:0:0:0:0, 5+0+1:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 4+0+2:0:0:0:0, 3+0+1:0:0:0:0, 5+0+3:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:1:0:0:0, 0+0+0:0:0:0:0, 3+0+2:1:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 109+0+34:4:0:0:1
Ab major (4b), 3+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:1:0:0:1, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:2, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:1, 5+0+2:1:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:1, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+1:1:0:0:1, 1+0+0:0:0:0:0, 2+0+1:0:0:0:1, 1+0+1:0:0:0:1, 3+0+2:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 45+0+18:3:0:0:10
E major (4#), 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:1:0:0:0, 2+0+0:0:0:0:0, 5+0+1:1:0:0:0, 0+0+0:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:1:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 5+0+2:0:0:0:0, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 5+0+2:0:0:0:0, 4+0+2:0:0:0:0, 6+0+2:0:0:0:0, 7+0+2:1:0:0:1, 5+0+2:0:0:0:0, 5+0+2:0:0:0:0, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 5+0+2:0:0:0:0, 4+0+2:0:0:0:0, 2+0+1:0:0:0:0, 6+0+2:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:1:0:0:0, 0+0+0:0:0:0:0, 4+0+2:1:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 125+0+41:6:0:0:1
F minor (4b), 3+0+1:0:0:0:0, 1+0+1:1:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:1, 5+0+4:1:0:0:1, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:1, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+1:1:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 45+0+27:3:0:0:3
C# minor (4#), 4+0+3:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:1:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:0, 0+0+1:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 4+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 5+0+2:0:0:0:0, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 5+0+2:0:0:0:0, 4+0+2:0:0:0:0, 6+0+2:0:0:0:0, 7+0+2:1:0:0:1, 5+0+2:0:0:0:0, 5+0+2:0:0:0:0, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 5+0+2:0:0:0:0, 4+0+2:0:0:0:0, 6+0+2:0:0:0:0, 6+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+0:0:0:0:0, 0+0+0:0:0:0:0, 4+0+2:1:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:0, 0+0+1:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 129+0+42:3:0:0:1
Db major (5b), 5+0+1:0:0:0:0, 1+0+0:0:0:0:0, 4+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+1:0:0:0:1, 4+0+3:0:0:0:1, 1+0+0:0:0:0:0, 5+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:1, 6+0+2:1:0:0:1, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:1, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:0, 1+0+0:0:0:0:0, 4+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:1, 1+0+1:0:0:0:1, 4+0+3:0:0:0:1, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 73+0+20:1:0:0:8
B major (5#), 5+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:0, 0+0+1:0:0:0:0, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 5+0+1:1:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 5+0+2:0:0:0:0, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+2:0:0:0:0, 1+0+1:0:0:0:0, 8+0+2:0:0:0:1, 4+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+2:0:0:0:0, 1+0+1:0:0:0:0, 7+0+2:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:1:0:0:0, 0+0+0:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:0, 0+0+1:0:0:0:0, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 119+0+36:2:0:0:1
