 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C major (0), C minor (3b), G major (1#), C major (0), C minor (3b), C minor (3b), G minor (2b), C minor (3b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b)
A minor (0), A minor (0), C minor (3b), C minor (3b), C minor (3b), C major (0), C minor (3b), G minor (2b), D minor (1b), G minor (2b), C minor (3b), G minor (2b), C minor (3b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b)
F major (1b), C minor (3b), F minor (4b), F minor (4b), Bb major (2b), F major (1b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), Bb major (2b), Bb major (2b)
G major (1#), C minor (3b), C minor (3b), C minor (3b), G minor (2b), D minor (1b), G minor (2b), G major (1#), G major (1#), G minor (2b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), G minor (2b)
D minor (1b), A minor (0), C minor (3b), C minor (3b), G minor (2b), D minor (1b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), C minor (3b), G minor (2b), C minor (3b), F minor (4b), F minor (4b), C minor (3b), G minor (2b)
E minor (1#), A minor (0), C minor (3b), C minor (3b), G minor (2b), D minor (1b), G minor (2b), G major (1#), G major (1#), G minor (2b), G major (1#), G minor (2b), C minor (3b), G minor (2b), G minor (2b), E minor (1#), E minor (1#)
Bb major (2b), C minor (3b), Eb major (3b), Eb major (3b), Bb major (2b), F major (1b), Bb major (2b), G minor (2b), G minor (2b), G minor (2b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b)
D major (2#), A minor (0), C minor (3b), C minor (3b), G minor (2b), D minor (1b), G minor (2b), G major (1#), G major (1#), G minor (2b), G major (1#), G minor (2b), C minor (3b), F minor (4b), F minor (4b), D minor (1b), G minor (2b)
G minor (2b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), D minor (1b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), C minor (3b), G minor (2b), C minor (3b), Eb major (3b), C minor (3b), C minor (3b), G minor (2b)
B minor (2#), B major (5#), G# minor (5#), G# minor (5#), B major (5#), E minor (1#), B minor (2#), D major (2#), D major (2#), G minor (2b), G major (1#), B minor (2#), G# minor (5#), B major (5#), G# minor (5#), F# major (6#), B major (5#)
Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Bb major (2b), F major (1b), Bb major (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b)
A major (3#), A minor (0), C major (0), C major (0), E minor (1#), A minor (0), C major (0), D major (2#), D major (2#), C major (0), C major (0), F major (1b), C major (0), A minor (0), C major (0), E minor (1#), E major (4#)
