 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, rowcost
C major (0), 1+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:1:0:2, 3+0:0:0:0:0, 5+0:0:0:0:2, 5+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 3+0:0:1:0:1, 2+0:0:0:0:0, 5+0:0:0:0:2, 2+0:0:0:0:0, 6+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:1:0:2, 4+0:0:0:0:0, 5+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:1, 117+0:0:4:0:19
A minor (0), 0+0:0:0:0:0, 3+0:0:0:0:2, 6+0:0:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:0, 5+0:0:0:0:3, 7+0:0:1:0:5, 4+0:0:0:0:2, 4+0:0:0:0:0, 6+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:2, 0+0:0:0:0:0, 4+0:0:1:0:4, 4+0:0:1:0:3, 3+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:2, 6+0:0:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:0, 5+0:0:0:0:3, 7+0:0:1:0:5, 4+0:0:0:0:3, 6+0:0:0:0:1, 2+0:0:0:0:2, 4+0:0:0:0:1, 127+0:0:4:0:66
F major (1b), 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:1, 2+0:0:0:0:0, 4+0:2:0:0:2, 4+0:2:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 6+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:1, 3+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 2+0:1:0:0:1, 95+0:12:4:0:16
G major (1#), 1+0:1:0:0:0, 3+0:2:0:0:0, 7+0:3:0:0:0, 4+0:3:0:0:1, 2+0:1:0:0:0, 5+0:4:0:0:1, 8+0:6:1:0:3, 4+0:3:0:0:1, 5+0:1:0:0:2, 6+0:2:0:0:3, 3+0:2:0:0:0, 4+0:3:0:0:1, 4+0:3:0:0:1, 3+0:2:0:0:0, 2+0:1:0:0:0, 4+0:3:0:0:1, 3+0:3:0:0:1, 2+0:2:0:0:0, 0+0:0:0:0:0, 3+0:2:0:0:1, 2+0:1:0:0:1, 4+0:3:0:0:0, 2+0:1:0:0:0, 4+0:4:1:0:2, 4+0:3:1:0:2, 3+0:2:0:0:1, 5+0:1:0:0:2, 3+0:2:0:0:0, 7+0:3:0:0:0, 4+0:3:0:0:1, 2+0:1:0:0:0, 5+0:4:0:0:1, 8+0:6:1:0:3, 5+0:4:0:0:1, 6+0:2:0:0:3, 3+0:2:0:0:0, 4+0:2:0:0:2, 144+0:91:4:0:35
D minor (1b), 3+0:1:0:0:0, 3+0:0:0:0:1, 7+0:0:0:0:1, 3+0:0:0:0:2, 1+0:1:1:0:1, 4+0:0:0:0:2, 6+0:0:1:0:4, 2+0:0:0:0:2, 5+0:2:0:0:0, 5+0:2:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 2+0:1:0:0:0, 3+0:0:0:0:1, 1+0:1:0:0:0, 4+0:0:1:0:3, 3+0:0:1:0:3, 1+0:0:0:0:1, 5+0:2:0:0:0, 3+0:0:0:0:1, 7+0:0:0:0:1, 3+0:0:0:0:2, 1+0:1:1:0:1, 4+0:0:0:0:2, 6+0:0:1:0:4, 3+0:0:0:0:2, 5+0:2:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:1, 117+0:14:6:0:48
E minor (1#), 1+0:0:0:0:0, 3+0:2:0:0:2, 7+0:3:0:0:3, 4+0:3:0:0:3, 2+0:0:0:0:0, 5+0:4:0:0:4, 8+0:6:1:0:6, 4+0:3:0:0:3, 5+0:1:0:0:1, 6+0:2:0:0:2, 3+0:2:0:0:2, 4+0:3:0:0:3, 4+0:3:0:0:3, 3+0:2:0:0:2, 2+0:1:0:0:1, 4+0:3:0:0:3, 3+0:3:0:0:3, 2+0:2:0:0:2, 0+0:0:0:0:0, 3+0:2:0:0:2, 2+0:1:0:0:1, 4+0:3:0:0:3, 2+0:0:0:0:0, 4+0:4:1:0:4, 4+0:3:1:0:3, 3+0:2:0:0:2, 5+0:1:0:0:1, 3+0:2:0:0:2, 7+0:3:0:0:3, 4+0:3:0:0:3, 2+0:0:0:0:0, 5+0:4:0:0:4, 8+0:6:1:0:6, 5+0:4:0:0:4, 6+0:2:0:0:2, 3+0:2:0:0:2, 4+0:2:0:0:2, 144+0:87:4:0:87
Bb major (2b), 3+0:0:0:0:1, 1+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:0, 2+0:0:0:0:0, 5+0:2:0:0:3, 5+0:2:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:0, 3+0:0:1:0:0, 1+0:0:0:0:0, 5+0:2:0:0:3, 1+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:0, 2+0:0:0:0:0, 5+0:2:0:0:2, 1+0:0:0:0:0, 3+0:1:0:0:1, 84+0:12:4:0:15
D major (2#), 2+0:0:0:0:0, 4+0:2:0:0:1, 8+0:3:0:0:1, 5+0:3:0:0:2, 2+0:1:1:0:1, 6+0:4:0:0:2, 8+0:6:1:0:4, 4+0:3:0:0:2, 6+0:1:0:0:0, 7+0:2:0:0:1, 4+0:2:0:0:1, 4+0:3:0:0:2, 4+0:3:0:0:1, 4+0:2:0:0:1, 3+0:1:0:0:0, 4+0:3:0:0:2, 3+0:3:0:0:1, 3+0:2:0:0:1, 1+0:0:0:0:0, 3+0:2:0:0:1, 3+0:1:0:0:0, 5+0:3:0:0:1, 2+0:0:0:0:0, 4+0:4:1:0:3, 4+0:3:1:0:3, 3+0:2:0:0:1, 6+0:1:0:0:0, 4+0:2:0:0:1, 8+0:3:0:0:1, 5+0:3:0:0:2, 2+0:1:1:0:1, 6+0:4:0:0:2, 8+0:6:1:0:4, 5+0:4:0:0:2, 7+0:2:0:0:1, 4+0:2:0:0:1, 5+0:2:0:0:1, 166+0:89:6:0:48
G minor (2b), 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:1:0:0:0, 3+0:0:0:0:1, 1+0:1:0:0:0, 3+0:0:0:0:1, 6+0:0:1:0:3, 3+0:0:0:0:1, 5+0:2:0:0:2, 6+0:2:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:2, 4+0:0:1:0:2, 2+0:0:0:0:1, 5+0:2:0:0:2, 2+0:0:0:0:0, 6+0:1:0:0:0, 3+0:0:0:0:1, 1+0:1:0:0:0, 3+0:0:0:0:1, 6+0:0:1:0:3, 3+0:0:0:0:1, 6+0:2:0:0:3, 2+0:0:0:0:0, 4+0:1:0:0:2, 111+0:14:4:0:35
B minor (2#), 2+0:0:0:0:0, 4+0:2:0:0:3, 8+0:3:0:0:4, 5+0:3:0:0:4, 1+0:0:1:0:1, 6+0:4:0:0:5, 8+0:6:1:0:7, 4+0:3:0:0:4, 6+0:1:0:0:1, 7+0:2:0:0:3, 4+0:2:0:0:3, 4+0:3:0:0:4, 4+0:3:0:0:4, 4+0:2:0:0:3, 4+0:1:0:0:2, 4+0:3:0:0:4, 3+0:3:0:0:3, 3+0:2:0:0:2, 1+0:0:0:0:0, 3+0:2:0:0:3, 3+0:1:0:0:1, 5+0:3:0:0:4, 2+0:0:0:0:1, 4+0:4:1:0:4, 4+0:3:1:0:4, 3+0:2:0:0:3, 6+0:1:0:0:1, 4+0:2:0:0:3, 8+0:3:0:0:4, 5+0:3:0:0:4, 1+0:0:1:0:1, 6+0:4:0:0:5, 8+0:6:1:0:7, 5+0:4:0:0:5, 7+0:2:0:0:3, 4+0:2:0:0:3, 5+0:2:0:0:3, 165+0:87:6:0:116
Eb major (3b), 2+0:0:0:0:2, 0+0:0:0:0:0, 4+0:1:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:0, 1+0:0:0:0:0, 4+1:1:0:0:3, 4+1:1:0:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 4+1:1:0:0:3, 0+0:0:0:0:0, 4+0:1:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:0, 1+0:0:0:0:0, 4+1:1:0:0:2, 0+0:0:0:0:0, 3+0:1:0:0:2, 58+4:8:4:0:20
A major (3#), 1+0:0:0:0:0, 5+0:2:0:0:2, 8+0:3:0:0:3, 5+0:3:0:0:2, 2+0:1:1:0:1, 7+0:4:0:0:3, 8+0:6:1:0:5, 5+0:3:0:0:2, 5+0:1:0:0:0, 8+0:2:0:0:1, 4+0:2:0:0:2, 4+0:3:0:0:2, 5+0:3:0:0:2, 5+0:2:0:0:2, 3+0:1:0:0:1, 4+0:3:0:0:2, 4+0:3:0:0:2, 4+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:1, 2+0:1:0:0:0, 5+0:3:0:0:2, 1+0:0:0:0:0, 4+0:4:1:0:4, 5+0:3:1:0:3, 4+0:2:0:0:1, 5+0:1:0:0:0, 5+0:2:0:0:2, 8+0:3:0:0:3, 5+0:3:0:0:2, 2+0:1:1:0:1, 7+0:4:0:0:3, 8+0:6:1:0:5, 5+0:4:0:0:3, 8+0:2:0:0:1, 4+0:2:0:0:2, 6+0:2:0:0:1, 176+0:89:6:0:68
