name,KSgt,KSest,notes,err,success
All-the-Things-You-Are,-3,-4.0,1056,60,94.32
Alone-Together,,-1.0,1087,17,98.44
Apple-Jump,,-1.0,1493,70,95.31
Autumn-Leaves,,-2.0,1055,28,97.35
Blues-By-Five,-1,-2.0,1003,31,96.91
Bye-Bye-Blackbird,,-1.0,1226,30,97.55
C-Jam-Blues,,0.0,945,12,98.73
Come-Rain-or-Come-Shine,,-1.0,1396,68,95.13
Cottontail,-2,-4.0,2005,31,98.45
Dear-Old-Stockholm,,-1.0,1255,10,99.20
Dolphin-dance,,-3.0,1272,124,90.25
Doxy,-2,-3.0,1277,6,99.53
For-Regulars-Only,,-5.0,1644,75,95.44
Four,-3,-6.0,1867,254,86.40
Fried-Bananas,,-3.0,1631,12,99.26
Gone-with-the-wind,,-3.0,1448,69,95.23
Have-You-Met-Miss-Jones,,-1.0,1901,257,86.48
Honeysuckle-Rose,-1,0.0,1542,34,97.80
I-ll-Remember-April,,1.0,1750,24,98.63
In-Your-Own-Sweet-Way,-3,-2.0,1119,51,95.44
In-a-Mellow-Tone,,-4.0,1172,29,97.53
Invitation,-3,-6.0,1553,217,86.03
Isotope,0,-3.0,1547,104,93.28
Just-Friends,,-1.0,1589,52,96.73
Ladybird,0,-3.0,1681,17,98.99
Milestones,-3,-4.0,1382,97,92.98
Montmartre,,-5.0,1636,103,93.70
Namely-You,,-2.0,1265,21,98.34
Nows-the-time,,-1.0,1490,19,98.72
Oleo,,-2.0,1960,72,96.33
On-Green-Dolphin-Street,-3,-6.0,1678,27,98.39
Out-of-the-Night,,-4.0,980,8,99.18
Parisian-Thoroughfare,,-1.0,1807,50,97.23
Pennies-from-Heaven,,0.0,967,28,97.10
Satin-Doll,,0.0,1397,96,93.13
Scrapple-From-the-Apple,,-1.0,1714,39,97.72
Sonnymoon-for-Two,,-2.0,1094,15,98.63
Soon,,-3.0,1464,9,99.39
Star-Eyes,-3,-5.0,1816,52,97.14
Stella-By-Starlight,,-2.0,1642,16,99.03
Step-Lightly,,0.0,906,35,96.14
Sweet-Georgia-Brown,,-4.0,1151,18,98.44
Take-the-A-Train,,0.0,1407,8,99.43
Tangerine,-1,-2.0,1877,27,98.56
The-Rainbow-People,,-3.0,1153,34,97.05
There-will-never-be-another-you,,-3.0,1744,26,98.51
Three-Little-Words,0,-3.0,1831,47,97.43
UMMG,,-5.0,1613,326,79.79
,48,33.0,69488,2855,nan
,,68.75,,,95.89
