 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 16+0:0:0:0:8
A minor (0), 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 22+0:0:0:0:5
F major (1b), 1+0:1:0:0:1, 1+0:1:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 1+0:1:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 1+0:1:0:0:1, 14+0:7:0:0:7
G major (1#), 2+0:0:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:0, 1+0:1:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:1, 3+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 23+0:7:0:0:5
D minor (1b), 1+0:1:0:0:1, 1+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 2+0:1:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 10+0:4:1:0:2
E minor (1#), 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 28+0:1:0:0:1
Bb major (2b), 1+0:0:0:0:0, 1+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 1+0:1:0:0:1, 2+0:0:0:0:1, 3+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 1+0:1:0:0:1, 18+0:6:0:0:7
D major (2#), 2+0:0:0:0:1, 2+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 2+0:0:1:0:2, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 0+0:0:0:0:0, 19+0:6:1:0:3
G minor (2b), 2+0:0:0:0:0, 1+0:1:0:0:1, 4+0:1:0:0:0, 1+0:0:0:0:1, 1+0:1:0:0:1, 2+0:1:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:0, 1+0:1:0:0:0, 25+0:7:0:0:3
B minor (2#), 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:1:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:1:0:1, 2+0:1:0:0:2, 1+0:0:0:0:1, 1+0:0:0:0:1, 2+0:1:0:0:2, 2+0:0:0:0:1, 0+0:0:0:0:0, 20+0:3:1:0:11
