 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, rowcost
C major (0), 3+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 66+0:0:0:0:9
A minor (0), 3+0:0:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:3, 62+0:0:0:0:14
F major (1b), 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 0+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 53+0:4:1:0:5
G major (1#), 4+0:3:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:0, 2+0:2:0:0:0, 3+0:3:0:0:0, 1+0:1:0:0:0, 3+0:2:0:0:0, 0+0:0:0:0:0, 4+0:3:0:0:1, 1+0:1:0:0:0, 1+0:1:0:0:0, 2+0:1:0:0:0, 3+0:3:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:0, 4+0:3:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:0, 2+0:2:0:0:0, 3+0:3:0:0:0, 1+0:1:0:0:0, 3+0:2:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:2, 3+0:2:0:0:0, 3+0:2:0:0:1, 3+0:2:1:0:1, 62+0:42:1:0:7
D minor (1b), 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 1+0:1:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:2:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 0+0:0:0:0:0, 2+0:1:1:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:2, 45+0:19:2:0:8
E minor (1#), 4+0:0:1:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:1:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 3+0:0:1:0:1, 55+0:1:4:3:8
Bb major (2b), 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 3+0:0:1:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 37+0:4:1:0:4
D major (2#), 4+0:3:0:0:1, 1+0:0:0:0:0, 1+0:1:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:0, 1+0:1:0:0:0, 2+0:2:0:0:0, 0+0:0:0:0:0, 4+0:3:0:0:1, 1+0:1:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 3+0:2:0:0:0, 1+0:0:1:0:1, 0+0:0:0:0:0, 1+0:1:0:0:0, 2+0:1:0:0:0, 4+0:3:0:0:1, 1+0:0:0:0:0, 1+0:1:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:0, 1+0:1:0:0:0, 2+0:2:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:1:1:0:1, 54+0:33:2:0:6
G minor (2b), 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 3+0:1:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 34+0:10:1:0:6
B minor (2#), 3+0:2:0:0:3, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 3+0:2:0:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:2:0:0:3, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:1:1:0:1, 40+0:9:2:0:17
