 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C locrian (0), 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 10+2:0:0:1:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:0:0:3, 4+0:0:0:0:0, 4+0:0:1:0:3, 5+0:0:1:0:3, 2+0:0:0:0:0, 4+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:0, 67+2:0:2:1:15
F major (1b), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 11+2:0:0:1:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:3, 5+0:0:0:0:0, 4+0:0:1:0:3, 5+0:0:1:0:3, 1+0:0:0:0:0, 3+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:0, 62+2:0:2:1:15
G major (1#), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 11+2:0:0:1:3, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:3, 7+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:1:0:3, 0+0:0:0:0:0, 2+0:0:0:0:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 57+2:0:1:1:14
D minor (1b), 3+0:1:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 10+2:3:0:1:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:2, 5+0:4:0:0:2, 6+0:0:0:0:3, 3+0:2:1:0:1, 5+0:4:1:0:3, 2+0:0:0:0:0, 2+0:2:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 72+2:20:2:1:20
E minor (1#), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:2:0:0:2, 4+0:2:0:0:2, 3+0:2:0:0:2, 12+2:5:0:1:4, 3+0:2:0:0:2, 3+0:2:0:0:2, 3+0:2:0:0:2, 5+0:2:0:0:2, 3+0:0:0:0:0, 7+0:4:0:0:4, 4+0:0:0:0:0, 2+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 62+2:24:1:1:24
D minor mel (1b), 2+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 11+2:3:0:1:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:2, 4+0:4:0:0:2, 7+0:0:0:0:3, 3+0:2:0:0:0, 4+0:4:1:0:3, 1+0:0:0:0:0, 2+0:2:0:0:0, 2+0:0:0:0:0, 1+0:1:0:0:0, 67+2:20:1:1:19
E minor mel (1#), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:2:0:0:2, 3+0:2:0:0:2, 3+0:2:0:0:2, 11+2:5:0:1:4, 4+0:2:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 6+0:2:0:0:2, 2+0:0:0:0:0, 8+0:4:0:0:4, 3+0:0:0:0:0, 2+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 72+2:24:1:1:24
F major blues (1b), 4+0:1:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 13+2:4:0:1:5, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 7+0:3:0:0:3, 6+0:0:0:0:0, 6+0:3:0:0:3, 5+0:4:1:0:4, 2+0:0:0:0:0, 5+0:3:0:0:3, 2+0:0:0:0:0, 3+0:1:0:0:1, 97+2:23:1:1:24
G major blues (1#), 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 12+2:4:0:1:2, 4+0:2:0:0:1, 4+0:2:0:0:1, 4+0:2:0:0:1, 6+0:3:0:0:1, 6+0:0:0:0:3, 8+0:4:0:0:2, 5+0:0:0:0:1, 5+0:0:1:0:3, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 95+2:20:1:1:16
D minor blues (1b), 4+0:1:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 13+2:4:0:1:5, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 7+0:3:0:0:3, 6+0:0:0:0:0, 6+0:3:0:0:3, 5+0:4:1:0:4, 2+0:0:0:0:0, 5+0:3:0:0:3, 2+0:0:0:0:0, 3+0:1:0:0:1, 97+2:23:1:1:24
