 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
C major (0), C minor (3b), C minor (3b), C major (0), C major (0), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), G minor (2b), C minor (3b)
A minor (0), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), D minor (1b), D minor (1b), D minor (1b), G minor (2b), G minor (2b), C minor (3b), G minor (2b), D minor (1b)
F major (1b), Bb major (2b), Bb major (2b), F major (1b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b)
G major (1#), G minor (2b), Bb major (2b), G minor (2b), G minor (2b), G minor (2b), Bb major (2b), G minor (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), G minor (2b), C major (0)
D minor (1b), G minor (2b), Bb major (2b), G minor (2b), G minor (2b), G minor (2b), Bb major (2b), F major (1b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), G minor (2b), D minor (1b)
E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), D minor (1b), E minor (1#), E minor (1#), E minor (1#), G minor (2b), Bb major (2b), G minor (2b), A minor (0)
Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b)
D major (2#), G minor (2b), D minor (1b), D minor (1b), D minor (1b), G minor (2b), D minor (1b), D minor (1b), D minor (1b), G minor (2b), D minor (1b), D minor (1b), D minor (1b), G minor (2b), G minor (2b), Bb major (2b), G minor (2b), D minor (1b)
G minor (2b), G minor (2b), Bb major (2b), G minor (2b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b)
B minor (2#), E minor (1#), E minor (1#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), E minor (1#), D minor (1b), E minor (1#), E minor (1#), E minor (1#), F# major (6#), F# major (6#), C# major (7#), F# minor (3#)
