 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, rowcost
Eb major (3b), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:1:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 30+0:0:1:0:1
A major (3#), 5+0:3:0:0:2, 5+0:4:0:0:3, 4+0:3:0:0:2, 5+1:3:0:0:2, 5+0:4:0:0:3, 2+0:1:0:0:0, 4+0:3:0:0:2, 10+0:5:1:0:4, 4+0:2:0:0:1, 5+0:3:0:0:3, 6+0:3:0:0:2, 7+0:4:0:0:3, 4+0:2:0:0:1, 5+0:4:0:0:3, 4+0:3:0:0:2, 7+0:4:0:0:3, 5+0:3:0:0:3, 10+0:5:0:0:4, 5+0:3:0:0:2, 102+1:62:1:0:45
C minor (3b), 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:1, 2+0:1:0:0:0, 2+0:0:0:0:0, 7+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:1:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:0, 47+0:2:1:0:7
F# minor (3#), 5+0:3:0:0:4, 5+0:3:0:0:4, 4+0:3:0:0:3, 5+1:3:0:0:3, 5+0:3:0:0:4, 2+0:0:0:0:1, 4+0:3:0:0:3, 11+0:5:1:0:7, 4+0:2:0:0:4, 5+0:3:0:0:5, 6+0:3:0:0:5, 7+0:4:0:0:5, 4+0:2:0:0:4, 5+0:4:0:0:5, 4+0:3:0:0:3, 7+0:4:0:0:5, 5+0:3:0:0:5, 10+0:5:0:0:7, 5+0:3:0:0:4, 103+1:59:1:0:81
Ab major (4b), 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 21+0:0:1:0:2
E major (4#), 5+0:3:0:0:3, 5+0:3:0:0:3, 4+0:3:0:0:3, 5+1:3:0:0:3, 5+0:3:0:0:3, 2+0:0:0:0:0, 4+0:3:0:0:3, 10+0:5:1:0:5, 5+0:2:0:0:2, 5+0:3:0:0:3, 6+0:3:0:0:3, 7+0:4:0:0:4, 5+0:2:0:0:2, 5+0:4:0:0:4, 4+0:3:0:0:3, 7+0:4:0:0:4, 5+0:3:0:0:3, 10+0:5:0:0:5, 5+0:3:0:0:3, 104+1:59:1:0:59
F minor (4b), 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 36+0:1:1:0:2
C# minor (4#), 5+0:3:0:0:4, 5+0:3:0:0:4, 4+0:3:0:0:4, 5+1:3:0:0:4, 5+0:3:0:0:4, 1+0:0:0:0:0, 4+0:3:0:0:4, 10+0:5:1:0:8, 5+0:2:0:0:4, 5+0:3:0:0:5, 6+0:3:0:0:5, 7+0:4:0:0:6, 5+0:2:0:0:4, 5+0:4:0:0:5, 4+0:3:0:0:4, 7+0:4:0:0:6, 5+0:3:0:0:5, 10+0:5:0:0:9, 5+0:3:0:0:5, 103+1:59:1:0:90
Db major (5b), 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:1:0:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 26+0:0:1:0:8
B major (5#), 5+0:3:0:0:3, 5+0:3:0:0:3, 4+0:3:0:0:3, 5+1:3:0:0:3, 5+0:3:0:0:3, 1+0:0:0:0:0, 4+0:3:0:0:3, 10+0:5:1:0:6, 5+0:2:0:0:3, 5+0:3:0:0:4, 6+0:3:0:0:4, 7+0:4:0:0:5, 5+0:2:0:0:3, 5+0:4:0:0:4, 4+0:3:0:0:3, 7+0:4:0:0:5, 5+0:3:0:0:4, 10+0:5:0:0:6, 5+0:3:0:0:4, 103+1:59:1:0:69
