 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
Eb major (3b), 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:1:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:2:0:0:4, 8+0:0:1:2:3, 4+0:0:1:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:1:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 70+0:5:2:2:27
A major (3#), 2+0:1:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:2:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:0, 6+0:3:0:0:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 8+0:6:1:2:4, 7+0:4:1:0:3, 2+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:2:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:0, 6+0:3:0:0:2, 3+0:1:0:0:1, 3+0:2:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 94+0:31:2:2:17
C minor (3b), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:2:0:0:2, 8+0:0:1:2:3, 5+0:0:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 75+0:5:2:2:9
F# minor (3#), 2+0:1:0:0:2, 3+0:0:0:0:2, 2+0:1:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:2, 4+0:0:0:0:1, 4+0:2:0:0:3, 3+0:1:0:0:3, 3+0:1:0:0:3, 6+0:3:0:0:4, 3+0:0:0:0:2, 0+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:1, 9+0:6:1:2:5, 7+0:4:1:0:6, 3+0:0:0:0:2, 2+0:1:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:2, 4+0:0:0:0:1, 4+0:2:0:0:3, 3+0:1:0:0:3, 3+0:1:0:0:3, 6+0:3:0:0:4, 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:0:0:0:1, 5+0:1:0:0:3, 3+0:0:0:0:2, 0+0:0:0:0:0, 106+0:30:2:2:67
Ab major (4b), 1+0:0:0:0:1, 2+0:0:0:0:2, 1+0:0:0:0:1, 4+0:0:0:0:3, 3+0:1:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:3, 0+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:2, 1+0:0:0:0:1, 4+0:0:0:0:2, 5+0:2:0:0:4, 8+0:0:1:2:4, 5+0:0:1:0:1, 2+0:0:0:0:2, 1+0:0:0:0:1, 4+0:0:0:0:3, 3+0:1:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:3, 0+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 3+0:1:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:1, 0+0:0:0:0:0, 85+0:5:2:2:54
E major (4#), 2+0:1:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:2:0:0:2, 4+0:1:0:0:1, 4+0:1:0:0:1, 6+0:3:0:0:3, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 8+0:6:1:2:4, 8+0:4:1:0:4, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:2:0:0:2, 4+0:1:0:0:1, 4+0:1:0:0:1, 6+0:3:0:0:3, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 5+0:1:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 111+0:30:2:2:28
F minor (4b), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:2:0:0:2, 7+0:0:1:2:3, 5+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 80+0:5:2:2:9
C# minor (4#), 2+0:0:0:0:0, 2+0:0:0:0:2, 1+0:1:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:2, 4+0:2:0:0:4, 4+0:1:0:0:3, 4+0:1:0:0:2, 6+0:3:0:0:6, 2+0:0:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 8+0:6:1:2:6, 8+0:4:1:0:7, 2+0:0:0:0:2, 1+0:1:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:2, 4+0:2:0:0:4, 4+0:1:0:0:3, 4+0:1:0:0:2, 6+0:3:0:0:6, 3+0:1:0:0:3, 4+0:1:0:0:2, 4+0:0:0:0:2, 5+0:1:0:0:4, 4+0:0:0:0:3, 1+0:0:0:0:1, 116+0:29:2:2:82
Db major (5b), 1+0:0:0:0:1, 2+0:0:0:0:2, 1+0:0:0:0:1, 5+0:0:0:0:4, 4+0:1:0:0:3, 2+0:0:0:0:2, 6+0:0:0:0:4, 1+0:0:0:0:0, 2+0:0:0:0:2, 4+0:0:0:0:3, 1+0:0:0:0:0, 2+0:0:0:0:2, 1+0:0:0:0:1, 4+0:0:0:0:3, 5+0:2:0:0:5, 9+0:0:1:2:3, 6+0:0:1:0:2, 2+0:0:0:0:2, 1+0:0:0:0:1, 5+0:0:0:0:4, 4+0:1:0:0:3, 2+0:0:0:0:2, 6+0:0:0:0:4, 1+0:0:0:0:0, 2+0:0:0:0:2, 4+0:0:0:0:3, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:1:0:0:3, 5+0:0:0:0:4, 4+0:0:0:0:3, 3+0:0:0:0:2, 0+0:0:0:0:0, 101+0:5:2:2:72
B major (5#), 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 4+0:2:0:0:2, 5+0:1:0:0:2, 5+0:1:0:0:2, 6+0:3:0:0:4, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 9+0:6:1:2:4, 9+0:4:1:0:5, 3+0:0:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 4+0:2:0:0:2, 5+0:1:0:0:2, 5+0:1:0:0:2, 6+0:3:0:0:4, 4+0:1:0:0:1, 5+0:1:0:0:1, 4+0:0:0:0:1, 6+0:1:0:0:2, 5+0:0:0:0:1, 1+0:0:0:0:1, 137+0:29:2:2:49
