 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, rowcost
C major (0), 3+0:0:0:0:1, 5+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:1:1:4, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 4+0:0:1:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:1:1:4, 3+0:0:0:0:1, 6+0:0:1:0:2, 4+0:0:0:0:1, 5+0:0:0:0:1, 8+0:0:1:1:3, 2+0:0:0:0:0, 135+0:0:12:3:37
A minor (0), 3+0:0:0:0:2, 5+0:0:0:0:4, 7+0:0:2:0:6, 6+0:0:1:0:3, 4+0:0:0:0:2, 3+0:0:0:0:1, 8+0:0:1:1:5, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:1:0:4, 4+0:0:1:0:3, 4+0:0:0:0:3, 4+0:0:0:0:3, 5+0:0:0:0:4, 7+0:0:2:0:6, 6+0:0:1:0:3, 4+0:0:0:0:2, 3+0:0:0:0:1, 8+0:0:1:1:5, 3+0:0:0:0:2, 6+0:0:1:0:5, 4+0:0:0:0:3, 5+0:0:0:0:4, 8+0:0:1:1:5, 3+0:0:0:0:1, 141+0:0:12:3:91
A minor mel (0), 4+0:0:0:0:2, 6+0:0:0:0:4, 7+0:0:2:0:6, 6+0:0:1:0:3, 5+0:0:0:0:2, 3+0:0:0:0:1, 9+0:0:1:1:5, 3+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:1:0:4, 5+0:0:1:0:3, 5+0:0:0:0:3, 5+0:0:0:0:3, 6+0:0:0:0:4, 7+0:0:2:0:6, 6+0:0:1:0:3, 5+0:0:0:0:2, 3+0:0:0:0:1, 9+0:0:1:1:5, 3+0:0:0:0:2, 7+0:0:1:0:5, 5+0:0:0:0:3, 6+0:0:0:0:4, 9+0:0:1:1:5, 3+0:0:0:0:1, 156+0:0:12:3:91
C major blues (0), 4+0:0:0:0:1, 6+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+0:0:1:1:4, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 6+0:0:1:0:1, 5+0:0:0:0:1, 5+0:0:0:0:1, 6+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+0:0:1:1:4, 3+0:0:0:0:1, 7+0:0:1:0:2, 5+0:0:0:0:1, 6+0:0:0:0:1, 9+0:0:1:1:3, 2+0:0:0:0:0, 152+0:0:12:3:37
A minor blues (0), 4+0:0:0:0:1, 6+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+0:0:1:1:4, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 6+0:0:1:0:1, 5+0:0:0:0:1, 5+0:0:0:0:1, 6+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+0:0:1:1:4, 3+0:0:0:0:1, 7+0:0:1:0:2, 5+0:0:0:0:1, 6+0:0:0:0:1, 9+0:0:1:1:3, 2+0:0:0:0:0, 152+0:0:12:3:37
C dorian (0), 4+0:0:0:0:1, 6+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+0:0:1:1:4, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 5+0:0:1:0:1, 5+0:0:0:0:1, 5+0:0:0:0:1, 6+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+0:0:1:1:4, 3+0:0:0:0:1, 7+0:0:1:0:2, 5+0:0:0:0:1, 6+0:0:0:0:1, 9+0:0:1:1:3, 2+0:0:0:0:0, 150+0:0:12:3:37
C phrygian (0), 2+0:0:0:0:1, 4+0:0:0:0:1, 6+0:0:2:0:3, 5+0:0:1:0:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:1:1:4, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 3+0:0:1:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 6+0:0:2:0:3, 5+0:0:1:0:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:1:1:4, 2+0:0:0:0:1, 5+0:0:1:0:2, 3+0:0:0:0:1, 4+0:0:0:0:1, 8+0:0:1:1:3, 1+0:0:0:0:0, 110+0:0:12:3:37
C lydian (0), 4+0:0:0:0:1, 6+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+0:0:1:1:4, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 5+0:0:1:0:1, 5+0:0:0:0:1, 5+0:0:0:0:1, 6+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+0:0:1:1:4, 3+0:0:0:0:1, 7+0:0:1:0:2, 5+0:0:0:0:1, 6+0:0:0:0:1, 9+0:0:1:1:3, 2+0:0:0:0:0, 150+0:0:12:3:37
C mixolydian (0), 2+0:0:0:0:1, 4+0:0:0:0:1, 6+0:0:2:0:3, 5+0:0:1:0:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:1:1:4, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 3+0:0:1:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 6+0:0:2:0:3, 5+0:0:1:0:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:1:1:4, 2+0:0:0:0:1, 5+0:0:1:0:2, 3+0:0:0:0:1, 4+0:0:0:0:1, 8+0:0:1:1:3, 1+0:0:0:0:0, 110+0:0:12:3:37
C aeolian (0), 3+0:0:0:0:1, 5+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:1:1:4, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 4+0:0:1:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 7+0:0:2:0:3, 6+0:0:1:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:1:1:4, 3+0:0:0:0:1, 6+0:0:1:0:2, 4+0:0:0:0:1, 5+0:0:0:0:1, 8+0:0:1:1:3, 2+0:0:0:0:0, 135+0:0:12:3:37
