 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 0+0+0:0:0:0:0, 3+0+0:0:0:0:0, 5+0+1:0:0:0:0, 5+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+2:1:0:0:1, 2+0+2:0:0:0:0, 2+0+3:0:0:0:0, 2+0+3:0:0:0:0, 2+0+1:0:0:0:0, 2+0+4:0:0:0:2, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+5:0:0:0:3, 3+0+2:1:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 36+0+24:2:0:0:6
A minor (0), 0+0+0:0:0:0:0, 3+0+0:0:0:0:0, 5+0+1:0:0:0:0, 5+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+2:1:0:0:1, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+4:2:0:0:1, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+4:2:0:0:1, 3+0+2:1:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 37+0+14:6:0:0:3
F major (1b), 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 5+0+3:0:0:0:2, 2+0+0:0:0:0:0, 4+0+2:1:0:0:1, 2+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+4:2:0:0:1, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 3+0+4:2:0:0:1, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 34+0+18:5:0:0:5
G major (1#), 0+0+0:0:0:0:0, 4+0+0:0:0:0:0, 6+0+1:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:1:0:0:1, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:0:0:2, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+4:0:0:0:1, 6+0+3:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 44+0+15:1:0:0:4
D minor (1b), 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 5+0+1:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:1:0:0:1, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+4:2:0:0:1, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 3+0+4:2:0:0:1, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 35+0+15:5:0:0:3
E minor (1#), 0+0+0:0:0:0:0, 5+0+0:0:0:0:0, 6+0+0:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:1:0:0:1, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:0:0:1, 4+0+2:0:0:0:0, 2+0+0:0:0:0:0, 3+0+4:2:0:0:1, 6+0+3:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 45+0+16:3:0:0:3
Bb major (2b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+3:0:1:0:1, 1+0+0:0:0:0:0, 3+0+2:1:0:0:1, 2+0+2:1:0:0:0, 2+0+3:0:0:0:0, 2+0+3:0:0:0:0, 2+0+1:0:0:0:0, 2+0+3:1:1:0:2, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 4+0+4:1:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 28+0+24:4:2:0:4
D major (2#), 1+0+0:0:0:0:0, 5+0+0:0:0:0:0, 7+0+1:0:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 3+0+2:1:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+4:0:0:0:1, 4+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+4:2:0:0:1, 7+0+3:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 42+0+17:3:0:0:3
G minor (2b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 5+0+1:0:1:0:1, 1+0+0:0:0:0:0, 3+0+2:1:0:0:1, 2+0+2:0:0:0:0, 2+0+3:0:0:0:0, 2+0+3:0:0:0:0, 2+0+1:0:0:0:0, 3+0+4:1:0:0:1, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 4+0+4:1:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 31+0+22:3:1:0:3
B minor (2#), 1+0+1:0:0:0:0, 5+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 4+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+4:0:0:0:1, 4+0+2:1:0:0:0, 2+0+0:0:0:0:0, 2+0+4:0:0:0:1, 5+0+2:0:1:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 39+0+17:1:1:0:2
