 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
C major (0), F major (1b), Bb major (2b), Bb minor (5b), E minor (1#), G minor (2b), C minor (3b), G major (1#), G major (1#), G major (1#), G major (1#), C major (0), C minor (3b), C major (0), C major (0), C minor (3b), C major (0), C major (0)
A minor (0), C major (0), Bb major (2b), Bb minor (5b), E minor (1#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), D major (2#), D minor (1b), C minor (3b), A minor (0), D minor (1b), C minor (3b), C major (0), C major (0)
F major (1b), F major (1b), Bb major (2b), Bb minor (5b), G major (1#), G minor (2b), C minor (3b), G major (1#), D major (2#), D major (2#), D major (2#), D minor (1b), Bb major (2b), F major (1b), D minor (1b), F minor (4b), F major (1b), F major (1b)
G major (1#), G minor (2b), Bb major (2b), Bb minor (5b), E minor (1#), E minor (1#), B minor (2#), D major (2#), D major (2#), D major (2#), D major (2#), G major (1#), C minor (3b), C major (0), D major (2#), C major (0), C major (0), C major (0)
D minor (1b), F major (1b), Bb major (2b), Bb minor (5b), E minor (1#), E minor (1#), B minor (2#), D major (2#), D major (2#), D major (2#), D major (2#), D minor (1b), F major (1b), D minor (1b), D minor (1b), F minor (4b), F major (1b), F major (1b)
E minor (1#), G major (1#), C# major (7#), C# major (7#), E minor (1#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), D major (2#), C major (0), A minor (0), D minor (1b), C major (0), A minor (0), A minor (0)
Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), G major (1#), G minor (2b), C minor (3b), G minor (2b), G major (1#), G major (1#), G major (1#), G minor (2b), Bb major (2b), F major (1b), D minor (1b), F minor (4b), F major (1b), F major (1b)
D major (2#), G major (1#), Bb major (2b), Bb minor (5b), E minor (1#), E minor (1#), B minor (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), F major (1b), D minor (1b), D minor (1b), F major (1b), D minor (1b), D minor (1b)
G minor (2b), G minor (2b), Bb major (2b), Bb minor (5b), E minor (1#), G minor (2b), C minor (3b), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), C minor (3b), C minor (3b), D minor (1b), F minor (4b), C minor (3b), C minor (3b)
B minor (2#), B minor (2#), C# major (7#), C# major (7#), F# major (6#), B major (5#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), D major (2#), D minor (1b), D minor (1b), D major (2#), F# minor (3#), F# minor (3#), F# minor (3#)
Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Eb minor (6b), Eb minor (6b), C minor (3b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), Bb major (2b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b)
A major (3#), G major (1#), C# major (7#), C# major (7#), F# major (6#), F# major (6#), B major (5#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), C major (0), A minor (0), A major (3#), C major (0), A minor (0), A minor (0)
C minor (3b), C minor (3b), Eb major (3b), Ab major (4b), G major (1#), G minor (2b), C minor (3b), G minor (2b), G major (1#), G major (1#), G major (1#), C major (0), C minor (3b), C minor (3b), D minor (1b), F minor (4b), C minor (3b), C minor (3b)
F# minor (3#), B minor (2#), C# major (7#), C# major (7#), F# major (6#), F# major (6#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), D major (2#), F# minor (3#), F# minor (3#), B minor (2#), F# minor (3#), F# minor (3#), F# minor (3#)
Ab major (4b), Eb major (3b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), C minor (3b), G major (1#), D major (2#), D major (2#), D major (2#), D minor (1b), C minor (3b), F minor (4b), F major (1b), F minor (4b), Ab major (4b), Ab major (4b)
E major (4#), G major (1#), C# major (7#), C# major (7#), F# major (6#), B major (5#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), D major (2#), C major (0), A minor (0), A major (3#), C# major (7#), C# major (7#), C# major (7#)
F minor (4b), F major (1b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), C minor (3b), G minor (2b), D minor (1b), D major (2#), D major (2#), D minor (1b), C minor (3b), C minor (3b), D minor (1b), F minor (4b), F minor (4b), F minor (4b)
C# minor (4#), E minor (1#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), F# major (6#), F# minor (3#), F# minor (3#), F# minor (3#), B minor (2#), D major (2#), F# minor (3#), F# minor (3#), G# minor (5#), C# major (7#), C# major (7#), C# major (7#)
Db major (5b), Eb major (3b), Ab major (4b), Db major (5b), Db major (5b), Bb minor (5b), C minor (3b), G major (1#), D major (2#), D major (2#), G major (1#), Bb major (2b), Eb major (3b), Eb major (3b), Bb major (2b), Ab major (4b), Db major (5b), Db major (5b)
B major (5#), B minor (2#), C# major (7#), C# major (7#), F# major (6#), B major (5#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), D major (2#), F# minor (3#), F# major (6#), G# minor (5#), C# major (7#), F# major (6#), F# major (6#)
Bb minor (5b), Bb major (2b), Bb minor (5b), Db major (5b), Db major (5b), Bb minor (5b), C minor (3b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b), Bb minor (5b), Bb minor (5b)
G# minor (5#), B minor (2#), C# major (7#), C# major (7#), F# major (6#), B major (5#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), A# minor (7#), D# minor (6#), D# minor (6#)
Gb major (6b), Eb major (3b), Ab major (4b), Db major (5b), Db major (5b), Gb major (6b), C minor (3b), G major (1#), D major (2#), D major (2#), G major (1#), C major (0), Eb major (3b), Eb major (3b), Bb major (2b), Db major (5b), Gb major (6b), Gb major (6b)
F# major (6#), B minor (2#), C# major (7#), C# major (7#), F# major (6#), F# major (6#), B major (5#), B minor (2#), B minor (2#), B minor (2#), B minor (2#), D major (2#), F# minor (3#), F# minor (3#), G# minor (5#), C# major (7#), F# major (6#), F# major (6#)
Eb minor (6b), Eb major (3b), Eb major (3b), Bb minor (5b), Eb minor (6b), Eb minor (6b), C minor (3b), G major (1#), D major (2#), D major (2#), G major (1#), C major (0), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb minor (6b), Eb minor (6b)
D# minor (6#), C# major (7#), A# minor (7#), C# major (7#), F# major (6#), F# major (6#), F# major (6#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), G# minor (5#), D# minor (6#), D# minor (6#), G# minor (5#), A# minor (7#), D# minor (6#), D# minor (6#)
