 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, rowcost
Eb major (3b), 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:1:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:1:0:0, 1+0:0:1:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:1:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 8+2:4:1:0:5, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:0:3:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:0:3:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:0, 2+0:0:1:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:0:3:3, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 71+2:5:8:9:21
A major (3#), 1+0:1:0:0:0, 3+0:3:0:0:2, 8+0:6:1:0:5, 4+0:3:1:0:3, 4+0:2:0:0:1, 3+0:3:0:0:2, 8+0:5:0:0:4, 4+0:3:1:0:3, 4+0:3:1:0:2, 3+0:3:0:0:2, 7+0:5:0:0:4, 4+0:3:1:0:3, 6+0:4:1:0:3, 3+0:2:0:0:1, 9+2:3:1:0:3, 3+0:2:0:0:1, 5+0:2:0:0:1, 5+0:2:0:0:2, 4+0:2:0:0:1, 7+0:4:0:0:3, 11+0:8:0:3:4, 4+0:2:0:0:2, 4+0:2:0:0:1, 6+0:4:0:0:3, 5+0:1:0:0:0, 5+0:2:0:0:2, 4+0:2:0:0:1, 7+0:4:0:0:3, 11+0:8:0:3:4, 4+0:2:0:0:2, 4+0:2:0:0:1, 4+0:3:0:0:2, 6+0:3:0:0:2, 4+0:2:0:0:2, 7+0:5:1:0:5, 8+0:5:1:0:4, 4+0:2:0:0:1, 4+0:2:0:0:2, 6+0:2:0:0:1, 5+0:3:0:0:2, 5+0:2:0:0:1, 5+0:2:0:0:2, 4+0:2:0:0:1, 7+0:4:0:0:3, 11+0:8:0:3:4, 4+0:2:0:0:2, 5+0:3:0:0:2, 6+0:4:0:0:3, 5+0:1:0:0:0, 260+2:153:9:9:108
C minor (3b), 1+0:0:0:0:0, 2+0:0:0:0:1, 5+0:0:0:0:1, 1+0:0:1:0:1, 3+0:1:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:1, 1+0:0:1:0:1, 2+0:0:1:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:1:0:1, 3+0:0:1:0:2, 1+0:0:0:0:0, 9+2:4:1:0:4, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 8+0:0:0:3:4, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 8+0:0:0:3:4, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:2, 3+0:0:1:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 8+0:0:0:3:4, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 108+2:5:8:9:36
F# minor (3#), 1+0:0:0:0:0, 3+0:3:0:0:3, 8+0:6:1:0:7, 4+0:3:1:0:4, 3+0:2:0:0:2, 3+0:3:0:0:3, 8+0:5:0:0:7, 4+0:3:1:0:4, 4+0:3:1:0:4, 3+0:3:0:0:3, 7+0:5:0:0:6, 4+0:3:1:0:4, 6+0:4:1:0:5, 3+0:2:0:0:2, 9+2:3:0:0:4, 3+0:2:0:0:3, 5+0:2:0:0:4, 5+0:2:0:0:4, 4+0:2:0:0:3, 7+0:4:0:0:6, 11+0:8:0:3:6, 4+0:2:0:0:4, 4+0:2:0:0:3, 6+0:4:0:0:5, 6+0:1:0:0:3, 5+0:2:0:0:4, 4+0:2:0:0:3, 7+0:4:0:0:6, 11+0:8:0:3:6, 4+0:2:0:0:4, 4+0:2:0:0:3, 4+0:3:0:0:3, 6+0:3:0:0:4, 4+0:2:0:0:3, 7+0:5:1:0:6, 8+0:5:1:0:7, 5+0:2:0:0:3, 4+0:2:0:0:4, 6+0:2:0:0:4, 5+0:2:0:0:4, 6+0:2:0:0:4, 5+0:2:0:0:4, 4+0:2:0:0:3, 7+0:4:0:0:6, 11+0:8:0:3:6, 4+0:2:0:0:4, 5+0:3:0:0:5, 6+0:4:0:0:5, 6+0:1:0:0:3, 263+2:151:8:9:203
Ab major (4b), 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:1:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:1:0:0, 2+0:0:1:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:1:0:0, 3+0:0:1:0:0, 1+0:0:0:0:0, 8+2:4:1:0:6, 1+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:0:3:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:0:3:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:0, 1+0:0:1:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:0:3:2, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 89+2:5:8:9:22
E major (4#), 1+0:0:0:0:0, 4+0:3:0:0:3, 8+0:6:1:0:6, 4+0:3:1:0:3, 5+0:2:0:0:2, 4+0:3:0:0:3, 8+0:5:0:0:5, 4+0:3:1:0:3, 5+0:3:1:0:3, 4+0:3:0:0:3, 7+0:5:0:0:5, 4+0:3:1:0:3, 7+0:4:1:0:4, 4+0:2:0:0:2, 8+2:3:1:0:4, 3+0:2:0:0:2, 6+0:2:0:0:2, 5+0:2:0:0:2, 5+0:2:0:0:2, 8+0:4:0:0:4, 12+0:8:0:3:5, 4+0:2:0:0:2, 5+0:2:0:0:2, 7+0:4:0:0:4, 6+0:1:0:0:1, 5+0:2:0:0:2, 5+0:2:0:0:2, 8+0:4:0:0:4, 12+0:8:0:3:5, 4+0:2:0:0:2, 5+0:2:0:0:2, 5+0:3:0:0:3, 6+0:3:0:0:3, 4+0:2:0:0:2, 7+0:5:1:0:5, 8+0:5:1:0:5, 4+0:2:0:0:2, 4+0:2:0:0:2, 6+0:2:0:0:2, 5+0:2:0:0:2, 6+0:2:0:0:2, 5+0:2:0:0:2, 5+0:2:0:0:2, 8+0:4:0:0:4, 12+0:8:0:3:5, 4+0:2:0:0:2, 6+0:3:0:0:3, 6+0:4:0:0:4, 6+0:1:0:0:1, 284+2:151:9:9:143
F minor (4b), 0+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:1:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 9+2:4:1:0:4, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 8+0:0:0:3:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 8+0:0:0:3:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:1:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 8+0:0:0:3:3, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 120+2:6:8:9:22
C# minor (4#), 1+0:0:0:0:0, 4+0:3:0:0:3, 8+0:6:1:0:8, 4+0:3:1:0:4, 5+0:2:0:0:3, 4+0:3:0:0:3, 8+0:5:0:0:7, 4+0:3:1:0:4, 5+0:3:1:0:4, 4+0:3:0:0:3, 7+0:5:0:0:7, 4+0:3:1:0:4, 7+0:4:1:0:5, 4+0:2:0:0:3, 8+2:3:1:0:4, 3+0:2:0:0:3, 6+0:2:0:0:5, 5+0:2:0:0:5, 5+0:2:0:0:4, 8+0:4:0:0:7, 12+0:8:0:3:7, 4+0:2:0:0:4, 5+0:2:0:0:4, 7+0:4:0:0:6, 6+0:1:0:0:4, 5+0:2:0:0:5, 5+0:2:0:0:4, 8+0:4:0:0:7, 12+0:8:0:3:7, 4+0:2:0:0:4, 5+0:2:0:0:4, 5+0:3:0:0:4, 6+0:3:0:0:5, 4+0:2:0:0:4, 7+0:5:1:0:7, 8+0:5:1:0:8, 4+0:2:0:0:4, 4+0:2:0:0:4, 6+0:2:0:0:5, 5+0:2:0:0:4, 6+0:2:0:0:5, 5+0:2:0:0:5, 5+0:2:0:0:4, 8+0:4:0:0:7, 12+0:8:0:3:7, 4+0:2:0:0:4, 6+0:3:0:0:5, 6+0:4:0:0:6, 6+0:1:0:0:4, 284+2:151:9:9:234
Db major (5b), 0+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:1:0:0, 3+0:1:0:0:2, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:1:0:0, 2+0:0:1:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:1:0:0, 2+0:0:1:0:1, 2+0:0:0:0:1, 7+2:4:1:0:7, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 9+0:0:0:3:3, 0+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 9+0:0:0:3:3, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 2+0:0:1:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 9+0:0:0:3:3, 0+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:2, 106+2:5:8:9:49
B major (5#), 0+0:0:0:0:0, 4+0:3:0:0:3, 8+0:6:1:0:7, 4+0:3:1:0:4, 5+0:2:0:0:3, 4+0:3:0:0:3, 8+0:5:0:0:6, 4+0:3:1:0:4, 5+0:3:1:0:4, 4+0:3:0:0:3, 7+0:5:0:0:6, 4+0:3:1:0:4, 7+0:4:1:0:5, 4+0:2:0:0:2, 9+2:3:1:0:3, 4+0:2:0:0:3, 6+0:2:0:0:3, 5+0:2:0:0:3, 5+0:2:0:0:3, 8+0:4:0:0:5, 12+0:8:0:3:6, 4+0:2:0:0:3, 5+0:2:0:0:3, 7+0:4:0:0:4, 6+0:1:0:0:2, 5+0:2:0:0:3, 5+0:2:0:0:3, 8+0:4:0:0:5, 12+0:8:0:3:6, 4+0:2:0:0:3, 5+0:2:0:0:3, 5+0:3:0:0:4, 6+0:3:0:0:4, 4+0:2:0:0:2, 7+0:5:1:0:6, 8+0:5:1:0:6, 4+0:2:0:0:2, 4+0:2:0:0:3, 7+0:2:0:0:3, 5+0:2:0:0:3, 6+0:2:0:0:3, 5+0:2:0:0:3, 5+0:2:0:0:3, 8+0:4:0:0:5, 12+0:8:0:3:6, 4+0:2:0:0:3, 7+0:3:0:0:4, 6+0:4:0:0:4, 6+0:1:0:0:2, 287+2:151:9:9:181
