 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
Eb major (3b), 1+0:0:0:0:1, 3+1:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 10+1:2:0:0:4, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:1:1:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 49+2:4:1:1:20
A major (3#), 5+0:2:0:0:1, 5+1:3:0:0:3, 8+0:4:0:0:3, 4+0:3:0:0:2, 5+0:2:0:0:1, 4+0:2:0:0:1, 2+0:0:0:0:0, 5+0:2:0:0:1, 4+0:3:0:0:2, 15+1:7:0:0:5, 5+0:2:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:1, 4+0:1:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:1, 2+0:1:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:0, 6+0:4:1:1:3, 4+0:1:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:1, 110+2:47:1:1:29
C minor (3b), 2+0:0:0:0:0, 3+1:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 11+1:2:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:1:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 65+2:4:1:1:5
F# minor (3#), 6+0:2:0:0:4, 5+1:3:0:0:4, 8+0:4:0:0:6, 4+0:3:0:0:4, 5+0:2:0:0:4, 5+0:2:0:0:3, 3+0:0:0:0:2, 5+0:2:0:0:4, 4+0:3:0:0:4, 15+1:7:0:0:8, 5+0:2:0:0:3, 5+0:2:0:0:4, 4+0:2:0:0:3, 5+0:1:0:0:2, 3+0:0:0:0:2, 6+0:2:0:0:4, 2+0:1:0:0:2, 5+0:1:0:0:3, 4+0:0:0:0:1, 6+0:4:1:1:3, 4+0:1:0:0:3, 4+0:1:0:0:2, 3+0:0:0:0:2, 6+0:2:0:0:4, 122+2:47:1:1:81
Ab major (4b), 1+0:0:0:0:1, 4+1:1:0:0:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 9+1:2:0:0:4, 1+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:2, 3+0:0:1:1:1, 1+0:0:0:0:0, 2+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:1, 45+2:4:1:1:31
E major (4#), 5+0:2:0:0:2, 6+1:3:0:0:3, 8+0:4:0:0:4, 4+0:3:0:0:3, 5+0:2:0:0:2, 4+0:2:0:0:2, 2+0:0:0:0:0, 5+0:2:0:0:2, 4+0:3:0:0:3, 15+1:7:0:0:7, 5+0:2:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 5+0:1:0:0:1, 2+0:0:0:0:0, 5+0:2:0:0:2, 3+0:1:0:0:1, 5+0:1:0:0:1, 3+0:0:0:0:0, 6+0:4:1:1:3, 5+0:1:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 5+0:2:0:0:2, 116+2:47:1:1:46
F minor (4b), 0+0:0:0:0:0, 5+1:1:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 10+1:2:0:0:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 38+2:4:1:1:6
C# minor (4#), 5+0:2:0:0:5, 6+1:3:0:0:4, 8+0:4:0:0:7, 4+0:3:0:0:4, 5+0:2:0:0:4, 4+0:2:0:0:4, 2+0:0:0:0:2, 5+0:2:0:0:5, 4+0:3:0:0:4, 15+1:7:0:0:10, 5+0:2:0:0:4, 4+0:2:0:0:4, 4+0:2:0:0:4, 5+0:1:0:0:3, 2+0:0:0:0:2, 5+0:2:0:0:5, 3+0:1:0:0:2, 5+0:1:0:0:4, 3+0:0:0:0:3, 6+0:4:1:1:5, 5+0:1:0:0:4, 3+0:1:0:0:3, 3+0:0:0:0:2, 5+0:2:0:0:5, 116+2:47:1:1:99
Db major (5b), 2+0:0:0:0:1, 3+1:1:0:0:3, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:2, 2+0:0:0:0:1, 0+0:0:0:0:0, 10+1:2:0:0:5, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:3, 2+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:2, 4+0:0:1:1:0, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:3, 2+0:0:0:0:1, 60+2:4:1:1:37
B major (5#), 5+0:2:0:0:3, 6+1:3:0:0:3, 8+0:4:0:0:5, 4+0:3:0:0:4, 5+0:2:0:0:3, 4+0:2:0:0:2, 3+0:0:0:0:1, 6+0:2:0:0:3, 4+0:3:0:0:4, 15+1:7:0:0:8, 5+0:2:0:0:2, 4+0:2:0:0:3, 4+0:2:0:0:3, 5+0:1:0:0:1, 3+0:0:0:0:1, 6+0:2:0:0:3, 4+0:1:0:0:2, 6+0:1:0:0:2, 4+0:0:0:0:1, 6+0:4:1:1:4, 5+0:1:0:0:2, 4+0:1:0:0:1, 4+0:0:0:0:1, 5+0:2:0:0:3, 125+2:47:1:1:65
Bb minor (5b), 3+0:0:0:0:0, 4+1:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 11+1:2:0:0:3, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:1:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 60+2:4:1:1:6
G# minor (5#), 5+0:2:0:0:5, 7+1:3:0:0:5, 8+0:4:0:0:7, 4+0:3:0:0:4, 5+0:2:0:0:5, 4+0:2:0:0:4, 3+0:0:0:0:2, 6+0:2:0:0:5, 4+0:3:0:0:4, 15+1:7:0:0:11, 5+0:2:0:0:4, 4+0:2:0:0:4, 4+0:2:0:0:4, 5+0:1:0:0:4, 3+0:0:0:0:2, 6+0:2:0:0:5, 4+0:1:0:0:3, 6+0:1:0:0:5, 4+0:0:0:0:3, 5+0:4:1:1:4, 5+0:1:0:0:5, 4+0:1:0:0:3, 4+0:0:0:0:3, 5+0:2:0:0:5, 125+2:47:1:1:106
Gb major (6b), 3+0:0:0:0:2, 4+1:1:0:0:3, 3+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 0+0:0:0:0:0, 10+1:2:0:0:7, 3+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:1, 5+0:1:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:3, 2+0:0:0:0:2, 5+0:0:0:0:4, 4+0:0:0:0:3, 3+0:0:0:1:1, 3+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:3, 3+0:0:0:0:2, 77+2:4:0:1:54
F# major (6#), 6+0:2:0:0:4, 6+1:3:0:0:4, 8+0:4:0:0:6, 4+0:3:0:0:4, 5+0:2:0:0:4, 5+0:2:0:0:3, 4+0:0:0:0:2, 6+0:2:0:0:4, 4+0:3:0:0:4, 15+1:7:0:0:8, 5+0:2:0:0:3, 5+0:2:0:0:4, 4+0:2:0:0:3, 6+0:1:0:0:2, 4+0:0:0:0:2, 7+0:2:0:0:4, 4+0:1:0:0:2, 7+0:1:0:0:3, 5+0:0:0:0:1, 6+0:4:1:1:3, 5+0:1:0:0:3, 5+0:1:0:0:2, 5+0:0:0:0:2, 6+0:2:0:0:4, 137+2:47:1:1:81
Eb minor (6b), 3+0:0:0:0:1, 3+1:1:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 11+1:2:0:0:4, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:1:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 81+2:4:0:1:20
D# minor (6#), 6+0:2:0:0:5, 6+1:3:0:0:6, 8+0:4:0:0:8, 4+0:3:0:0:4, 5+0:2:0:0:5, 5+0:2:0:0:4, 4+0:0:0:0:3, 6+0:2:0:0:6, 4+0:3:0:0:4, 15+1:7:0:0:11, 5+0:2:0:0:4, 5+0:2:0:0:4, 4+0:2:0:0:4, 6+0:1:0:0:3, 4+0:0:0:0:3, 7+0:2:0:0:6, 4+0:1:0:0:4, 7+0:1:0:0:6, 5+0:0:0:0:3, 6+0:4:1:1:4, 5+0:1:0:0:5, 5+0:1:0:0:4, 5+0:0:0:0:4, 6+0:2:0:0:5, 137+2:47:1:1:115
Cb major (7b), 4+0:0:0:0:3, 4+1:1:0:0:4, 4+0:0:0:0:3, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:3, 1+0:0:0:0:0, 11+1:2:0:0:7, 2+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 5+0:1:0:0:5, 4+0:0:0:0:3, 5+0:0:0:0:4, 3+0:0:0:0:2, 6+0:0:0:0:5, 5+0:0:0:0:4, 4+0:0:0:1:1, 4+0:0:0:0:3, 4+0:0:0:0:4, 5+0:0:0:0:4, 4+0:0:0:0:3, 95+2:4:0:1:71
C# major (7#), 6+0:2:0:0:5, 6+1:3:0:0:4, 8+0:4:0:0:7, 4+0:3:0:0:4, 5+0:2:0:0:4, 5+0:2:0:0:4, 4+0:0:0:0:2, 6+0:2:0:0:5, 4+0:3:0:0:4, 15+1:7:0:0:10, 5+0:2:0:0:4, 5+0:2:0:0:4, 4+0:2:0:0:4, 6+0:1:0:0:3, 4+0:0:0:0:2, 7+0:2:0:0:5, 4+0:1:0:0:2, 7+0:1:0:0:4, 5+0:0:0:0:2, 6+0:4:1:1:4, 5+0:1:0:0:4, 5+0:1:0:0:3, 5+0:0:0:0:2, 6+0:2:0:0:5, 137+2:47:1:1:97
Ab minor (7b), 3+0:0:0:0:1, 5+1:1:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 10+1:2:0:0:4, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:1:1, 3+0:0:0:0:0, 3+0:0:0:0:2, 5+0:0:0:0:2, 3+0:0:0:0:1, 80+2:4:0:1:30
A# minor (7#), 6+0:2:0:0:6, 6+1:3:0:0:6, 8+0:4:0:0:8, 4+0:3:0:0:4, 5+0:2:0:0:4, 5+0:2:0:0:5, 4+0:0:0:0:4, 6+0:2:0:0:6, 4+0:3:0:0:4, 15+1:7:0:0:12, 5+0:2:0:0:5, 5+0:2:0:0:5, 4+0:2:0:0:4, 6+0:1:0:0:5, 4+0:0:0:0:4, 7+0:2:0:0:7, 4+0:1:0:0:4, 7+0:1:0:0:7, 5+0:0:0:0:4, 6+0:4:1:1:4, 5+0:1:0:0:5, 5+0:1:0:0:5, 5+0:0:0:0:5, 6+0:2:0:0:6, 137+2:47:1:1:129
