 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, rowcost
Eb major (3b), 4+0:1:0:0:3, 1+0:0:1:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:1:0:0, 6+0:0:2:0:0, 2+0:0:0:0:1, 4+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:1:0:0, 28+0:1:7:0:6
A major (3#), 5+0:2:0:0:1, 7+0:4:1:0:3, 5+0:2:0:0:1, 6+0:3:0:0:2, 6+0:6:1:0:5, 8+0:6:2:0:5, 5+0:2:0:0:1, 9+0:5:1:0:4, 5+0:2:0:0:1, 8+0:5:1:0:4, 5+0:2:0:0:1, 5+0:3:0:0:2, 5+0:3:0:0:2, 6+0:4:0:0:3, 6+0:4:1:0:3, 91+0:53:7:0:38
C minor (3b), 5+0:1:0:0:1, 2+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 7+0:0:2:0:3, 3+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:1:0:1, 43+0:1:7:0:12
F# minor (3#), 5+0:2:0:0:2, 7+0:4:1:0:6, 6+0:2:0:0:4, 6+0:3:0:0:5, 6+0:6:1:0:6, 8+0:6:2:0:8, 6+0:2:0:0:4, 9+0:5:1:0:7, 5+0:2:0:0:4, 8+0:5:1:0:7, 5+0:2:0:0:4, 5+0:3:0:0:5, 5+0:3:0:0:5, 6+0:4:0:0:5, 6+0:4:1:0:6, 93+0:53:7:0:78
Ab major (4b), 5+0:1:0:0:4, 2+0:0:1:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:1:0:0, 7+0:0:2:0:1, 3+0:0:0:0:1, 5+0:0:1:0:1, 1+0:0:0:0:1, 2+0:0:1:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:1:0:0, 39+0:1:7:0:9
E major (4#), 6+0:2:0:0:2, 8+0:4:1:0:4, 6+0:2:0:0:2, 7+0:3:0:0:3, 6+0:6:1:0:6, 9+0:6:2:0:6, 6+0:2:0:0:2, 10+0:5:1:0:5, 5+0:2:0:0:2, 8+0:5:1:0:5, 6+0:2:0:0:2, 6+0:3:0:0:3, 6+0:3:0:0:3, 7+0:4:0:0:4, 7+0:4:1:0:4, 103+0:53:7:0:53
F minor (4b), 6+0:1:0:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 8+0:0:2:0:2, 2+0:0:0:0:0, 6+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:1:0:1, 50+0:1:7:0:8
C# minor (4#), 6+0:2:0:0:3, 8+0:4:1:0:7, 6+0:2:0:0:5, 7+0:3:0:0:6, 6+0:6:1:0:6, 9+0:6:2:0:8, 6+0:2:0:0:5, 10+0:5:1:0:8, 5+0:2:0:0:5, 8+0:5:1:0:8, 6+0:2:0:0:5, 6+0:3:0:0:5, 6+0:3:0:0:5, 7+0:4:0:0:6, 7+0:4:1:0:6, 103+0:53:7:0:88
Db major (5b), 6+0:1:0:0:5, 3+0:0:1:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:1:0:0, 6+0:0:2:0:2, 4+0:0:0:0:2, 6+0:0:1:0:2, 2+0:0:0:0:1, 3+0:0:1:0:0, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:1:0:1, 47+0:1:7:0:21
B major (5#), 7+0:2:0:0:2, 8+0:4:1:0:5, 6+0:2:0:0:3, 7+0:3:0:0:4, 6+0:6:1:0:6, 10+0:6:2:0:7, 6+0:2:0:0:3, 10+0:5:1:0:6, 6+0:2:0:0:3, 8+0:5:1:0:6, 6+0:2:0:0:3, 6+0:3:0:0:4, 6+0:3:0:0:4, 7+0:4:0:0:5, 7+0:4:1:0:5, 106+0:53:7:0:66
Bb minor (5b), 5+0:1:0:0:2, 4+0:0:1:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:1:0:0, 5+0:0:2:0:0, 4+0:0:0:0:0, 7+0:0:1:0:0, 1+0:0:0:0:0, 4+0:0:1:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:1:0:0, 52+0:1:7:0:2
G# minor (5#), 7+0:2:0:0:4, 8+0:4:1:0:8, 6+0:2:0:0:6, 7+0:3:0:0:7, 6+0:6:1:0:6, 10+0:6:2:0:9, 6+0:2:0:0:6, 10+0:5:1:0:9, 6+0:2:0:0:5, 8+0:5:1:0:8, 6+0:2:0:0:6, 6+0:3:0:0:6, 6+0:3:0:0:6, 7+0:4:0:0:7, 7+0:4:1:0:7, 106+0:53:7:0:100
Gb major (6b), 6+0:1:0:0:6, 4+0:0:0:0:2, 5+0:0:0:0:3, 3+0:0:0:0:2, 0+0:0:0:0:0, 5+0:0:0:0:2, 5+0:0:0:0:3, 5+0:0:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:1, 54+0:1:0:0:31
F# major (6#), 7+0:2:0:0:2, 8+0:4:1:0:6, 7+0:2:0:0:4, 7+0:3:0:0:5, 6+0:6:1:0:6, 10+0:6:2:0:8, 7+0:2:0:0:4, 10+0:5:1:0:7, 6+0:2:0:0:4, 8+0:5:1:0:7, 6+0:2:0:0:4, 6+0:3:0:0:5, 6+0:3:0:0:5, 7+0:4:0:0:5, 7+0:4:1:0:6, 108+0:53:7:0:78
Eb minor (6b), 5+0:1:0:0:3, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 43+0:1:0:0:6
D# minor (6#), 8+0:2:0:0:5, 8+0:4:1:0:8, 7+0:2:0:0:6, 7+0:3:0:0:7, 6+0:6:1:0:6, 10+0:6:2:0:10, 7+0:2:0:0:6, 10+0:5:1:0:9, 6+0:2:0:0:6, 8+0:5:1:0:8, 6+0:2:0:0:6, 6+0:3:0:0:6, 6+0:3:0:0:6, 7+0:4:0:0:7, 7+0:4:1:0:7, 109+0:53:7:0:103
Cb major (7b), 6+0:1:0:0:6, 5+0:0:0:0:3, 6+0:0:0:0:4, 4+0:0:0:0:3, 0+0:0:0:0:0, 6+0:0:0:0:3, 6+0:0:0:0:4, 6+0:0:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:2, 67+0:1:0:0:43
C# major (7#), 7+0:2:0:0:3, 8+0:4:1:0:7, 7+0:2:0:0:5, 7+0:3:0:0:6, 6+0:6:1:0:6, 10+0:6:2:0:8, 7+0:2:0:0:5, 10+0:5:1:0:8, 6+0:2:0:0:5, 8+0:5:1:0:8, 6+0:2:0:0:5, 6+0:3:0:0:5, 6+0:3:0:0:5, 7+0:4:0:0:6, 7+0:4:1:0:6, 108+0:53:7:0:88
Ab minor (7b), 5+0:1:0:0:4, 4+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 59+0:1:0:0:9
A# minor (7#), 7+0:2:0:0:6, 8+0:4:1:0:8, 7+0:2:0:0:7, 7+0:3:0:0:7, 6+0:6:1:0:6, 10+0:6:2:0:10, 7+0:2:0:0:7, 10+0:5:1:0:10, 6+0:2:0:0:6, 8+0:5:1:0:8, 6+0:2:0:0:6, 6+0:3:0:0:6, 6+0:3:0:0:6, 7+0:4:0:0:7, 7+0:4:1:0:7, 108+0:53:7:0:107
