 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
Eb major (3b), 0+0:0:0:0:0, 4+0:3:1:0:3, 5+0:4:1:0:4, 2+0:0:0:0:1, 3+0:2:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 5+0:1:0:0:3, 4+0:0:1:0:0, 4+0:0:1:0:0, 0+0:0:0:0:0, 3+0:0:1:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 9+0:6:1:0:8, 3+0:0:0:0:0, 5+0:0:2:0:0, 9+1:6:1:0:8, 2+0:0:0:0:0, 8+1:1:2:0:1, 2+0:0:0:0:0, 3+0:0:0:0:2, 80+2:23:12:0:33
A major (3#), 3+0:2:0:0:1, 1+0:0:1:0:1, 2+0:0:1:0:2, 2+0:0:0:0:0, 5+0:2:1:0:2, 4+0:1:0:0:0, 6+0:4:0:0:3, 5+0:3:0:0:2, 6+0:3:0:0:2, 6+0:3:0:0:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 7+0:5:1:0:4, 6+1:5:1:0:4, 6+0:3:0:0:2, 7+0:5:1:0:4, 4+0:3:0:0:2, 5+0:3:0:0:2, 6+0:0:1:1:3, 1+0:0:0:0:0, 8+0:5:2:0:4, 8+0:0:1:0:3, 2+0:1:1:0:1, 11+1:7:2:0:6, 6+0:5:0:0:4, 3+0:0:0:0:0, 124+2:60:13:1:54
C minor (3b), 1+0:0:0:0:0, 4+0:3:1:0:2, 5+0:4:1:0:3, 2+0:0:0:0:0, 4+0:2:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0, 5+0:0:1:0:2, 5+0:0:1:0:3, 1+0:0:0:0:0, 4+0:0:1:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 8+0:6:1:0:5, 3+0:1:0:0:0, 6+0:0:2:0:2, 8+1:6:1:0:5, 3+0:1:0:0:0, 9+1:1:2:0:4, 3+0:0:0:0:1, 2+0:0:0:0:0, 93+2:25:12:0:32
F# minor (3#), 3+0:2:0:0:2, 1+0:0:1:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 5+0:2:1:0:2, 4+0:1:0:0:3, 6+0:4:0:0:6, 5+0:3:0:0:5, 6+0:3:0:0:5, 6+0:3:0:0:4, 4+0:0:0:0:2, 2+0:0:0:0:0, 7+0:4:1:0:4, 6+1:4:1:0:4, 6+0:2:0:0:4, 7+0:5:1:0:6, 4+0:3:0:0:4, 5+0:3:0:0:5, 5+0:0:0:1:1, 1+0:0:0:0:0, 8+0:5:2:0:7, 9+0:0:0:0:0, 1+0:0:0:0:0, 11+1:7:2:0:7, 6+0:5:0:0:6, 4+0:0:0:0:2, 126+2:56:9:1:81
Ab major (4b), 1+0:0:0:0:0, 5+0:3:1:0:4, 5+0:4:1:0:4, 2+0:0:0:0:2, 3+0:2:1:0:3, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:2, 6+0:1:0:0:4, 3+0:0:1:0:1, 4+0:0:1:0:0, 0+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 9+0:6:1:0:8, 2+0:0:0:0:1, 6+0:0:2:0:1, 10+1:6:1:0:9, 1+0:0:0:0:0, 9+1:1:2:0:2, 1+0:0:0:0:0, 4+0:0:0:0:3, 80+2:23:12:0:45
E major (4#), 4+0:2:0:0:2, 2+0:0:1:0:1, 2+0:0:1:0:1, 2+0:0:0:0:0, 5+0:2:1:0:3, 5+0:1:0:0:1, 6+0:4:0:0:4, 5+0:3:0:0:3, 6+0:3:0:0:3, 6+0:3:0:0:3, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+0:4:1:0:4, 6+1:4:1:0:4, 6+0:2:0:0:2, 7+0:5:1:0:5, 4+0:3:0:0:3, 6+0:3:0:0:3, 5+0:0:1:1:2, 0+0:0:0:0:0, 9+0:5:2:0:5, 7+0:0:1:0:1, 2+0:0:1:0:1, 12+1:7:2:0:7, 6+0:5:0:0:5, 4+0:0:0:0:0, 130+2:56:13:1:63
F minor (4b), 2+0:0:0:0:0, 5+0:3:1:0:3, 5+0:4:1:0:4, 1+0:0:0:0:0, 4+0:2:1:0:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:1, 4+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 9+0:6:1:0:6, 3+0:0:0:0:0, 6+0:0:2:0:2, 10+0:7:1:0:7, 1+0:0:0:0:0, 10+1:1:2:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 89+1:24:12:0:31
C# minor (4#), 4+0:2:0:0:3, 1+0:0:0:0:0, 2+0:0:1:0:0, 2+0:0:0:0:2, 5+0:2:0:0:4, 5+0:1:0:0:2, 6+0:4:0:0:5, 5+0:3:0:0:4, 6+0:3:0:0:5, 6+0:3:0:0:5, 4+0:0:0:0:3, 3+0:0:0:0:1, 7+0:4:1:0:4, 6+1:4:1:0:5, 6+0:2:0:0:5, 7+0:5:1:0:6, 4+0:3:0:0:4, 6+0:3:0:0:5, 6+0:0:1:1:0, 0+0:0:0:0:0, 9+0:5:2:0:8, 8+0:0:1:0:1, 2+0:0:1:0:0, 12+1:7:2:0:9, 6+0:5:0:0:6, 5+0:0:0:0:3, 133+2:56:11:1:90
Db major (5b), 2+0:0:0:0:1, 5+0:3:1:0:5, 5+0:4:1:0:4, 2+0:0:0:0:2, 4+0:2:1:0:3, 2+0:0:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:3, 7+0:1:0:0:5, 2+0:0:1:0:1, 3+0:0:1:0:0, 1+0:0:0:0:0, 1+0:0:1:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 10+0:6:1:0:8, 1+0:0:0:0:1, 7+0:0:2:0:2, 11+1:6:1:0:10, 0+0:0:0:0:0, 8+1:1:2:0:3, 0+0:0:0:0:0, 5+0:0:0:0:4, 83+2:23:12:0:55
B major (5#), 4+0:2:0:0:2, 3+0:0:1:0:1, 1+0:0:1:0:0, 3+0:0:0:0:1, 6+0:2:1:0:4, 6+0:1:0:0:2, 6+0:4:0:0:5, 5+0:3:0:0:4, 6+0:3:0:0:4, 6+0:3:0:0:4, 5+0:0:0:0:1, 3+0:0:0:0:0, 7+0:4:1:0:4, 6+1:4:1:0:4, 6+0:2:0:0:3, 7+0:5:1:0:6, 4+0:3:0:0:4, 6+0:3:0:0:4, 4+0:0:1:1:1, 1+0:0:0:0:0, 9+0:4:2:0:5, 6+0:0:1:0:0, 1+0:0:1:0:0, 12+1:7:2:0:8, 6+0:5:0:0:6, 5+0:0:0:0:1, 134+2:55:13:1:74
