 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C# minor (4#), 4+0:3:0:0:4, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 5+0:4:0:0:5, 1+0:0:0:0:0, 4+0:3:0:0:4, 2+0:0:0:0:1, 6+0:5:1:0:5, 4+0:1:0:0:3, 4+0:3:0:0:4, 5+0:2:0:0:5, 40+0:21:1:0:32
Db major (5b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 7+0:0:1:0:5
B major (5#), 4+0:3:0:0:4, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 5+0:4:0:0:4, 1+0:0:0:0:0, 4+0:3:0:0:4, 1+0:0:0:0:1, 6+0:5:1:0:5, 5+0:1:0:0:2, 4+0:3:0:0:4, 6+0:2:0:0:3, 38+0:21:1:0:28
Bb minor (5b), 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:1:0:1
G# minor (5#), 4+0:3:0:0:4, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 5+0:4:0:0:5, 2+0:0:0:0:1, 4+0:3:0:0:4, 1+0:0:0:0:1, 6+0:5:1:0:6, 5+0:1:0:0:4, 4+0:3:0:0:4, 6+0:2:0:0:5, 39+0:21:1:0:36
Gb major (6b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 3+0:0:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:2, 11+0:0:1:0:6
F# major (6#), 4+0:3:0:0:4, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 5+0:4:0:0:5, 1+0:0:0:0:1, 4+0:3:0:0:4, 0+0:0:0:0:0, 6+0:5:1:0:5, 5+0:1:0:0:3, 4+0:3:0:0:4, 6+0:2:0:0:4, 36+0:21:1:0:30
Eb minor (6b), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 18+0:1:1:0:1
D# minor (6#), 4+0:3:0:0:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 5+0:4:0:0:5, 1+0:0:0:0:1, 4+0:3:0:0:4, 1+0:0:0:0:0, 5+0:5:1:0:5, 5+0:1:0:0:5, 4+0:3:0:0:4, 6+0:2:0:0:6, 39+0:21:1:0:35
Cb major (7b), 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 4+0:0:0:0:3, 1+0:0:0:0:0, 4+0:0:0:0:3, 17+0:0:0:0:10
C# major (7#), 4+0:3:0:0:4, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 5+0:4:0:0:5, 0+0:0:0:0:0, 4+0:3:0:0:4, 0+0:0:0:0:0, 6+0:5:1:0:5, 5+0:1:0:0:3, 4+0:3:0:0:4, 6+0:2:0:0:5, 35+0:21:1:0:30
Ab minor (7b), 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 19+0:0:0:0:2
A# minor (7#), 4+0:3:0:0:4, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 5+0:4:0:0:5, 0+0:0:0:0:0, 4+0:3:0:0:4, 0+0:0:0:0:0, 6+0:5:1:0:6, 5+0:1:0:0:5, 4+0:3:0:0:4, 6+0:2:0:0:6, 35+0:21:1:0:35
