 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
C major (0), 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:2:0:3, 6+0:0:0:1:3, 3+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:2, 5+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:2:0:3, 6+0:0:0:1:3, 3+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 96+0:0:5:2:26
A minor (0), 1+0:0:0:0:0, 5+0:0:0:0:3, 2+0:0:0:0:0, 6+0:0:2:0:5, 5+0:0:0:1:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:2, 3+0:0:0:0:0, 6+0:0:1:0:3, 4+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:3, 0+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:3, 2+0:0:0:0:0, 6+0:0:2:0:5, 5+0:0:0:1:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 113+0:0:5:2:37
F major (1b), 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:2:0:0:2, 5+0:0:2:0:2, 7+0:4:0:1:3, 2+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 3+0:2:0:0:2, 4+0:0:1:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:1:0:0:1, 2+0:1:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:2:0:0:2, 5+0:0:2:0:2, 7+0:4:0:1:3, 2+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 91+0:21:5:2:24
G major (1#), 1+0:1:0:0:0, 5+0:4:0:0:2, 3+0:1:1:0:2, 6+0:5:2:0:3, 6+0:1:0:1:3, 4+0:2:0:0:0, 5+0:2:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:3:0:0:1, 3+0:1:0:0:1, 6+0:4:1:0:1, 2+0:2:0:0:0, 3+0:2:0:0:0, 5+0:2:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 5+0:3:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 5+0:4:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 5+0:4:0:0:2, 3+0:1:1:0:2, 6+0:5:2:0:3, 6+0:1:0:1:3, 4+0:2:0:0:0, 5+0:2:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 114+0:59:7:2:27
D minor (1b), 0+0:0:0:0:0, 3+0:0:0:0:3, 3+0:2:0:0:0, 5+0:0:2:0:4, 7+0:5:0:1:3, 3+0:0:0:0:1, 4+0:1:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:2, 4+0:2:0:0:0, 4+0:0:1:0:2, 3+0:1:0:0:1, 2+0:0:0:0:1, 6+0:2:0:0:1, 3+0:1:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:2, 0+0:0:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:3, 3+0:2:0:0:0, 5+0:0:2:0:4, 7+0:5:0:1:3, 3+0:0:0:0:1, 4+0:1:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 104+0:29:5:2:37
E minor (1#), 1+0:0:0:0:0, 5+0:4:0:0:4, 3+0:1:1:0:2, 6+0:5:2:0:5, 5+0:0:0:1:1, 5+0:2:0:0:2, 4+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:3:0:0:3, 4+0:1:0:0:1, 6+0:4:1:0:4, 3+0:2:0:0:2, 4+0:2:0:0:2, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 6+0:2:0:0:2, 4+0:1:0:0:1, 4+0:1:0:0:1, 5+0:2:0:0:2, 6+0:3:0:0:3, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 5+0:4:0:0:4, 3+0:1:1:0:2, 6+0:5:2:0:5, 5+0:0:0:1:1, 5+0:2:0:0:2, 4+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 123+0:47:7:2:51
Bb major (2b), 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:2:0:0:2, 4+0:0:2:0:1, 7+1:3:0:1:3, 2+0:0:0:0:1, 5+0:1:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 4+0:2:0:0:2, 3+0:0:1:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 5+0:1:0:0:2, 3+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:1:0:0:1, 1+0:1:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:2:0:0:2, 4+0:0:2:0:1, 7+1:3:0:1:3, 2+0:0:0:0:1, 5+0:1:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 95+2:19:5:2:32
D major (2#), 1+0:1:0:0:0, 5+0:4:0:0:3, 4+0:1:1:0:1, 6+0:5:2:0:4, 6+0:0:0:1:3, 5+0:2:0:0:1, 4+0:2:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:3:0:0:2, 4+0:1:0:0:0, 6+0:4:1:0:2, 3+0:2:0:0:1, 4+0:2:0:0:1, 6+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 6+0:2:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 3+0:2:0:0:0, 6+0:4:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 5+0:4:0:0:3, 4+0:1:1:0:1, 6+0:5:2:0:4, 6+0:0:0:1:3, 5+0:2:0:0:1, 4+0:2:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 127+0:53:7:2:37
G minor (2b), 0+0:0:0:0:0, 4+0:0:0:0:2, 3+0:2:1:0:2, 5+0:0:2:0:3, 7+1:3:0:1:2, 3+0:0:0:0:0, 6+0:2:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:2:0:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 5+0:1:0:0:0, 6+0:1:0:0:0, 4+0:0:0:0:2, 3+0:2:1:0:2, 5+0:0:2:0:3, 7+1:3:0:1:2, 3+0:0:0:0:0, 6+0:2:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 113+2:20:7:2:25
B minor (2#), 0+0:0:0:0:0, 6+0:4:0:0:5, 4+0:1:1:0:1, 6+0:5:2:0:6, 7+0:0:0:1:1, 5+0:2:0:0:3, 3+0:1:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 6+0:3:0:0:4, 5+0:1:0:0:1, 6+0:4:1:0:5, 3+0:2:0:0:2, 4+0:2:0:0:3, 7+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1, 6+0:2:0:0:3, 5+0:1:0:0:2, 5+0:1:0:0:2, 4+0:2:0:0:3, 6+0:3:0:0:4, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 6+0:4:0:0:5, 4+0:1:1:0:1, 6+0:5:2:0:6, 7+0:0:0:1:1, 5+0:2:0:0:3, 3+0:1:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 134+0:47:7:2:72
