 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 8+0:0:1:0:1, 4+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 38+0:0:2:0:2
A minor (0), 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 9+0:0:1:0:4, 4+0:0:1:0:3, 0+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 49+0:0:2:0:17
F major (1b), 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 5+0:1:0:0:1, 7+0:0:1:0:1, 4+0:0:1:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 30+0:1:2:0:3
G major (1#), 0+0:0:0:0:0, 3+0:2:0:0:0, 1+0:1:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 1+0:1:0:0:0, 4+0:3:0:0:0, 3+0:2:0:0:0, 5+0:3:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:0, 9+0:5:1:0:3, 5+0:3:1:0:2, 1+0:0:0:0:0, 3+0:2:0:0:0, 0+0:0:0:0:0, 48+0:29:2:0:5
D minor (1b), 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 6+0:2:0:0:0, 7+0:1:1:0:4, 4+0:0:1:0:3, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 44+0:3:2:0:11
E minor (1#), 0+0:0:0:0:0, 4+0:2:0:0:2, 0+0:0:0:0:0, 5+0:2:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 2+0:1:0:0:1, 5+0:3:0:0:3, 3+0:1:0:0:1, 6+0:3:0:0:3, 1+0:0:0:0:0, 4+0:0:0:0:0, 9+0:4:1:0:4, 5+0:3:1:0:3, 1+0:0:0:0:0, 4+0:2:0:0:2, 0+0:0:0:0:0, 57+0:25:2:0:25
Bb major (2b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 5+0:1:0:0:2, 7+0:0:1:0:0, 4+0:0:1:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 23+0:1:2:0:2
D major (2#), 0+0:0:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 5+0:2:0:0:0, 4+0:2:0:0:1, 4+0:2:0:0:0, 2+0:1:0:0:1, 5+0:3:0:0:1, 4+0:2:0:0:0, 6+0:3:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 9+0:5:1:0:4, 5+0:3:1:0:3, 2+0:0:0:0:0, 4+0:2:0:0:0, 1+0:0:0:0:0, 62+0:28:2:0:11
G minor (2b), 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 8+0:0:1:0:3, 5+0:0:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 33+0:0:2:0:5
B minor (2#), 0+0:0:0:0:0, 4+0:2:0:0:3, 2+0:0:0:0:0, 6+0:2:0:0:3, 4+0:1:0:0:2, 5+0:2:0:0:3, 2+0:1:0:0:1, 5+0:3:0:0:4, 5+0:1:0:0:2, 7+0:3:0:0:4, 2+0:0:0:0:0, 5+0:0:0:0:1, 9+0:4:1:0:5, 5+0:3:1:0:4, 2+0:0:0:0:1, 4+0:2:0:0:3, 1+0:0:0:0:0, 68+0:24:2:0:36
