name,KSgt,KSest,notes,err,success
1p64c,0,-1,326,8,97.55
2RfYc,0,-2,378,19,94.97
3RfYc,0,-1,408,22,94.61
3zn4c,0,-2,799,30,96.25
6Cbwc,0,-3,446,6,98.65
73bwc,0,-5,565,9,98.41
7RfYc,0,-5,510,14,97.25
7XTyc,0,-2,455,19,95.82
9RfYc,0,-1,329,5,98.48
9THwc,,0,308,10,96.75
BRfYc,0,-2,373,13,96.51
D3fYc,0,-1,340,9,97.35
FRfYc,0,-5,428,91,78.74
GRfYc-Shaw-Nuff,0,-2,414,16,96.14
KRfYc,0,-1,395,22,94.43
LRfYc,0,-3,432,6,98.61
N3fYc,,0,426,17,96.01
N8swc,0,-2,610,21,96.56
Nqn4c,0,-1,333,9,97.30
PRfYc,0,-1,424,12,97.17
Pq3yc,0,-4,402,8,98.01
Q6Ryc,0,-1,460,12,97.39
QRfYc,,0,315,9,97.14
Qrqyc,0,-1,366,16,95.63
Rln4c,0,-5,403,7,98.26
S1swc,0,-1,291,15,94.85
S5VYc,0,-1,586,20,96.59
SRfYc,0,-2,386,15,96.11
V3fYc,0,-1,883,48,94.56
WG3yc,0,-2,487,21,95.69
WRfYc,0,-2,513,13,97.47
WS64c,,0,419,28,93.32
cXbwc,0,-4,596,11,98.15
gRfYc-Segment,0,-5,584,27,95.38
lTXyc,0,-3,334,23,93.11
mRfYc,0,-2,430,7,98.37
mTHyc,0,-2,293,12,95.90
myn4c,,0,633,34,94.63
nRfYc,0,-2,390,16,95.90
nvJyc,0,-1,415,10,97.59
rCn4c,0,-1,375,9,97.60
rRfYc,0,-1,324,6,98.15
t66yc,0,-1,296,16,94.59
tCfYc,0,-2,758,32,95.78
tRfYc,-1,-2,437,15,96.57
vRfYc,0,-3,398,8,97.99
wkTyc,,0,475,20,95.79
wv3wc,0,-4,647,59,90.88
xRfYc,0,-2,421,8,98.10
yp3wc,0,-1,682,23,96.63
,50,6,22698,906,nan
,,12,,,96.01
