 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, rowcost
Eb major (3b), 2+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1,  , 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1,  , 1+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1,  ,  ,  , 1+0:0:0:0:0,  , 1+0:0:0:0:1,  , 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1,  , 1+0:0:0:0:1,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 29+0:0:0:0:15
A major (3#), 4+0:1:0:0:0, 6+0:4:0:0:3, 4+0:1:0:0:0, 3+0:1:0:0:1, 4+0:2:0:0:1, 2+0:1:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:2:0:0:1, 4+0:1:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:1, 4+0:1:0:0:0,  , 4+0:2:0:0:1, 1+0:1:0:0:0, 4+0:1:0:0:0,  , 3+0:0:0:0:0, 4+0:2:0:0:1, 5+0:1:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0,  ,  ,  , 4+0:2:0:0:1,  , 4+0:1:0:0:0,  , 3+0:0:0:0:0, 4+0:2:0:0:1, 4+0:1:0:0:0,  , 4+0:1:0:0:0,  ,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 108+0:33:0:0:11
C minor (3b), 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0,  , 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0,  , 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0,  ,  ,  , 2+0:0:0:0:0,  , 2+0:0:0:0:0,  , 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0,  , 2+0:0:0:0:0,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 48+0:0:0:0:2
F# minor (3#), 5+0:1:0:0:3, 6+0:4:0:0:6, 5+0:1:0:0:3, 3+0:1:0:0:3, 4+0:2:0:0:4, 1+0:0:0:0:0, 5+0:1:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2, 4+0:2:0:0:4, 5+0:1:0:0:3, 2+0:0:0:0:1, 5+0:1:0:0:3, 4+0:2:0:0:4, 5+0:1:0:0:3,  , 4+0:2:0:0:4, 1+0:0:0:0:0, 5+0:1:0:0:3,  , 3+0:0:0:0:2, 4+0:2:0:0:4, 6+0:1:0:0:3, 1+0:0:0:0:0, 5+0:1:0:0:3,  ,  ,  , 4+0:2:0:0:4,  , 5+0:1:0:0:3,  , 3+0:0:0:0:2, 4+0:2:0:0:4, 5+0:1:0:0:3,  , 5+0:1:0:0:3,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 114+0:31:0:0:81
Ab major (4b), 3+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1,  , 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1,  , 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1,  ,  ,  , 1+0:0:0:0:1,  , 1+0:0:0:0:1,  , 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1,  , 1+0:0:0:0:1,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 36+0:0:0:0:24
E major (4#), 5+0:1:0:0:1, 6+0:4:0:0:4, 4+0:1:0:0:1, 4+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:2:0:0:2, 4+0:1:0:0:1, 2+0:0:0:0:0, 5+0:1:0:0:1, 5+0:2:0:0:2, 4+0:1:0:0:1,  , 4+0:2:0:0:2, 1+0:0:0:0:0, 4+0:1:0:0:1,  , 4+0:0:0:0:0, 5+0:2:0:0:2, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:1,  ,  ,  , 4+0:2:0:0:2,  , 4+0:1:0:0:1,  , 4+0:0:0:0:0, 4+0:2:0:0:2, 4+0:1:0:0:1,  , 4+0:1:0:0:1,  ,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 112+0:30:0:0:30
F minor (4b), 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0,  , 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0,  ,  ,  , 2+0:0:0:0:0,  , 0+0:0:0:0:0,  , 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0,  , 0+0:0:0:0:0,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 36+0:0:0:0:0
C# minor (4#), 5+0:1:0:0:4, 6+0:4:0:0:6, 4+0:1:0:0:4, 3+0:0:0:0:1, 4+0:2:0:0:4, 2+0:0:0:0:1, 4+0:1:0:0:4, 1+0:0:0:0:1, 5+0:0:0:0:3, 4+0:2:0:0:4, 4+0:1:0:0:4, 1+0:0:0:0:1, 5+0:1:0:0:4, 5+0:2:0:0:4, 4+0:1:0:0:4,  , 4+0:2:0:0:4, 1+0:0:0:0:0, 4+0:1:0:0:4,  , 5+0:0:0:0:3, 5+0:2:0:0:4, 4+0:1:0:0:4, 1+0:0:0:0:1, 4+0:1:0:0:4,  ,  ,  , 4+0:2:0:0:4,  , 4+0:1:0:0:4,  , 5+0:0:0:0:3, 4+0:2:0:0:4, 4+0:1:0:0:4,  , 4+0:1:0:0:4,  ,  ,  , 1+0:0:0:0:1, 1+0:0:0:0:1, 112+0:30:0:0:98
Db major (5b), 4+0:0:0:0:3, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1,  , 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1,  , 3+0:0:0:0:2, 2+0:0:0:0:2, 3+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1,  ,  ,  , 1+0:0:0:0:1,  , 2+0:0:0:0:1,  , 3+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1,  , 2+0:0:0:0:1,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 49+0:0:0:0:32
B major (5#), 6+0:1:0:0:2, 7+0:4:0:0:5, 4+0:1:0:0:2, 4+0:0:0:0:1, 5+0:2:0:0:3, 1+0:0:0:0:1, 4+0:1:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:1, 5+0:2:0:0:3, 4+0:1:0:0:2, 2+0:0:0:0:1, 5+0:1:0:0:2, 6+0:2:0:0:3, 4+0:1:0:0:2,  , 5+0:2:0:0:3, 0+0:0:0:0:0, 4+0:1:0:0:2,  , 4+0:0:0:0:1, 6+0:2:0:0:3, 4+0:1:0:0:2, 1+0:0:0:0:1, 4+0:1:0:0:2,  ,  ,  , 5+0:2:0:0:3,  , 4+0:1:0:0:2,  , 4+0:0:0:0:1, 5+0:2:0:0:3, 4+0:1:0:0:2,  , 4+0:1:0:0:2,  ,  ,  , 1+0:0:0:0:1, 1+0:0:0:0:1, 119+0:30:0:0:60
Bb minor (5b), 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0,  , 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0,  ,  ,  , 0+0:0:0:0:0,  , 2+0:0:0:0:0,  , 3+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0,  , 2+0:0:0:0:0,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 41+0:0:0:0:3
G# minor (5#), 6+0:1:0:0:5, 7+0:4:0:0:6, 4+0:1:0:0:4, 5+0:0:0:0:3, 5+0:2:0:0:4, 1+0:0:0:0:1, 4+0:1:0:0:4, 2+0:0:0:0:2, 4+0:0:0:0:4, 5+0:2:0:0:4, 4+0:1:0:0:4, 2+0:0:0:0:2, 5+0:1:0:0:5, 6+0:2:0:0:5, 4+0:1:0:0:4,  , 5+0:2:0:0:4, 0+0:0:0:0:0, 4+0:1:0:0:4,  , 4+0:0:0:0:4, 6+0:2:0:0:5, 4+0:1:0:0:4, 1+0:0:0:0:1, 4+0:1:0:0:4,  ,  ,  , 5+0:2:0:0:4,  , 4+0:1:0:0:4,  , 4+0:0:0:0:4, 5+0:2:0:0:4, 4+0:1:0:0:4,  , 4+0:1:0:0:4,  ,  ,  , 1+0:0:0:0:1, 1+0:0:0:0:1, 120+0:30:0:0:109
Gb major (6b), 5+0:0:0:0:4, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:3, 4+0:0:0:0:2, 3+0:0:0:0:2,  , 2+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:2,  , 4+0:0:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:2,  ,  ,  , 2+0:0:0:0:1,  , 3+0:0:0:0:2,  , 4+0:0:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2,  , 3+0:0:0:0:2,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 75+0:0:0:0:47
F# major (6#), 7+0:1:0:0:3, 7+0:4:0:0:6, 5+0:1:0:0:3, 3+0:0:0:0:1, 5+0:2:0:0:4, 0+0:0:0:0:0, 5+0:1:0:0:3, 1+0:0:0:0:1, 4+0:0:0:0:2, 5+0:2:0:0:4, 5+0:1:0:0:3, 1+0:0:0:0:1, 6+0:1:0:0:3, 6+0:2:0:0:4, 5+0:1:0:0:3,  , 5+0:2:0:0:4, 0+0:0:0:0:0, 5+0:1:0:0:3,  , 4+0:0:0:0:2, 6+0:2:0:0:4, 5+0:1:0:0:3, 0+0:0:0:0:0, 5+0:1:0:0:3,  ,  ,  , 5+0:2:0:0:4,  , 5+0:1:0:0:3,  , 4+0:0:0:0:2, 5+0:2:0:0:4, 5+0:1:0:0:3,  , 5+0:1:0:0:3,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 124+0:30:0:0:79
Eb minor (6b), 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1,  , 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1,  , 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1,  ,  ,  , 2+0:0:0:0:0,  , 3+0:0:0:0:1,  , 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1,  , 3+0:0:0:0:1,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 68+0:0:0:0:15
D# minor (6#), 7+0:1:0:0:6, 7+0:4:0:0:7, 5+0:1:0:0:4, 1+0:0:1:0:0, 5+0:2:0:0:5, 0+0:0:0:0:0, 5+0:1:0:0:4, 1+0:0:0:0:1, 4+0:0:0:0:4, 5+0:2:0:0:5, 5+0:1:0:0:4, 1+0:0:0:0:1, 6+0:1:0:0:5, 6+0:2:0:0:6, 5+0:1:0:0:4,  , 5+0:2:0:0:5, 0+0:0:0:0:0, 5+0:1:0:0:4,  , 4+0:0:0:0:4, 6+0:2:0:0:6, 5+0:1:0:0:4, 0+0:0:0:0:0, 5+0:1:0:0:4,  ,  ,  , 5+0:2:0:0:5,  , 5+0:1:0:0:4,  , 4+0:0:0:0:4, 5+0:2:0:0:5, 5+0:1:0:0:4,  , 5+0:1:0:0:4,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 122+0:30:1:0:109
Cb major (7b), 6+0:0:0:0:5, 3+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:4, 5+0:0:0:0:3, 4+0:0:0:0:3,  , 3+0:0:0:0:2, 0+0:0:0:0:0, 4+0:0:0:0:3,  , 5+0:0:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:3, 1+0:0:0:0:0, 4+0:0:0:0:3,  ,  ,  , 3+0:0:0:0:2,  , 4+0:0:0:0:3,  , 5+0:0:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:3,  , 4+0:0:0:0:3,  ,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 105+0:0:0:0:73
C# major (7#), 7+0:1:0:0:4, 7+0:4:0:0:6, 5+0:1:0:0:4, 2+0:0:0:0:0, 5+0:2:0:0:4, 0+0:0:0:0:0, 5+0:1:0:0:4, 0+0:0:0:0:0, 5+0:0:0:0:3, 5+0:2:0:0:4, 5+0:1:0:0:4, 0+0:0:0:0:0, 6+0:1:0:0:4, 6+0:2:0:0:4, 5+0:1:0:0:4,  , 5+0:2:0:0:4, 0+0:0:0:0:0, 5+0:1:0:0:4,  , 5+0:0:0:0:3, 6+0:2:0:0:4, 5+0:1:0:0:4, 0+0:0:0:0:0, 5+0:1:0:0:4,  ,  ,  , 5+0:2:0:0:4,  , 5+0:1:0:0:4,  , 5+0:0:0:0:3, 5+0:2:0:0:4, 5+0:1:0:0:4,  , 5+0:1:0:0:4,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 124+0:30:0:0:91
Ab minor (7b), 5+0:0:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:1,  , 3+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1,  , 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1,  ,  ,  , 3+0:0:0:0:1,  , 3+0:0:0:0:1,  , 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1,  , 3+0:0:0:0:1,  ,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 92+0:0:0:0:24
A# minor (7#), 7+0:1:0:0:7, 7+0:4:0:0:7, 5+0:1:0:0:5, 2+0:0:0:0:1, 5+0:2:0:0:5, 1+0:0:0:0:0, 5+0:1:0:0:5, 0+0:0:0:0:0, 5+0:0:0:0:4, 5+0:2:0:0:5, 5+0:1:0:0:5, 0+0:0:0:0:0, 6+0:1:0:0:6, 7+0:2:0:0:6, 5+0:1:0:0:5,  , 5+0:2:0:0:5, 0+0:0:0:0:0, 5+0:1:0:0:5,  , 5+0:0:0:0:4, 6+0:2:0:0:6, 5+0:1:0:0:5, 0+0:0:0:0:0, 5+0:1:0:0:5,  ,  ,  , 5+0:2:0:0:5,  , 5+0:1:0:0:5,  , 5+0:0:0:0:4, 5+0:2:0:0:5, 5+0:1:0:0:5,  , 5+0:1:0:0:5,  ,  ,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 126+0:30:0:0:120
