 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
Eb major (3b), 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:2, 3+0:2:0:0:2, 2+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 38+0:7:0:0:13
A major (3#), 1+0:0:0:0:0, 4+0:1:0:0:0, 5+0:2:0:0:1, 6+0:3:0:0:2, 4+0:0:0:0:0, 4+0:2:0:0:1, 6+0:2:0:0:1, 2+0:1:0:0:0, 5+0:2:0:0:1, 4+0:1:0:0:0, 5+0:2:0:0:1, 6+0:3:0:0:2, 3+0:0:0:0:0, 4+0:2:0:0:1, 6+0:2:0:0:1, 2+0:1:0:0:0, 6+0:3:0:0:2, 3+0:2:0:0:1, 5+0:2:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:1, 3+0:1:0:0:0, 4+0:1:0:0:0, 0+0:0:0:0:0, 6+0:2:0:0:1, 4+0:1:0:0:0, 5+0:2:0:0:1, 6+0:3:0:0:2, 3+0:0:0:0:0, 4+0:2:0:0:1, 5+0:2:0:0:1, 4+0:1:0:0:0, 5+0:2:0:0:1, 137+0:51:0:0:23
C minor (3b), 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 3+0:2:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 63+0:7:0:0:4
F# minor (3#), 0+0:0:0:0:0, 4+0:1:0:0:3, 5+0:2:0:0:4, 6+0:3:0:0:5, 4+0:0:0:0:2, 4+0:2:0:0:3, 6+0:2:0:0:4, 2+0:1:0:0:2, 5+0:2:0:0:4, 4+0:1:0:0:3, 5+0:2:0:0:4, 6+0:3:0:0:5, 3+0:0:0:0:2, 4+0:2:0:0:3, 6+0:2:0:0:4, 2+0:1:0:0:2, 6+0:3:0:0:5, 3+0:2:0:0:2, 5+0:2:0:0:4, 3+0:1:0:0:3, 4+0:2:0:0:3, 3+0:1:0:0:2, 5+0:1:0:0:2, 0+0:0:0:0:0, 6+0:2:0:0:4, 4+0:1:0:0:3, 5+0:2:0:0:4, 6+0:3:0:0:5, 3+0:0:0:0:2, 4+0:2:0:0:3, 5+0:2:0:0:4, 4+0:1:0:0:3, 5+0:2:0:0:4, 137+0:51:0:0:103
Ab major (4b), 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:1, 4+0:1:0:0:3, 0+0:0:0:0:0, 2+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:2, 2+0:0:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:1:0:0:2, 1+0:0:0:0:0, 4+0:1:0:0:3, 4+0:2:0:0:3, 2+0:1:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 58+0:7:0:0:35
E major (4#), 1+0:0:0:0:0, 5+0:1:0:0:1, 5+0:2:0:0:2, 7+0:3:0:0:3, 5+0:0:0:0:0, 4+0:2:0:0:2, 6+0:2:0:0:2, 3+0:1:0:0:1, 5+0:2:0:0:2, 5+0:1:0:0:1, 5+0:2:0:0:2, 7+0:3:0:0:3, 4+0:0:0:0:0, 4+0:2:0:0:2, 6+0:2:0:0:2, 3+0:1:0:0:1, 7+0:3:0:0:3, 4+0:2:0:0:2, 6+0:2:0:0:2, 4+0:1:0:0:1, 5+0:2:0:0:2, 4+0:1:0:0:1, 5+0:1:0:0:1, 1+0:0:0:0:0, 6+0:2:0:0:2, 5+0:1:0:0:1, 5+0:2:0:0:2, 7+0:3:0:0:3, 4+0:0:0:0:0, 4+0:2:0:0:2, 5+0:2:0:0:2, 5+0:1:0:0:1, 5+0:2:0:0:2, 157+0:51:0:0:51
F minor (4b), 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 4+0:2:0:0:2, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 76+0:7:0:0:7
C# minor (4#), 1+0:0:0:0:1, 5+0:1:0:0:4, 5+0:2:0:0:5, 7+0:3:0:0:5, 6+0:0:0:0:3, 4+0:2:0:0:4, 6+0:2:0:0:5, 3+0:1:0:0:2, 5+0:2:0:0:5, 5+0:1:0:0:4, 5+0:2:0:0:5, 7+0:3:0:0:5, 5+0:0:0:0:3, 4+0:2:0:0:4, 6+0:2:0:0:5, 3+0:1:0:0:2, 7+0:3:0:0:5, 4+0:2:0:0:3, 6+0:2:0:0:5, 4+0:1:0:0:2, 5+0:2:0:0:4, 4+0:1:0:0:3, 5+0:1:0:0:3, 1+0:0:0:0:0, 6+0:2:0:0:5, 5+0:1:0:0:4, 5+0:2:0:0:5, 7+0:3:0:0:5, 5+0:0:0:0:3, 4+0:2:0:0:4, 5+0:2:0:0:5, 5+0:1:0:0:4, 5+0:2:0:0:5, 160+0:51:0:0:127
Db major (5b), 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 5+0:1:0:0:4, 1+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:3, 1+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:2, 2+0:1:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:2, 4+0:1:0:0:3, 2+0:0:0:0:1, 5+0:1:0:0:4, 4+0:2:0:0:4, 3+0:1:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:3, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 85+0:7:0:0:55
B major (5#), 1+0:0:0:0:1, 5+0:1:0:0:2, 6+0:2:0:0:3, 8+0:3:0:0:4, 6+0:0:0:0:1, 4+0:2:0:0:2, 7+0:2:0:0:3, 4+0:1:0:0:2, 6+0:2:0:0:3, 5+0:1:0:0:2, 6+0:2:0:0:3, 8+0:3:0:0:4, 5+0:0:0:0:1, 4+0:2:0:0:2, 7+0:2:0:0:3, 4+0:1:0:0:2, 7+0:3:0:0:4, 4+0:2:0:0:2, 7+0:2:0:0:3, 5+0:1:0:0:2, 6+0:2:0:0:2, 4+0:1:0:0:2, 6+0:1:0:0:1, 2+0:0:0:0:0, 7+0:2:0:0:3, 5+0:1:0:0:2, 6+0:2:0:0:3, 8+0:3:0:0:4, 5+0:0:0:0:1, 4+0:2:0:0:2, 6+0:2:0:0:3, 5+0:1:0:0:2, 6+0:2:0:0:3, 179+0:51:0:0:77
