 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, rowcost
C major (0), 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+2:0:1:0:2, 7+0:0:0:0:1, 3+0:0:0:0:0, 7+0:0:2:0:3, 3+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 1+0:0:0:0:0, 54+2:0:3:0:9
A minor (0), 2+0:0:0:0:0, 3+0:0:0:0:2, 5+0:0:0:0:2, 4+2:0:1:0:3, 7+0:0:0:0:4, 3+0:0:0:0:3, 7+0:0:2:0:5, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 6+0:0:0:0:2, 4+0:0:0:0:3, 6+0:0:0:0:3, 2+0:0:0:0:0, 59+2:0:3:0:31
F major (1b), 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+2:2:1:0:2, 6+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:2:0:2, 2+0:0:0:0:0, 5+0:3:0:0:3, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 50+2:6:3:0:8
G major (1#), 2+0:1:0:0:0, 2+0:2:0:0:0, 5+0:3:0:0:1, 6+2:2:1:0:2, 7+0:6:0:0:2, 4+0:3:0:0:1, 7+0:7:2:0:4, 4+0:3:0:0:0, 3+0:0:0:0:2, 4+0:3:0:0:1, 5+0:4:0:0:1, 5+0:3:0:0:1, 6+0:4:0:0:1, 2+0:1:0:0:0, 62+2:42:3:0:16
D minor (1b), 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:2, 7+2:2:1:0:2, 6+0:0:1:0:4, 4+0:0:0:0:2, 6+0:0:2:0:5, 3+0:1:0:0:0, 4+0:3:0:0:1, 2+0:0:0:0:2, 4+0:1:0:0:1, 6+0:0:0:0:2, 4+0:1:0:0:2, 1+0:0:0:0:0, 55+2:8:4:0:24
E minor (1#), 1+0:0:0:0:0, 2+0:2:0:0:2, 5+0:3:0:0:3, 7+2:2:1:0:3, 7+0:6:0:0:6, 4+0:3:0:0:3, 7+0:6:2:0:6, 5+0:2:0:0:2, 4+0:0:0:0:0, 4+0:3:0:0:3, 5+0:3:0:0:3, 5+0:3:0:0:3, 6+0:4:0:0:4, 1+0:0:0:0:0, 63+2:37:3:0:38
Bb major (2b), 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 5+2:2:1:0:3, 5+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:2:0:1, 1+0:0:0:0:0, 6+0:3:0:0:4, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:1:0:0:1, 0+0:0:0:0:0, 41+2:6:3:0:12
D major (2#), 2+0:1:0:0:0, 3+0:2:0:0:1, 6+0:3:0:0:2, 7+2:2:1:0:2, 7+0:6:1:0:4, 5+0:3:0:0:2, 7+0:7:2:0:5, 5+0:2:0:0:0, 2+0:0:0:0:1, 4+0:3:0:0:2, 5+0:3:0:0:1, 6+0:3:0:0:2, 6+0:4:0:0:2, 2+0:1:0:0:0, 67+2:40:4:0:24
G minor (2b), 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:1, 6+2:2:1:0:2, 5+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:2:0:4, 2+0:0:0:0:0, 5+0:3:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:1, 1+0:0:0:0:0, 49+2:5:3:0:16
B minor (2#), 2+0:0:0:0:1, 3+0:2:0:0:2, 6+0:3:0:0:4, 7+2:2:1:0:4, 7+0:6:1:0:6, 5+0:3:0:0:4, 7+0:6:2:0:6, 6+0:2:0:0:3, 3+0:0:0:0:0, 4+0:3:0:0:4, 6+0:3:0:0:3, 6+0:3:0:0:4, 6+0:4:0:0:5, 2+0:0:0:0:1, 70+2:37:4:0:47
Eb major (3b), 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:2, 4+2:2:1:0:4, 4+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:2:0:0, 2+0:0:0:0:0, 7+0:3:0:0:5, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:1:0:0:1, 0+0:0:0:0:0, 35+2:6:3:0:14
A major (3#), 3+0:0:0:0:0, 4+0:2:0:0:2, 7+0:3:0:0:2, 6+2:2:1:0:3, 7+0:6:1:0:5, 5+0:3:0:0:3, 7+0:6:2:0:5, 6+0:2:0:0:1, 1+0:0:0:0:1, 4+0:3:0:0:2, 6+0:3:0:0:2, 6+0:3:0:0:3, 7+0:4:0:0:3, 3+0:0:0:0:0, 72+2:37:4:0:32
C minor (3b), 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 3+2:2:1:0:2, 5+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:2:0:3, 3+0:0:0:0:0, 6+0:3:0:0:2, 2+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:1, 3+0:1:0:0:0, 0+0:0:0:0:0, 39+2:6:3:0:9
F# minor (3#), 2+0:0:0:0:0, 4+0:2:0:0:3, 8+0:3:0:0:5, 6+2:2:1:0:4, 7+0:6:1:0:7, 5+0:3:0:0:5, 7+0:6:2:0:6, 6+0:2:0:0:4, 2+0:0:0:0:0, 4+0:3:0:0:4, 6+0:3:0:0:3, 6+0:3:0:0:5, 7+0:4:0:0:5, 2+0:0:0:0:0, 72+2:37:4:0:51
Ab major (4b), 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:2, 5+2:2:1:0:4, 3+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:2:0:0, 3+0:0:0:0:1, 8+0:3:0:0:6, 0+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:2, 1+0:1:0:0:1, 0+0:0:0:0:0, 31+2:6:3:0:18
E major (4#), 2+0:0:0:0:0, 4+0:2:0:0:2, 7+0:3:0:0:3, 7+2:2:1:0:3, 7+0:6:1:0:6, 5+0:3:0:0:3, 7+0:6:2:0:6, 7+0:2:0:0:2, 2+0:0:0:0:0, 4+0:3:0:0:3, 6+0:3:0:0:3, 6+0:3:0:0:3, 7+0:4:0:0:4, 2+0:0:0:0:0, 73+2:37:4:0:38
