 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
Eb major (3b), 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:2:0:0, 3+0:0:1:0:0, 2+0:0:1:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 27+0:1:5:0:3
A major (3#), 3+0:1:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:2, 3+0:2:0:0:1, 3+0:2:0:0:1, 2+0:0:1:0:1, 4+0:4:0:0:3, 5+0:3:0:0:3, 3+0:2:0:0:2, 1+0:0:0:0:0, 4+0:4:2:0:4, 5+0:5:1:0:4, 5+0:4:1:0:3, 1+0:0:0:0:0, 5+0:3:0:0:2, 3+0:1:0:0:1, 2+0:0:0:0:0, 4+0:3:1:0:3, 5+0:2:0:0:1, 3+0:1:0:0:1, 77+0:43:6:0:33
C minor (3b), 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:2:0:2, 4+0:0:1:0:2, 3+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 37+0:2:5:0:10
F# minor (3#), 3+0:1:0:0:2, 2+0:0:0:0:1, 3+0:1:0:0:2, 1+0:0:0:0:1, 3+0:1:0:0:2, 4+0:1:0:0:2, 4+0:2:0:0:4, 3+0:2:0:0:3, 3+0:2:0:0:2, 1+0:0:0:0:0, 4+0:4:0:0:4, 5+0:3:0:0:5, 3+0:2:0:0:3, 1+0:0:0:0:0, 4+0:4:2:0:4, 5+0:5:1:0:5, 5+0:3:1:0:3, 1+0:0:0:0:0, 5+0:3:0:0:5, 3+0:1:0:0:3, 2+0:0:0:0:2, 4+0:3:1:0:4, 5+0:2:0:0:3, 3+0:1:0:0:3, 77+0:41:5:0:63
Ab major (4b), 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 3+0:1:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:2:0:0, 2+0:0:1:0:0, 2+0:0:1:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:1:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 28+0:1:5:0:9
E major (4#), 4+0:1:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:2:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 1+0:0:1:0:1, 4+0:4:0:0:4, 5+0:3:0:0:3, 3+0:2:0:0:2, 0+0:0:0:0:0, 4+0:4:2:0:4, 5+0:5:1:0:5, 5+0:3:1:0:3, 0+0:0:0:0:0, 5+0:3:0:0:3, 4+0:1:0:0:1, 3+0:0:0:0:0, 4+0:3:1:0:3, 5+0:2:0:0:2, 3+0:1:0:0:1, 82+0:41:6:0:42
F minor (4b), 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:2:0:2, 3+0:0:1:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 41+0:1:5:0:6
C# minor (4#), 4+0:1:0:0:3, 2+0:0:0:0:0, 3+0:1:0:0:3, 2+0:0:0:0:1, 4+0:1:0:0:3, 3+0:1:0:0:3, 4+0:2:0:0:4, 4+0:2:0:0:3, 4+0:2:0:0:3, 1+0:0:1:0:0, 4+0:4:0:0:4, 5+0:3:0:0:5, 3+0:2:0:0:3, 0+0:0:0:0:0, 4+0:4:2:0:4, 5+0:5:1:0:5, 5+0:3:1:0:3, 1+0:0:0:0:0, 5+0:3:0:0:5, 4+0:1:0:0:3, 3+0:0:0:0:2, 4+0:3:1:0:4, 5+0:2:0:0:5, 3+0:1:0:0:3, 82+0:41:6:0:69
Db major (5b), 3+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:1:0:0:3, 2+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:2:0:0, 1+0:0:1:0:0, 1+0:0:1:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:2, 2+0:0:0:0:2, 1+0:0:1:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 28+0:1:5:0:17
B major (5#), 5+0:1:0:0:2, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:2, 3+0:1:0:0:1, 4+0:2:0:0:3, 4+0:2:0:0:3, 4+0:2:0:0:2, 1+0:0:1:0:0, 4+0:4:0:0:4, 5+0:3:0:0:4, 3+0:2:0:0:3, 0+0:0:0:0:0, 4+0:4:2:0:4, 5+0:5:1:0:5, 4+0:3:1:0:3, 0+0:0:0:0:0, 5+0:3:0:0:4, 5+0:1:0:0:2, 4+0:0:0:0:1, 4+0:3:1:0:4, 5+0:2:0:0:3, 4+0:1:0:0:2, 86+0:41:6:0:53
Bb minor (5b), 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:2:0:1, 1+0:0:1:0:1, 2+0:0:1:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 30+0:1:5:0:4
G# minor (5#), 5+0:1:0:0:4, 2+0:0:0:0:2, 4+0:1:0:0:3, 4+0:0:0:0:2, 4+0:1:0:0:4, 3+0:1:0:0:3, 4+0:2:0:0:4, 4+0:2:0:0:4, 4+0:2:0:0:4, 2+0:0:0:0:1, 4+0:4:0:0:4, 5+0:3:0:0:5, 3+0:2:0:0:3, 0+0:0:0:0:0, 4+0:4:2:0:4, 5+0:5:1:0:5, 4+0:3:1:0:3, 0+0:0:0:0:0, 5+0:3:0:0:5, 5+0:1:0:0:4, 4+0:0:0:0:3, 4+0:3:1:0:4, 5+0:2:0:0:5, 4+0:1:0:0:3, 88+0:41:5:0:79
Gb major (6b), 3+0:0:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2, 4+0:1:0:0:3, 2+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:1:0:0, 1+0:0:1:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 35+0:1:2:0:22
F# major (6#), 5+0:1:0:0:2, 2+0:0:0:0:1, 4+0:1:0:0:2, 3+0:0:0:0:1, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:2:0:0:4, 4+0:2:0:0:3, 4+0:2:0:0:2, 0+0:0:0:0:0, 4+0:4:0:0:4, 5+0:3:0:0:5, 3+0:2:0:0:3, 0+0:0:0:0:0, 4+0:4:2:0:4, 5+0:5:1:0:5, 4+0:3:1:0:3, 0+0:0:0:0:0, 5+0:3:0:0:5, 5+0:1:0:0:3, 4+0:0:0:0:2, 4+0:3:1:0:4, 5+0:2:0:0:3, 4+0:1:0:0:3, 86+0:41:5:0:63
Eb minor (6b), 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 34+0:1:2:0:2
D# minor (6#), 5+0:1:0:0:5, 1+0:0:1:0:0, 4+0:1:0:0:4, 3+0:0:0:0:3, 4+0:1:0:0:4, 4+0:1:0:0:3, 4+0:2:0:0:4, 4+0:2:0:0:4, 3+0:2:0:0:3, 0+0:0:0:0:0, 4+0:4:0:0:4, 5+0:3:0:0:5, 3+0:2:0:0:3, 1+0:0:0:0:0, 4+0:4:2:0:4, 5+0:5:1:0:5, 4+0:3:1:0:3, 1+0:0:0:0:0, 5+0:3:0:0:5, 5+0:1:0:0:5, 4+0:0:0:0:4, 4+0:3:1:0:4, 5+0:2:0:0:4, 4+0:1:0:0:4, 86+0:41:6:0:80
Cb major (7b), 4+0:0:0:0:3, 2+0:0:0:0:2, 3+0:0:0:0:3, 4+0:1:0:0:4, 3+0:0:0:0:2, 3+0:0:0:0:3, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:3, 4+0:0:0:0:3, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 46+0:1:0:0:33
C# major (7#), 5+0:1:0:0:3, 1+0:0:0:0:0, 4+0:1:0:0:3, 3+0:0:0:0:1, 4+0:1:0:0:3, 4+0:1:0:0:3, 4+0:2:0:0:4, 4+0:2:0:0:3, 4+0:2:0:0:3, 0+0:0:0:0:0, 4+0:4:0:0:4, 5+0:3:0:0:5, 3+0:2:0:0:3, 0+0:0:0:0:0, 4+0:4:2:0:4, 5+0:5:1:0:5, 4+0:3:1:0:3, 1+0:0:0:0:0, 5+0:3:0:0:5, 5+0:1:0:0:3, 4+0:0:0:0:2, 4+0:3:1:0:4, 5+0:2:0:0:4, 4+0:1:0:0:3, 86+0:41:5:0:68
Ab minor (7b), 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 4+0:1:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 46+0:1:0:0:8
A# minor (7#), 5+0:1:0:0:5, 1+0:0:0:0:1, 4+0:1:0:0:4, 3+0:0:0:0:3, 4+0:1:0:0:4, 4+0:1:0:0:4, 4+0:2:0:0:4, 4+0:2:0:0:4, 4+0:2:0:0:4, 1+0:0:0:0:0, 4+0:4:0:0:4, 5+0:3:0:0:5, 3+0:2:0:0:3, 0+0:0:0:0:0, 4+0:4:2:0:4, 5+0:5:1:0:5, 4+0:3:1:0:3, 1+0:0:0:0:0, 5+0:3:0:0:5, 5+0:1:0:0:5, 4+0:0:0:0:4, 4+0:3:1:0:4, 5+0:2:0:0:4, 4+0:1:0:0:4, 87+0:41:5:0:83
