 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, rowcost
C major (0), 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+2:0:1:0:2, 7+0:0:0:0:1, 3+0:0:0:0:0, 7+0:0:2:0:3, 3+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 1+0:0:0:0:0, 54+2:0:3:0:9
A minor (0), 2+0:0:0:0:0, 3+0:0:0:0:2, 5+0:0:0:0:2, 4+2:0:1:0:3, 7+0:0:0:0:4, 3+0:0:0:0:3, 7+0:0:2:0:5, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 6+0:0:0:0:2, 4+0:0:0:0:3, 6+0:0:0:0:3, 2+0:0:0:0:0, 59+2:0:3:0:31
A minor mel (0), 3+0:0:0:0:0, 3+0:0:0:0:2, 6+0:0:0:0:2, 5+2:0:1:0:3, 7+0:0:0:0:4, 4+0:0:0:0:3, 7+0:0:2:0:5, 5+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 6+0:0:0:0:2, 5+0:0:0:0:3, 7+0:0:0:0:3, 3+0:0:0:0:0, 67+2:0:3:0:31
C major blues (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 7+2:0:1:0:2, 7+0:0:0:0:1, 4+0:0:0:0:0, 7+0:0:2:0:3, 4+0:0:0:0:0, 6+0:0:0:0:2, 4+0:0:0:0:0, 5+0:0:0:0:0, 6+0:0:0:0:1, 6+0:0:0:0:0, 2+0:0:0:0:0, 68+2:0:3:0:9
A minor blues (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 7+2:0:1:0:2, 7+0:0:0:0:1, 4+0:0:0:0:0, 7+0:0:2:0:3, 4+0:0:0:0:0, 6+0:0:0:0:2, 4+0:0:0:0:0, 5+0:0:0:0:0, 6+0:0:0:0:1, 6+0:0:0:0:0, 2+0:0:0:0:0, 68+2:0:3:0:9
C dorian (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 6+2:0:1:0:2, 7+0:0:0:0:1, 4+0:0:0:0:0, 7+0:0:2:0:3, 4+0:0:0:0:0, 3+0:0:0:0:2, 4+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 6+0:0:0:0:0, 2+0:0:0:0:0, 62+2:0:3:0:9
C phrygian (0), 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+2:0:1:0:2, 6+0:0:0:0:1, 3+0:0:0:0:0, 6+0:0:2:0:3, 2+0:0:0:0:0, 5+0:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 50+2:0:3:0:9
C lydian (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 6+2:0:1:0:2, 7+0:0:0:0:1, 4+0:0:0:0:0, 7+0:0:2:0:3, 4+0:0:0:0:0, 3+0:0:0:0:2, 4+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 6+0:0:0:0:0, 2+0:0:0:0:0, 62+2:0:3:0:9
C mixolydian (0), 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+2:0:1:0:2, 6+0:0:0:0:1, 3+0:0:0:0:0, 6+0:0:2:0:3, 2+0:0:0:0:0, 5+0:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 50+2:0:3:0:9
C aeolian (0), 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+2:0:1:0:2, 7+0:0:0:0:1, 3+0:0:0:0:0, 7+0:0:2:0:3, 3+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 1+0:0:0:0:0, 54+2:0:3:0:9
C locrian (0), 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 5+2:0:1:0:2, 5+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:2:0:3, 1+0:0:0:0:0, 6+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 41+2:0:3:0:9
F major (1b), 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+2:0:1:0:2, 6+0:0:0:0:1, 3+0:0:0:0:0, 6+0:0:2:0:3, 2+0:0:0:0:0, 5+0:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 50+2:0:3:0:9
G major (1#), 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 6+2:0:1:0:2, 7+0:0:0:0:1, 4+0:0:0:0:0, 7+0:0:2:0:3, 4+0:0:0:0:0, 3+0:0:0:0:2, 4+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 6+0:0:0:0:0, 2+0:0:0:0:0, 62+2:0:3:0:9
D minor (1b), 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:2, 7+2:2:1:0:2, 6+0:0:1:0:4, 4+0:0:0:0:2, 6+0:0:2:0:5, 3+0:1:0:0:0, 4+0:3:0:0:1, 2+0:0:0:0:2, 4+0:1:0:0:1, 6+0:0:0:0:2, 4+0:1:0:0:2, 1+0:0:0:0:0, 55+2:8:4:0:24
E minor (1#), 1+0:0:0:0:0, 2+0:2:0:0:2, 5+0:3:0:0:3, 7+2:2:1:0:3, 7+0:6:0:0:6, 4+0:3:0:0:3, 7+0:6:2:0:6, 5+0:2:0:0:2, 4+0:0:0:0:0, 4+0:3:0:0:3, 5+0:3:0:0:3, 5+0:3:0:0:3, 6+0:4:0:0:4, 1+0:0:0:0:0, 63+2:37:3:0:38
D minor mel (1b), 1+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:2, 6+2:2:1:0:2, 7+0:0:1:0:4, 4+0:0:0:0:2, 7+0:0:2:0:5, 4+0:1:0:0:0, 3+0:3:0:0:1, 3+0:0:0:0:2, 5+0:1:0:0:1, 5+0:0:0:0:2, 5+0:1:0:0:2, 1+0:0:0:0:0, 59+2:8:4:0:24
