 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
C major (0), 5+0:0:0:2:3, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:1:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:0:2:3, 0+0:0:0:0:0, 5+0:0:0:1:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:1:2, 35+0:0:0:7:12
A minor (0), 5+0:0:0:2:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:1:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 0+0:0:0:0:0, 5+0:0:0:2:2, 0+0:0:0:0:0, 6+0:0:0:1:1, 3+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:1:1, 43+0:0:0:7:12
F major (1b), 6+0:5:0:2:3, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 5+0:3:0:1:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:5:0:2:3, 0+0:0:0:0:0, 6+0:2:0:1:3, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:3:0:1:2, 40+0:19:0:7:14
G major (1#), 5+0:0:0:2:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:1:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:3:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:0, 0+0:0:0:0:0, 5+0:0:0:2:3, 0+0:0:0:0:0, 4+0:1:0:1:2, 3+0:2:0:0:0, 0+0:0:0:0:0, 4+0:0:0:1:2, 41+0:12:0:7:12
D minor (1b), 6+0:5:0:2:3, 1+0:0:0:0:0, 2+0:1:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 5+0:3:0:1:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:5:0:2:3, 0+0:0:0:0:0, 6+0:3:0:1:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:3:0:1:2, 52+0:22:0:7:12
E minor (1#), 4+0:0:0:2:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:1:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:3:0:0:3, 3+0:1:0:0:1, 4+0:2:0:0:2, 0+0:0:0:0:0, 4+0:0:0:2:2, 1+0:0:0:0:0, 3+0:0:0:1:1, 4+0:2:0:0:2, 0+0:0:0:0:0, 3+0:0:0:1:1, 52+0:10:0:7:17
Bb major (2b), 6+0:5:0:2:4, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 6+0:3:0:1:3, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:2, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 6+0:5:0:2:4, 0+0:0:0:0:0, 5+1:2:0:0:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:3:0:1:3, 42+1:19:0:6:23
D major (2#), 5+0:0:0:2:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:1:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:3:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:0, 1+0:0:0:0:0, 5+0:0:0:2:3, 0+0:0:0:0:0, 4+0:0:0:1:2, 4+0:2:0:0:0, 1+0:0:0:0:0, 5+0:0:0:1:2, 53+0:10:0:7:12
G minor (2b), 6+0:5:0:2:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 6+0:3:0:1:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:5:0:2:3, 0+0:0:0:0:0, 4+1:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:3:0:1:2, 48+1:17:0:6:11
B minor (2#), 6+0:0:0:2:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:2, 3+0:0:0:0:1, 3+0:1:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:1:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:3:0:0:4, 3+0:1:0:0:1, 4+0:2:0:0:3, 1+0:0:0:0:0, 6+0:0:0:2:2, 0+0:0:0:0:0, 5+0:0:0:1:1, 4+0:2:0:0:3, 1+0:0:0:0:0, 6+0:0:0:1:2, 63+0:10:0:7:27
Eb major (3b), 7+0:5:0:2:4, 2+0:0:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:2, 6+0:3:0:1:4, 2+0:0:0:0:1, 0+0:0:0:0:0, 4+0:1:0:0:3, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 7+0:5:0:2:4, 0+0:0:0:0:0, 6+1:2:0:0:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:3:0:1:3, 50+1:19:0:6:30
A major (3#), 5+0:0:0:2:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:1:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:3:0:0:2, 4+0:1:0:0:1, 5+0:2:0:0:1, 1+0:0:0:0:0, 5+0:0:0:2:2, 0+0:0:0:0:0, 5+0:0:0:1:1, 5+0:2:0:0:1, 1+0:0:0:0:0, 5+0:0:0:1:1, 61+0:10:0:7:12
C minor (3b), 6+0:5:0:2:3, 1+0:0:0:0:0, 2+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 5+0:3:0:1:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:5:0:2:3, 0+0:0:0:0:0, 5+1:2:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:3:0:1:2, 45+1:20:0:6:11
F# minor (3#), 5+0:0:0:2:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:1:0:0:2, 2+0:1:1:0:2, 3+0:1:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:1:2, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 5+0:3:0:0:5, 4+0:1:0:0:2, 5+0:2:0:0:4, 1+0:0:0:0:1, 5+0:0:0:2:2, 0+0:0:0:0:0, 5+0:0:0:1:1, 5+0:2:0:0:4, 1+0:0:0:0:1, 5+0:0:0:1:3, 66+0:11:1:7:38
Ab major (4b), 7+0:5:0:2:5, 3+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 0+0:0:0:0:0, 4+0:0:0:0:3, 7+0:3:0:1:4, 3+0:0:0:0:2, 1+0:0:0:0:0, 5+0:1:0:0:4, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 7+0:5:0:2:5, 1+0:0:0:0:0, 6+1:2:0:0:4, 1+0:0:0:0:0, 0+0:0:0:0:0, 5+0:3:0:1:4, 65+1:19:0:6:40
E major (4#), 4+0:0:0:2:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:1:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:3:0:0:3, 5+0:1:0:0:1, 6+0:2:0:0:2, 1+0:0:0:0:0, 4+0:0:0:2:2, 1+0:0:0:0:0, 4+0:0:0:1:1, 6+0:2:0:0:2, 1+0:0:0:0:0, 4+0:0:0:1:1, 72+0:10:0:7:17
F minor (4b), 7+0:5:0:2:3, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 6+0:3:0:1:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+0:5:0:2:3, 1+0:0:0:0:0, 7+0:2:0:1:3, 2+0:0:0:0:0, 0+0:0:0:0:0, 5+0:3:0:1:2, 63+0:19:0:7:14
C# minor (4#), 5+0:0:0:2:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:3, 2+0:0:0:0:1, 4+0:1:0:0:3, 1+0:0:0:0:1, 4+0:0:0:0:2, 5+0:0:0:1:1, 3+0:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:3:0:0:5, 4+0:1:0:0:2, 6+0:2:0:0:5, 0+0:0:0:0:0, 5+0:0:0:2:1, 1+0:0:0:0:0, 5+0:0:0:1:2, 6+0:2:0:0:5, 0+0:0:0:0:0, 5+0:0:0:1:3, 76+0:10:0:7:39
Db major (5b), 7+0:5:0:2:5, 4+0:0:0:0:3, 3+0:0:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:3, 3+0:0:0:0:2, 0+0:0:0:0:0, 5+0:0:0:0:4, 7+0:3:0:1:5, 4+0:0:0:0:3, 1+0:0:0:0:1, 5+0:1:0:0:5, 2+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 7+0:5:0:2:5, 1+0:0:0:0:1, 7+1:2:0:0:5, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:3:0:1:4, 73+1:19:0:6:56
