 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, rowcost
C major (0), 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 7+1:0:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 7+1:0:0:0:2, 3+0:0:0:0:0, 7+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+1:0:0:0:2, 5+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 81+3:0:1:0:10
A minor (0), 2+0:0:0:0:0, 5+0:0:0:0:3, 3+0:0:0:0:1, 6+2:0:0:0:3, 4+0:0:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:1, 7+0:0:0:0:3, 5+0:0:0:0:2, 5+0:0:0:0:3, 3+0:0:0:0:1, 6+2:0:0:0:3, 4+0:0:0:0:2, 8+0:0:0:0:3, 2+0:0:0:0:0, 4+0:0:0:0:2, 7+0:0:0:0:0, 6+0:0:1:0:5, 3+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 100+4:0:1:0:42
F major (1b), 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 7+1:2:0:0:2, 2+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 7+1:2:0:0:2, 2+0:0:0:0:0, 6+0:1:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 6+1:2:0:0:2, 5+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 66+3:8:1:0:9
G major (1#), 2+0:1:0:0:0, 5+0:4:0:0:1, 3+0:2:0:0:0, 8+1:3:0:0:2, 4+0:3:0:0:0, 3+0:2:0:0:0, 4+0:2:0:0:1, 7+0:4:0:0:1, 5+0:3:0:0:0, 5+0:4:0:0:1, 3+0:2:0:0:0, 8+1:3:0:0:2, 4+0:3:0:0:0, 6+0:4:0:0:0, 2+0:1:0:0:0, 4+0:3:0:0:0, 6+1:2:0:0:2, 6+0:5:1:0:3, 3+0:2:0:0:1, 4+0:3:0:0:0, 4+0:3:0:0:0, 3+0:2:0:0:0, 99+3:61:1:0:14
D minor (1b), 1+0:0:0:0:0, 4+0:0:0:0:2, 2+0:0:0:0:0, 8+1:2:0:0:3, 2+0:0:0:0:1, 5+0:1:0:0:1, 3+0:0:0:0:1, 6+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:0, 8+1:2:0:0:3, 2+0:0:0:0:1, 7+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 8+0:3:0:0:1, 6+0:0:1:0:4, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 86+2:9:1:0:27
E minor (1#), 1+0:0:0:0:0, 6+0:4:0:0:4, 4+0:2:0:0:2, 7+1:3:0:0:3, 5+0:3:0:0:3, 4+0:2:0:0:2, 5+0:2:0:0:2, 7+0:4:0:0:4, 6+0:3:0:0:3, 6+0:4:0:0:4, 4+0:2:0:0:2, 7+1:3:0:0:3, 5+0:3:0:0:3, 7+0:4:0:0:4, 3+0:1:0:0:1, 5+0:3:0:0:3, 6+0:1:0:0:1, 6+0:5:1:0:5, 4+0:2:0:0:2, 4+0:3:0:0:3, 5+0:3:0:0:3, 3+0:2:0:0:2, 110+2:59:1:0:59
Bb major (2b), 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 6+1:2:0:0:3, 1+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 6+1:2:0:0:3, 1+0:0:0:0:0, 5+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 7+1:2:0:0:3, 4+0:0:1:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 52+3:8:1:0:12
D major (2#), 2+0:1:0:0:0, 6+0:4:0:0:2, 4+0:2:0:0:0, 9+1:3:0:0:4, 4+0:3:0:0:1, 4+0:2:0:0:1, 5+0:2:0:0:1, 8+0:4:0:0:2, 6+0:3:0:0:1, 6+0:4:0:0:2, 4+0:2:0:0:0, 9+1:3:0:0:4, 4+0:3:0:0:1, 7+0:4:0:0:1, 3+0:1:0:0:0, 5+0:3:0:0:1, 8+0:1:0:0:1, 7+0:5:1:0:4, 4+0:2:0:0:1, 5+0:3:0:0:1, 5+0:3:0:0:1, 4+0:2:0:0:0, 119+2:60:1:0:29
G minor (2b), 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 7+1:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 7+1:1:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 8+1:2:0:0:2, 5+0:0:1:0:3, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 70+3:4:1:0:12
B minor (2#), 2+0:0:0:0:1, 6+0:4:0:0:5, 4+0:2:0:0:3, 9+1:3:0:0:4, 5+0:3:0:0:4, 4+0:2:0:0:2, 5+0:2:0:0:3, 8+0:4:0:0:5, 6+0:3:0:0:4, 6+0:4:0:0:5, 4+0:2:0:0:3, 9+1:3:0:0:4, 5+0:3:0:0:4, 7+0:4:0:0:4, 3+0:1:0:0:2, 5+0:3:0:0:4, 8+0:1:0:0:2, 8+0:5:1:0:6, 4+0:2:0:0:3, 5+0:3:0:0:4, 5+0:3:0:0:4, 4+0:2:0:0:3, 122+2:59:1:0:79
