 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, rowcost
C major (0), 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:0:0:0, 2+0+2:0:0:0:0, 0+0+1:0:0:0:0, 1+0+1:0:0:0:1, 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:0:0:0, 2+0+2:0:0:0:0, 1+0+2:0:0:0:0, 1+0+3:0:0:0:0, 2+0+2:0:0:0:0, 2+0+3:0:0:0:0, 1+0+1:0:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 27+0+30:0:0:0:1
A minor (0), 1+0+0:0:0:0:0, 1+0+4:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:0:0:0, 2+0+2:0:0:0:0, 0+0+1:0:0:0:0, 1+0+1:0:0:0:1, 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+4:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 2+0+2:0:0:0:0, 2+0+3:0:0:0:0, 1+0+1:0:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 27+0+35:0:0:0:1
F major (1b), 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+1:0:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+4:0:0:0:0, 2+0+3:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 16+0+16:0:0:0:0
G major (1#), 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+4:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+4:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+3:0:0:0:0, 3+0+2:0:0:0:0, 3+0+3:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 38+0+28:0:0:0:0
D minor (1b), 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+4:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 0+0+1:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+4:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+2:0:0:0:0, 1+0+4:0:0:0:0, 2+0+3:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 16+0+29:0:0:0:0
E minor (1#), 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+4:0:0:0:0, 2+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:1, 1+0+2:0:0:0:0, 2+0+5:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+4:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 3+0+5:0:0:0:0, 3+0+3:1:0:0:1, 2+0+1:0:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 37+0+40:1:0:0:2
Bb major (2b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:1, 0+0+1:0:0:0:0, 2+0+1:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+4:0:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 9+0+14:0:0:0:2
D major (2#), 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+4:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+4:0:0:0:0, 2+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+4:0:0:0:0, 3+0+3:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 1+0+1:0:0:0:0, 44+0+33:0:0:0:0
G minor (2b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+4:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:1, 0+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+4:0:0:0:0, 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 9+0+16:0:0:0:1
B minor (2#), 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+4:0:0:0:0, 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+5:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:0:0:0:0, 2+0+4:0:0:0:0, 2+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+2:0:0:0:0, 3+0+5:0:0:0:0, 3+0+3:1:0:0:1, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 44+0+36:1:0:0:1
