 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 1+0+1:1:0:0:1, 3+0+1:0:0:0:0, 2+0+2:1:0:0:1, 1+0+1:0:0:0:0, 3+0+1:0:0:0:0, 3+0+3:0:0:0:0, 2+0+2:1:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:1, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 19+0+14:3:0:0:4
A minor (0), 1+0+1:1:0:0:1, 2+0+1:1:0:0:1, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+1:1:0:0:1, 3+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 18+0+11:3:0:0:3
F major (1b), 2+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:1:0:0:1, 1+0+1:0:0:0:0, 1+0+1:1:0:0:1, 2+0+3:0:0:0:0, 2+0+2:1:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 16+0+13:3:0:0:3
G major (1#), 3+0+1:0:0:0:0, 2+0+1:1:0:0:1, 4+0+2:1:0:0:1, 2+0+2:0:0:0:0, 2+0+1:1:0:0:1, 3+0+3:0:0:0:0, 4+0+2:1:0:0:1, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 31+0+17:4:0:0:4
D minor (1b), 1+0+1:1:0:0:1, 2+0+1:0:0:0:0, 2+0+2:1:0:0:1, 2+0+2:0:0:0:0, 1+0+1:1:0:0:1, 2+0+3:0:0:0:0, 2+0+2:1:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 16+0+14:4:0:0:4
E minor (1#), 2+0+1:0:0:0:0, 2+0+1:1:0:0:1, 4+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+1:1:0:0:1, 3+0+3:1:0:0:0, 4+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 30+0+15:3:0:0:2
Bb major (2b), 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+2:1:1:0:2, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 2+0+3:0:0:0:0, 3+0+2:1:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+2:1:0:0:1, 2+0+1:0:0:0:0, 1+0+1:1:0:0:1, 19+0+15:4:1:0:5
D major (2#), 2+0+1:1:0:0:1, 2+0+1:1:0:0:1, 3+0+1:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:1:0:0:1, 3+0+2:1:1:0:1, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 25+0+11:4:1:0:4
G minor (2b), 1+0+1:0:0:0:0, 1+0+1:1:0:0:1, 3+0+2:1:0:0:1, 2+0+2:0:0:0:0, 1+0+1:1:0:0:1, 2+0+3:1:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+3:0:0:0:0, 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 1+0+0:0:0:0:0, 19+0+16:4:0:0:3
B minor (2#), 2+0+1:1:0:0:1, 2+0+1:1:0:0:0, 3+0+1:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:1:0:0:1, 3+0+2:1:1:0:1, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 25+0+11:4:1:0:3
