 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 2+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 31+0:0:0:0:6
A minor (0), 2+0:0:0:0:0, 5+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 38+0:0:0:0:10
F major (1b), 1+0:1:0:0:1, 3+0:1:0:0:1, 2+0:1:0:0:1, 3+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 22+0:6:0:0:6
G major (1#), 3+0:1:0:0:1, 4+0:3:0:0:2, 4+0:2:0:0:0, 5+0:2:0:0:0, 3+0:2:0:0:1, 3+0:2:0:0:1, 4+0:2:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 3+0:2:0:0:0, 4+0:1:0:0:0, 40+0:20:0:0:5
D minor (1b), 1+0:1:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:1:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 23+0:3:0:0:4
E minor (1#), 4+0:1:0:0:1, 4+0:3:0:0:3, 5+0:2:0:0:2, 6+0:2:0:0:2, 3+0:2:0:0:2, 3+0:2:0:0:2, 5+0:2:0:0:2, 3+0:1:0:0:1, 2+0:1:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:1, 4+0:2:0:0:2, 46+0:19:0:0:19
Bb major (2b), 1+0:0:0:0:0, 2+0:1:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 1+0:1:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 23+0:5:0:0:6
D major (2#), 3+0:1:0:0:1, 4+0:3:0:0:1, 5+0:2:0:0:0, 4+0:2:0:0:1, 3+0:2:0:0:0, 4+0:2:0:0:1, 5+0:2:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:0, 3+0:1:0:0:0, 41+0:20:0:0:4
G minor (2b), 2+0:0:0:0:0, 2+0:1:0:0:2, 4+0:1:0:0:0, 4+0:1:0:0:0, 1+0:1:0:0:1, 3+0:0:0:0:1, 4+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:0, 32+0:7:0:0:4
B minor (2#), 3+0:1:0:0:2, 5+0:3:0:0:3, 6+0:2:0:0:3, 4+0:2:0:0:3, 4+0:2:0:0:2, 4+0:2:0:0:2, 6+0:2:0:0:3, 2+0:1:0:0:2, 4+0:1:0:0:2, 2+0:1:0:0:2, 3+0:1:0:0:2, 4+0:1:0:0:2, 47+0:19:0:0:28
