 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, rowcost
C major (0), 4+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 6+0:0:0:1:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 88+0:0:7:1:9
A minor (0), 5+0:0:1:0:3, 2+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:2, 5+0:0:1:0:3, 6+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:1:0:3, 2+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 5+0:0:1:0:3, 7+0:0:0:1:3, 3+0:0:0:0:1, 4+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:2, 4+0:0:1:0:3, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:1:0:3, 2+0:0:0:0:0, 4+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:2, 6+0:0:1:0:3, 5+0:0:0:0:3, 3+0:0:0:0:1, 113+0:0:7:1:55
F major (1b), 3+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 5+0:2:0:1:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 61+0:2:7:1:8
G major (1#), 4+0:4:1:0:2, 1+0:1:0:0:0, 4+0:3:0:0:0, 3+0:2:0:0:0, 3+0:3:0:0:1, 5+0:4:1:0:1, 4+0:3:0:0:0, 2+0:2:0:0:0, 4+0:4:1:0:2, 1+0:1:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 3+0:3:0:0:1, 5+0:4:1:0:1, 7+0:3:0:0:0, 2+0:2:0:0:0, 4+0:3:0:0:1, 1+0:0:0:0:0, 3+0:2:0:0:0, 4+0:3:1:0:2, 2+0:2:0:0:0, 3+0:2:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:0, 4+0:4:1:0:2, 1+0:1:0:0:0, 4+0:3:0:0:0, 3+0:2:0:0:0, 3+0:3:0:0:1, 6+0:4:1:0:1, 5+0:4:0:0:1, 2+0:2:0:0:0, 105+0:81:7:0:16
D minor (1b), 4+0:0:1:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:1:0:2, 5+0:1:0:0:1, 2+0:0:0:0:0, 4+0:0:1:0:2, 1+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:1:0:2, 6+0:2:0:1:2, 2+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:1:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:1:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 5+0:1:1:0:2, 4+0:0:0:0:2, 2+0:0:0:0:0, 84+0:4:7:1:32
E minor (1#), 4+0:4:1:0:4, 1+0:1:0:0:1, 4+0:2:0:0:2, 4+0:2:0:0:2, 3+0:3:0:0:3, 5+0:4:1:0:4, 5+0:3:0:0:3, 2+0:2:0:0:2, 4+0:4:1:0:4, 1+0:1:0:0:1, 4+0:2:0:0:2, 4+0:2:0:0:2, 3+0:3:0:0:3, 5+0:4:1:0:4, 8+0:3:0:0:3, 2+0:2:0:0:2, 4+0:3:0:0:3, 1+0:0:0:0:0, 3+0:2:0:0:2, 4+0:3:1:0:3, 3+0:2:0:0:2, 3+0:2:0:0:2, 3+0:1:0:0:1, 4+0:2:0:0:2, 4+0:4:1:0:4, 1+0:1:0:0:1, 4+0:2:0:0:2, 4+0:2:0:0:2, 3+0:3:0:0:3, 6+0:4:1:0:4, 6+0:4:0:0:4, 2+0:2:0:0:2, 114+0:79:7:0:79
Bb major (2b), 2+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 4+0:2:0:1:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 41+0:2:7:1:4
D major (2#), 5+0:4:1:0:2, 2+0:1:0:0:0, 5+0:3:0:0:1, 3+0:2:0:0:1, 3+0:3:0:0:1, 6+0:4:1:0:2, 5+0:3:0:0:1, 3+0:2:0:0:0, 5+0:4:1:0:2, 2+0:1:0:0:0, 5+0:2:0:0:1, 3+0:2:0:0:1, 3+0:3:0:0:1, 6+0:4:1:0:2, 8+0:3:0:0:1, 3+0:2:0:0:0, 4+0:3:0:0:1, 1+0:0:0:0:0, 4+0:2:0:0:1, 4+0:3:1:0:3, 3+0:2:0:0:0, 4+0:2:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:1, 5+0:4:1:0:2, 2+0:1:0:0:0, 5+0:3:0:0:1, 3+0:2:0:0:1, 3+0:3:0:0:1, 7+0:4:1:0:2, 6+0:4:0:0:2, 3+0:2:0:0:0, 128+0:81:7:0:31
G minor (2b), 2+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:1:0:1, 5+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 4+0:0:1:0:1, 3+0:0:0:0:1, 0+0:0:0:0:0, 58+0:0:7:0:16
B minor (2#), 5+0:4:1:0:4, 2+0:1:0:0:1, 5+0:2:0:0:3, 3+0:2:0:0:3, 3+0:3:0:0:3, 6+0:4:1:0:5, 5+0:3:0:0:4, 3+0:2:0:0:2, 5+0:4:1:0:4, 2+0:1:0:0:1, 5+0:2:0:0:3, 3+0:2:0:0:3, 3+0:3:0:0:3, 6+0:4:1:0:5, 8+0:3:0:0:5, 3+0:2:0:0:2, 4+0:3:0:0:4, 1+0:0:0:0:1, 4+0:2:0:0:3, 4+0:3:1:0:4, 3+0:2:0:0:2, 4+0:2:0:0:3, 4+0:1:0:0:2, 4+0:2:0:0:3, 5+0:4:1:0:4, 2+0:1:0:0:1, 5+0:2:0:0:3, 3+0:2:0:0:3, 3+0:3:0:0:3, 7+0:4:1:0:5, 6+0:4:0:0:5, 3+0:2:0:0:2, 129+0:79:7:0:99
