 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, rowcost
Eb major (3b), 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:2:0:0, 3+0:0:1:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:1:1:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:2:0:0, 3+0:0:1:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+0:1:1:1:2, 1+0:0:0:0:0, 3+0:0:1:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:1:1, 0+0:0:0:0:0, 63+0:2:12:3:6
A major (3#), 4+0:3:0:0:2, 7+0:5:0:0:4, 7+0:7:2:0:6, 6+0:4:1:0:3, 6+0:3:0:0:2, 4+0:2:0:0:1, 9+0:7:1:1:5, 3+0:3:0:0:2, 4+0:3:0:0:2, 3+0:3:0:0:2, 5+0:3:0:0:2, 4+0:3:0:0:2, 5+0:3:0:0:2, 5+0:2:0:0:2, 5+0:4:1:0:4, 5+0:4:1:0:3, 5+0:4:0:0:3, 6+0:4:0:0:3, 7+0:5:0:0:4, 7+0:7:2:0:6, 6+0:4:1:0:3, 6+0:3:0:0:2, 4+0:2:0:0:1, 9+0:7:1:1:5, 3+0:3:0:0:2, 7+0:6:1:0:5, 5+0:4:0:0:3, 7+0:5:0:0:4, 9+0:7:1:1:5, 3+0:2:0:0:1, 166+0:122:12:3:91
C minor (3b), 2+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:2:0:3, 4+0:0:1:0:2, 2+0:1:0:0:0, 1+0:0:0:0:0, 6+0:1:1:1:4, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 4+0:0:1:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:2:0:3, 4+0:0:1:0:2, 2+0:1:0:0:0, 1+0:0:0:0:0, 6+0:1:1:1:4, 2+0:0:0:0:1, 4+0:0:1:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 6+0:0:1:1:3, 1+0:0:0:0:0, 88+0:5:12:3:37
F# minor (3#), 3+0:0:0:0:0, 7+0:5:0:0:7, 7+0:7:2:0:7, 6+0:4:1:0:4, 6+0:3:0:0:5, 4+0:2:0:0:3, 9+0:7:1:1:7, 3+0:3:0:0:3, 4+0:3:0:0:4, 3+0:3:0:0:3, 5+0:3:0:0:4, 4+0:3:0:0:3, 5+0:3:0:0:4, 5+0:2:0:0:3, 5+0:4:1:0:4, 6+0:3:1:0:4, 5+0:4:0:0:5, 6+0:4:0:0:6, 7+0:5:0:0:7, 7+0:7:2:0:7, 6+0:4:1:0:4, 6+0:3:0:0:5, 4+0:2:0:0:3, 9+0:7:1:1:7, 3+0:3:0:0:3, 7+0:6:1:0:7, 5+0:4:0:0:5, 7+0:5:0:0:7, 9+0:7:1:1:8, 3+0:2:0:0:2, 166+0:118:12:3:141
Ab major (4b), 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:2:0:0, 3+0:0:1:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+0:1:1:1:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:0, 2+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:2:0:0, 3+0:0:1:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+0:1:1:1:1, 2+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:1:1:0, 1+0:0:0:0:0, 62+0:2:12:3:3
E major (4#), 4+0:0:1:1:2, 7+0:5:0:0:5, 7+0:7:2:0:7, 6+0:4:1:0:4, 7+0:3:0:0:3, 4+0:2:0:0:2, 10+0:7:1:1:6, 4+0:3:0:0:3, 5+0:3:0:0:3, 4+0:3:0:0:3, 5+0:3:0:0:3, 4+0:3:0:0:3, 5+0:3:0:0:3, 5+0:2:0:0:2, 5+0:4:1:0:4, 5+0:3:1:0:3, 5+0:4:0:0:4, 7+0:4:0:0:4, 7+0:5:0:0:5, 7+0:7:2:0:7, 6+0:4:1:0:4, 7+0:3:0:0:3, 4+0:2:0:0:2, 10+0:7:1:1:6, 4+0:3:0:0:3, 7+0:6:1:0:6, 5+0:4:0:0:4, 7+0:5:0:0:5, 10+0:7:1:1:6, 4+0:2:0:0:2, 177+0:118:13:4:117
F minor (4b), 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:2:0:2, 4+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 8+0:1:1:1:3, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:2:0:2, 4+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 8+0:1:1:1:3, 3+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 8+0:0:1:1:2, 2+0:0:0:0:0, 88+0:2:12:3:17
C# minor (4#), 4+0:0:1:1:1, 7+0:5:0:0:7, 7+0:7:2:0:7, 6+0:4:1:0:5, 7+0:3:0:0:5, 4+0:2:0:0:4, 10+0:7:1:1:7, 4+0:3:0:0:3, 5+0:3:0:0:4, 4+0:3:0:0:3, 5+0:3:0:0:4, 4+0:3:0:0:4, 5+0:3:0:0:5, 5+0:2:0:0:4, 5+0:4:1:0:4, 5+0:3:1:0:4, 5+0:4:0:0:5, 7+0:4:0:0:6, 7+0:5:0:0:7, 7+0:7:2:0:7, 6+0:4:1:0:5, 7+0:3:0:0:5, 4+0:2:0:0:4, 10+0:7:1:1:7, 4+0:3:0:0:3, 7+0:6:1:0:7, 5+0:4:0:0:5, 7+0:5:0:0:7, 10+0:7:1:1:7, 4+0:2:0:0:3, 177+0:118:13:4:149
Db major (5b), 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:2:0:0, 2+0:0:1:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 6+0:1:1:1:2, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:1:0:0, 2+0:0:1:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:2:0:0, 2+0:0:1:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 6+0:1:1:1:2, 1+0:0:0:0:1, 1+0:0:1:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:1:1:1, 2+0:0:0:0:1, 46+0:2:12:3:15
B major (5#), 3+0:0:1:1:1, 7+0:5:0:0:6, 7+0:7:2:0:7, 6+0:4:1:0:4, 7+0:3:0:0:4, 4+0:2:0:0:2, 10+0:7:1:1:7, 4+0:3:0:0:3, 5+0:3:0:0:4, 4+0:3:0:0:3, 5+0:3:0:0:4, 4+0:3:0:0:3, 5+0:3:0:0:3, 5+0:2:0:0:2, 5+0:4:1:0:4, 5+0:3:1:0:4, 5+0:4:0:0:5, 7+0:4:0:0:5, 7+0:5:0:0:6, 7+0:7:2:0:7, 6+0:4:1:0:4, 7+0:3:0:0:4, 4+0:2:0:0:2, 10+0:7:1:1:7, 4+0:3:0:0:3, 7+0:6:1:0:7, 5+0:4:0:0:5, 7+0:5:0:0:6, 10+0:7:1:1:7, 4+0:2:0:0:2, 176+0:118:13:4:131
