 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, rowcost
C major (0), 1+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 2+1:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 8+1:0:1:0:1, 1+0:0:0:0:0, 7+1:0:1:0:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+1:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 81+4:0:3:0:13
A minor (0), 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:2, 4+0:0:1:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+1:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:2, 2+0:0:0:0:0, 7+2:0:1:0:2, 2+0:0:0:0:0, 6+1:0:1:0:3, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:2, 5+0:0:0:0:0, 3+1:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:0, 101+5:0:3:0:35
F major (1b), 2+0:1:0:0:1, 1+0:0:0:0:0, 4+0:2:0:0:2, 3+0:1:0:0:1, 2+0:1:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:2, 2+0:1:0:0:1, 3+1:1:0:0:1, 1+0:0:0:0:0, 4+0:2:0:0:2, 2+0:1:0:0:1, 7+1:1:1:0:2, 0+0:0:0:0:0, 6+1:1:1:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:2:0:0:2, 5+0:2:0:0:2, 4+1:2:0:0:2, 2+0:0:0:0:0, 4+0:1:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 88+4:23:3:0:26
G major (1#), 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:1, 1+0:1:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:0, 4+0:2:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:2:0:0:0, 5+0:4:1:0:1, 2+0:2:0:0:0, 3+0:2:0:0:0, 2+0:2:0:0:0, 3+0:1:0:0:1, 0+0:0:0:0:0, 3+1:1:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 7+2:3:1:0:2, 2+0:1:0:0:0, 8+1:4:1:0:3, 3+0:2:0:0:0, 1+0:0:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:1, 1+0:0:0:0:0, 1+0:1:0:0:0, 2+0:1:0:0:1, 3+0:0:0:0:1, 2+1:1:0:0:1, 4+0:3:0:0:0, 3+0:2:0:0:0, 3+0:3:0:0:0, 3+0:2:0:0:1, 0+0:0:0:0:0, 85+5:47:3:0:18
D minor (1b), 3+0:1:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:1, 4+0:1:0:0:0, 2+0:1:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 5+0:2:0:0:0, 2+0:1:0:0:0, 4+1:1:0:0:1, 2+0:0:0:0:0, 5+0:2:0:0:1, 3+0:1:0:0:0, 5+2:1:1:0:2, 0+0:0:0:0:0, 6+1:1:1:0:3, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:2:0:0:1, 6+0:2:0:0:1, 5+1:2:0:0:1, 3+0:0:0:0:1, 5+0:1:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:2, 3+0:1:0:0:0, 114+5:24:3:0:24
E minor (1#), 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 5+0:2:0:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:2:0:0:2, 6+0:3:1:0:3, 3+0:2:0:0:2, 4+0:2:0:0:2, 2+0:1:0:0:1, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+1:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 7+2:3:1:0:3, 3+0:1:0:0:1, 8+1:4:1:0:4, 4+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:2, 4+0:2:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 4+0:0:0:0:0, 1+1:1:0:0:1, 5+0:3:0:0:3, 3+0:2:0:0:2, 4+0:3:0:0:3, 4+0:2:0:0:2, 0+0:0:0:0:0, 108+5:44:3:0:44
Bb major (2b), 3+0:1:0:0:2, 2+0:0:0:0:1, 5+0:2:0:0:3, 4+0:1:0:0:2, 3+0:1:0:0:2, 0+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:2:0:0:2, 2+0:1:0:0:2, 4+1:1:0:0:2, 2+0:0:0:0:1, 5+0:2:0:0:3, 3+0:1:0:0:2, 8+0:1:2:0:4, 0+0:0:0:0:0, 7+1:1:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:2:0:0:2, 4+0:1:1:0:3, 3+1:2:0:0:3, 1+0:0:0:0:0, 3+0:1:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:2, 96+3:22:5:0:43
D major (2#), 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 2+0:1:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:0, 5+0:2:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:1, 5+0:4:1:0:2, 2+0:2:0:0:0, 4+0:2:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:0, 0+0:0:0:0:0, 4+1:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 6+2:3:1:0:2, 2+0:1:0:0:0, 8+1:4:1:0:3, 4+0:2:0:0:1, 2+0:0:0:0:0, 5+0:2:0:0:1, 4+0:2:0:0:2, 2+0:0:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:1, 4+0:0:0:0:1, 3+1:1:0:0:1, 5+0:3:0:0:1, 4+0:2:0:0:1, 4+0:3:0:0:1, 4+0:2:0:0:2, 1+0:0:0:0:0, 112+5:46:3:0:24
G minor (2b), 4+0:1:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 5+1:1:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 7+1:1:2:0:3, 1+0:0:0:0:0, 8+1:1:1:0:3, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:1:0:0:1, 3+0:0:1:0:1, 2+1:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 100+4:10:5:0:19
B minor (2#), 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:2, 6+0:2:0:0:3, 3+0:0:0:0:1, 0+0:0:0:0:0, 4+0:2:0:0:3, 5+0:3:1:0:4, 2+0:2:0:0:2, 4+0:2:0:0:3, 4+0:1:0:0:1, 5+0:1:0:0:1, 0+0:0:0:0:0, 4+1:1:0:0:2, 2+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 7+2:3:1:0:3, 3+0:1:0:0:2, 8+1:4:1:0:5, 5+0:2:0:0:3, 3+0:0:0:0:1, 5+0:2:0:0:3, 4+0:2:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:1:0:0:1, 5+0:0:0:0:1, 4+1:1:0:0:1, 5+0:3:0:0:4, 5+0:2:0:0:3, 4+0:3:0:0:3, 5+0:2:0:0:3, 1+0:0:0:0:0, 132+5:44:3:0:63
