 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
Eb major (3b), 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1,  , 1+0:0:0:0:0,  , 0+0:0:0:0:0,  , 1+0:0:0:0:0,  , 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 1+0:1:0:0:1, 29+0:1:0:0:4
A major (3#), 6+0:3:0:0:2, 6+0:4:0:0:3, 6+0:3:0:0:2, 6+0:4:0:0:3, 5+0:3:0:0:3, 7+0:4:0:0:3, 8+0:5:0:0:4, 8+1:4:0:0:3, 6+0:3:0:0:3, 3+0:1:0:0:0,  , 3+0:1:0:0:1,  , 3+0:2:0:0:1,  , 4+0:3:0:0:2,  , 6+0:3:0:0:2, 6+0:4:0:0:3, 6+0:3:0:0:2, 6+0:4:0:0:3, 5+0:3:0:0:3, 7+0:4:0:0:3, 8+0:5:0:0:4, 3+0:1:1:0:2, 118+1:67:1:0:52
C minor (3b), 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:0, 5+0:1:0:0:0, 6+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0,  , 1+0:0:0:0:0,  , 1+0:0:0:0:0,  , 2+0:0:0:0:0,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:0, 5+0:1:0:0:0, 1+0:1:0:0:0, 45+0:3:0:0:3
F# minor (3#), 6+0:3:0:0:5, 6+0:4:0:0:5, 6+0:3:0:0:5, 6+0:4:0:0:5, 5+0:3:0:0:4, 7+0:4:0:0:6, 7+0:4:0:0:4, 8+1:4:0:0:6, 6+0:3:0:0:4, 4+0:1:0:0:2,  , 3+0:1:0:0:3,  , 3+0:2:0:0:3,  , 4+0:3:0:0:3,  , 6+0:3:0:0:5, 6+0:4:0:0:5, 6+0:3:0:0:5, 6+0:4:0:0:5, 5+0:3:0:0:4, 7+0:4:0:0:6, 7+0:4:0:0:4, 2+0:1:0:0:1, 116+1:65:0:0:90
Ab major (4b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1,  , 1+0:0:0:0:1,  , 1+0:0:0:0:0,  , 0+0:0:0:0:0,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:1:0:0:1, 22+0:1:0:0:6
E major (4#), 6+0:3:0:0:3, 6+0:4:0:0:4, 6+0:3:0:0:3, 6+0:4:0:0:4, 6+0:3:0:0:3, 7+0:4:0:0:4, 8+0:5:0:0:5, 9+0:5:0:0:5, 6+0:3:0:0:3, 3+0:1:0:0:1,  , 3+0:1:0:0:1,  , 4+0:2:0:0:2,  , 4+0:3:0:0:3,  , 6+0:3:0:0:3, 6+0:4:0:0:4, 6+0:3:0:0:3, 6+0:4:0:0:4, 6+0:3:0:0:3, 7+0:4:0:0:4, 8+0:5:0:0:5, 3+0:1:1:0:2, 122+0:68:1:0:69
F minor (4b), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0,  , 2+0:0:0:0:0,  , 1+0:0:0:0:0,  , 1+0:0:0:0:0,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:1:0:0:1, 39+0:1:0:0:1
C# minor (4#), 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:5, 6+0:4:0:0:5, 8+0:5:0:0:7, 9+0:5:0:0:8, 6+0:3:0:0:6, 3+0:1:0:0:3,  , 3+0:1:0:0:3,  , 4+0:2:0:0:3,  , 4+0:3:0:0:4,  , 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:6, 6+0:4:0:0:6, 6+0:3:0:0:5, 6+0:4:0:0:5, 8+0:5:0:0:7, 3+0:1:1:0:2, 120+0:68:1:0:111
Db major (5b), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:1,  , 1+0:0:0:0:1,  , 1+0:0:0:0:1,  , 1+0:0:0:0:0,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 28+0:0:0:0:11
B major (5#), 6+0:3:0:0:4, 6+0:4:0:0:5, 6+0:3:0:0:4, 6+0:4:0:0:5, 6+0:3:0:0:4, 7+0:4:0:0:5, 8+0:5:0:0:6, 10+0:5:0:0:6, 6+0:3:0:0:4, 3+0:1:0:0:1,  , 4+0:1:0:0:2,  , 4+0:2:0:0:3,  , 4+0:3:0:0:3,  , 6+0:3:0:0:4, 6+0:4:0:0:5, 6+0:3:0:0:4, 6+0:4:0:0:5, 6+0:3:0:0:4, 7+0:4:0:0:5, 8+0:5:0:0:6, 3+0:1:1:0:1, 124+0:68:1:0:86
