 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
C major (0), G major (1#), C major (0), F major (1b), C major (0), F major (1b), G minor (2b), G major (1#), F major (1b), F major (1b), C major (0), A minor (0), E minor (1#), G major (1#), F major (1b), F major (1b), G major (1#)
A minor (0), A major (3#), B minor (2#), D minor (1b), A minor (0), D minor (1b), E minor (1#), E minor (1#), D minor (1b), D minor (1b), A minor (0), A minor (0), E minor (1#), E minor (1#), D minor (1b), D minor (1b), E minor (1#)
F major (1b), G major (1#), C major (0), F major (1b), C major (0), F major (1b), Bb major (2b), G minor (2b), D minor (1b), F major (1b), C major (0), C major (0), G minor (2b), G minor (2b), D minor (1b), D minor (1b), D major (2#)
G major (1#), G major (1#), C major (0), G minor (2b), G major (1#), G minor (2b), G minor (2b), G minor (2b), D minor (1b), G minor (2b), G major (1#), G major (1#), G minor (2b), G minor (2b), G minor (2b), G minor (2b), G major (1#)
D minor (1b), D major (2#), B minor (2#), D minor (1b), A minor (0), D minor (1b), G minor (2b), G minor (2b), D minor (1b), D minor (1b), A minor (0), D minor (1b), G minor (2b), G minor (2b), D minor (1b), D minor (1b), D major (2#)
E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), E minor (1#), E minor (1#), D minor (1b), D minor (1b), A minor (0), A minor (0), E minor (1#), E minor (1#), B minor (2#), B minor (2#), E minor (1#)
Bb major (2b), G minor (2b), C minor (3b), G minor (2b), G major (1#), G minor (2b), G minor (2b), G minor (2b), Bb major (2b), G minor (2b), G major (1#), G minor (2b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), G minor (2b)
D major (2#), D major (2#), B minor (2#), B minor (2#), D major (2#), B minor (2#), B minor (2#), D major (2#), D minor (1b), D minor (1b), D major (2#), G major (1#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), D major (2#)
G minor (2b), G minor (2b), C minor (3b), G minor (2b), G major (1#), G minor (2b), G minor (2b), G minor (2b), D minor (1b), G minor (2b), G major (1#), G minor (2b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), G minor (2b)
B minor (2#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), D major (2#), D minor (1b), D minor (1b), D major (2#), B minor (2#), E minor (1#), B minor (2#), B minor (2#), B minor (2#), B minor (2#)
Eb major (3b), Eb minor (6b), Eb minor (6b), Eb major (3b), C major (0), Eb major (3b), Eb major (3b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b)
A major (3#), D major (2#), B minor (2#), B minor (2#), D major (2#), B minor (2#), B minor (2#), D major (2#), D minor (1b), D minor (1b), A minor (0), A major (3#), E major (4#), A major (3#), D minor (1b), D minor (1b), D major (2#)
C minor (3b), G minor (2b), C minor (3b), G minor (2b), G major (1#), G minor (2b), G minor (2b), G minor (2b), Eb major (3b), Eb major (3b), C major (0), C minor (3b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), G minor (2b)
F# minor (3#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), F# major (6#), F# major (6#), F# minor (3#), F# minor (3#), C# minor (4#), F# minor (3#), B minor (2#), B minor (2#), B minor (2#)
Ab major (4b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Eb minor (6b), Eb major (3b), Ab major (4b), Db major (5b), Ab major (4b), Eb major (3b), C minor (3b), Eb major (3b), Db major (5b), Db major (5b), Ab major (4b), Ab major (4b), Db major (5b)
E major (4#), A major (3#), B minor (2#), B major (5#), E major (4#), B minor (2#), E minor (1#), E major (4#), F# major (6#), B major (5#), A major (3#), A major (3#), E major (4#), E minor (1#), B minor (2#), B major (5#), E major (4#)
F minor (4b), G minor (2b), C minor (3b), F minor (4b), C major (0), F major (1b), Bb major (2b), Bb minor (5b), F minor (4b), F major (1b), C major (0), F major (1b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), Bb minor (5b)
C# minor (4#), F# minor (3#), G# minor (5#), G# minor (5#), F# minor (3#), B minor (2#), B minor (2#), F# minor (3#), F# major (6#), C# major (7#), F# minor (3#), F# minor (3#), C# minor (4#), C# minor (4#), G# minor (5#), G# minor (5#), C# minor (4#)
Db major (5b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Eb minor (6b), Eb major (3b), Ab major (4b), Db major (5b), Ab major (4b), Db major (5b), Eb minor (6b), Eb minor (6b), Bb minor (5b), Db major (5b), Ab major (4b), Db major (5b), Db major (5b)
B major (5#), B minor (2#), B minor (2#), B major (5#), E major (4#), B minor (2#), B major (5#), B major (5#), F# major (6#), F# major (6#), F# minor (3#), B minor (2#), B major (5#), B major (5#), B minor (2#), B major (5#), B major (5#)
Bb minor (5b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b)
G# minor (5#), D# minor (6#), G# minor (5#), G# minor (5#), F# minor (3#), B minor (2#), B major (5#), B major (5#), F# major (6#), F# major (6#), F# minor (3#), F# minor (3#), C# minor (4#), C# minor (4#), G# minor (5#), G# minor (5#), C# minor (4#)
Gb major (6b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb minor (6b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb minor (6b), Gb major (6b)
F# major (6#), F# minor (3#), F# major (6#), F# major (6#), F# minor (3#), D# minor (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# minor (3#), F# minor (3#), F# major (6#), F# minor (3#), B minor (2#), B major (5#), B major (5#)
Eb minor (6b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb minor (6b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb minor (6b), Eb minor (6b)
D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#), F# minor (3#), D# minor (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# minor (3#), D# minor (6#), D# minor (6#), D# minor (6#), G# minor (5#), D# minor (6#), D# minor (6#)
Cb major (7b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Cb major (7b), Ab major (4b), Ab minor (7b), Eb minor (6b), Eb minor (6b), Gb major (6b), Cb major (7b), Ab minor (7b), Cb major (7b), Cb major (7b)
C# major (7#), F# minor (3#), F# major (6#), F# major (6#), F# minor (3#), D# minor (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# minor (3#), F# minor (3#), C# minor (4#), C# minor (4#), G# minor (5#), C# major (7#), C# major (7#)
Ab minor (7b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Cb major (7b), Ab major (4b), Ab minor (7b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Ab minor (7b), Ab minor (7b), Eb minor (6b)
A# minor (7#), D# minor (6#), G# minor (5#), D# minor (6#), F# minor (3#), D# minor (6#), G# minor (5#), D# minor (6#), F# major (6#), F# major (6#), F# minor (3#), D# minor (6#), D# minor (6#), D# minor (6#), G# minor (5#), D# minor (6#), D# minor (6#)
