 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
A major (3#), 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 1+0+1:0:0:0:0, 6+0+1:0:0:0:0, 6+0+1:0:0:0:0, 5+0+2:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 39+0+8:0:0:0:0
C minor (3b), 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+1:0:0:0:0, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 3+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 29+0+8:0:0:0:0
F# minor (3#), 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 4+0+3:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+2:0:0:0:0, 1+0+1:0:0:0:0, 5+0+2:0:0:0:0, 6+0+2:0:0:0:0, 5+0+2:0:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 39+0+18:0:0:0:0
Ab major (4b), 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+3:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 5+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 4+0+3:0:1:0:1, 2+0+0:0:0:0:0, 2+0+3:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 41+0+12:0:1:0:1
E major (4#), 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+3:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+1:0:0:0:0, 6+0+3:0:0:0:0, 7+0+2:0:0:0:0, 4+0+2:0:0:0:0, 3+0+3:0:0:0:0, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 52+0+17:0:0:0:0
F minor (4b), 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 5+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 5+0+2:1:0:0:1, 2+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 43+0+8:1:0:0:1
C# minor (4#), 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+3:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:0, 3+0+2:1:0:0:1, 2+0+2:0:0:0:0, 5+0+2:0:0:0:1, 7+0+3:0:0:0:2, 3+0+2:0:0:0:1, 3+0+1:0:0:0:0, 4+0+2:0:0:0:1, 3+0+2:0:0:0:0, 1+0+0:0:0:0:0, 50+0+21:1:0:0:6
Db major (5b), 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+0:0:0:0:0, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 4+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 5+0+3:0:1:0:1, 3+0+0:0:0:0:0, 3+0+3:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 53+0+10:0:1:0:1
B major (5#), 1+0+0:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+2:0:0:0:0, 3+0+3:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+2:0:0:0:0, 3+0+1:0:0:0:0, 5+0+2:0:0:0:0, 7+0+1:0:0:0:0, 5+0+2:0:0:0:0, 4+0+0:0:0:0:0, 5+0+2:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 64+0+16:0:0:0:0
Bb minor (5b), 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+0:0:0:0:0, 4+0+1:0:0:0:0, 3+0+0:0:0:0:0, 4+0+0:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+3:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 5+0+3:0:1:0:1, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 3+0+0:0:0:0:0, 2+0+0:0:0:0:0, 53+0+11:0:1:0:1
G# minor (5#), 1+0+0:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 5+0+1:0:0:0:0, 3+0+3:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+2:0:0:0:0, 3+0+1:0:0:0:0, 5+0+2:0:0:0:0, 7+0+1:0:0:0:0, 5+0+2:0:0:0:0, 4+0+0:0:0:0:0, 5+0+2:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 64+0+15:0:0:0:0
Gb major (6b), 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+0:0:0:0:0, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+0:0:0:0:0, 3+0+0:0:0:0:0, 6+0+1:0:0:0:0, 3+0+0:0:0:0:0, 4+0+0:0:0:0:0, 6+0+3:0:1:0:1, 3+0+0:0:0:0:0, 4+0+3:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 60+0+11:0:1:0:1
F# major (6#), 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+3:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 3+0+2:0:0:0:1, 5+0+3:0:0:0:2, 5+0+2:0:0:0:1, 3+0+1:0:0:0:0, 4+0+2:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 59+0+18:0:0:0:4
Eb minor (6b), 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+0:0:0:0:0, 4+0+2:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+0:0:0:0:0, 3+0+0:0:0:0:0, 6+0+1:0:0:0:0, 3+0+0:0:0:0:0, 4+0+0:0:0:0:0, 6+0+3:0:1:0:1, 3+0+0:0:0:0:0, 4+0+3:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 60+0+11:0:1:0:1
D# minor (6#), 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+3:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+2:0:0:0:0, 4+0+1:0:0:0:0, 6+0+1:0:0:0:0, 7+0+1:0:0:0:0, 6+0+2:0:0:0:0, 4+0+0:0:0:0:0, 5+0+1:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 68+0+13:0:0:0:0
Cb major (7b), 1+0+0:0:0:0:0, 4+0+0:0:0:0:0, 4+0+0:0:0:0:0, 5+0+0:0:0:0:0, 5+0+1:0:0:0:0, 3+0+0:0:0:0:0, 4+0+0:0:0:0:0, 4+0+0:0:0:0:0, 3+0+0:0:0:0:0, 6+0+1:0:0:0:0, 4+0+0:0:0:0:0, 5+0+0:0:0:0:0, 5+0+3:0:0:0:0, 4+0+0:0:0:0:0, 5+0+3:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 68+0+8:0:0:0:0
C# major (7#), 1+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+3:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+2:1:0:0:1, 5+0+2:0:0:0:0, 2+0+2:0:0:0:1, 4+0+3:0:0:0:2, 4+0+2:0:0:0:1, 3+0+1:0:0:0:0, 3+0+2:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 55+0+19:1:0:0:5
Ab minor (7b), 1+0+0:0:0:0:0, 4+0+0:0:0:0:0, 2+0+1:0:0:0:0, 5+0+0:0:0:0:0, 5+0+1:0:0:0:0, 3+0+0:0:0:0:0, 3+0+1:0:0:0:0, 4+0+0:0:0:0:0, 3+0+0:0:0:0:0, 6+0+1:0:0:0:0, 4+0+0:0:0:0:0, 5+0+0:0:0:0:0, 5+0+3:0:0:0:0, 4+0+0:0:0:0:0, 5+0+3:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 65+0+10:0:0:0:0
A# minor (7#), 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 4+0+1:0:0:0:0, 4+0+3:0:0:0:0, 3+0+0:0:0:0:0, 3+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+0:0:0:0:0, 5+0+1:0:0:0:0, 6+0+1:0:0:0:0, 7+0+1:0:0:0:0, 5+0+4:0:1:0:1, 4+0+0:0:0:0:0, 3+0+2:0:0:0:0, 4+0+0:0:0:0:0, 2+0+0:0:0:0:0, 67+0+13:0:1:0:1
