 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
Eb major (3b), 0+0+2:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+2:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+2:1:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+2:1:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 22+0+20:2:0:0:0
A major (3#), 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+1:0:0:0:0, 2+0+3:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:1:0:0:0, 1+0+1:0:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:1:0:0:0, 1+0+1:0:0:0:0, 1+0+2:1:0:0:0, 3+0+2:1:0:0:0, 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 1+0+2:1:0:0:0, 3+0+2:1:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 35+0+27:6:0:0:0
C minor (3b), 0+0+2:0:0:0:0, 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+2:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:1:0:0:0, 1+0+1:1:0:0:0, 2+0+3:0:0:0:0, 1+0+1:1:0:0:0, 1+0+2:1:0:0:0, 1+0+1:1:0:0:0, 1+0+2:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 23+0+22:5:0:0:0
F# minor (3#), 3+0+2:0:0:0:0, 2+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 2+0+4:0:0:0:1, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:0:1:0:0, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:0:1:0:1, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 33+0+16:0:2:0:2
Ab major (4b), 0+0+1:0:0:0:0, 2+0+2:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:0, 2+0+1:0:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 17+0+21:0:0:0:0
E major (4#), 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+4:0:0:0:1, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:1:0:1, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:1:0:1, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 18+0+10:0:2:0:3
F minor (4b), 0+0+2:0:0:0:0, 2+0+2:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:1:0:0:0, 2+0+1:1:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:1:0:0:0, 2+0+1:1:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 17+0+22:4:0:0:0
C# minor (4#), 2+0+2:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+1:0:0:0:0, 1+0+1:0:0:0:0, 2+0+4:0:0:0:1, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+1:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:1:0:1, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:1:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 18+0+13:0:2:0:2
Db major (5b), 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+2:0:0:0:1, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+2:0:0:0:0, 1+0+1:0:0:0:0, 0+0+4:0:0:0:0, 0+0+0:0:0:0:0, 0+0+2:0:0:0:0, 1+0+1:0:0:0:0, 0+0+4:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 6+0+20:0:0:0:1
B major (5#), 1+0+2:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+4:0:0:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:1:0:1, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:1:0:1, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 9+0+10:0:2:0:3
