 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
C major (0), 2+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 9+1:0:0:0:3, 4+0:0:0:0:3, 8+1:0:0:0:3, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:3, 9+1:0:0:0:3, 1+0:0:0:0:0, 92+3:0:0:0:42
A minor (0), 2+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:0, 9+1:0:0:0:5, 3+0:0:0:0:1, 8+1:0:0:0:4, 2+0:0:0:0:1, 4+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:3, 4+0:0:0:0:0, 3+0:0:0:0:3, 3+0:0:0:0:0, 4+0:0:0:0:3, 4+0:0:0:0:0, 3+0:0:0:0:3, 3+0:0:0:0:0, 9+1:0:0:0:5, 1+0:0:0:0:0, 86+3:0:0:0:41
F major (1b), 3+0:1:0:0:1, 6+0:1:0:0:1, 2+0:0:1:0:1, 8+1:2:0:0:2, 5+0:4:0:0:4, 7+1:2:0:0:2, 4+0:3:0:0:3, 3+0:0:0:0:0, 4+0:3:0:0:3, 3+0:0:0:0:0, 4+0:3:0:0:3, 3+0:0:0:0:0, 4+0:3:0:0:3, 3+0:0:0:0:0, 3+0:2:0:0:2, 3+0:0:0:0:0, 5+0:4:0:0:4, 3+0:0:0:0:0, 3+0:2:0:0:2, 3+0:0:0:0:0, 5+0:4:0:0:4, 8+1:2:0:0:2, 1+0:0:0:0:0, 93+3:36:1:0:37
G major (1#), 3+0:1:0:0:1, 4+0:2:0:0:0, 2+0:2:0:0:0, 9+1:5:0:0:4, 3+0:0:0:0:3, 9+1:4:0:0:4, 3+0:0:0:0:3, 4+0:4:0:0:2, 3+0:0:0:0:3, 4+0:4:0:0:2, 3+0:0:0:0:3, 4+0:4:0:0:2, 3+0:0:0:0:3, 4+0:4:0:0:2, 3+0:0:1:0:2, 3+0:3:0:0:1, 3+0:0:0:0:2, 4+0:4:0:0:2, 3+0:0:1:0:2, 3+0:3:0:0:1, 3+0:0:0:0:2, 9+1:5:0:0:4, 1+0:1:0:0:0, 90+3:46:2:0:48
D minor (1b), 3+0:1:0:0:1, 5+0:1:0:0:0, 2+0:1:1:0:1, 8+1:2:0:0:3, 5+0:4:0:0:2, 8+1:2:0:0:3, 4+0:3:0:0:2, 3+0:0:0:0:2, 4+0:3:0:0:2, 3+0:0:0:0:2, 4+0:3:0:0:2, 3+0:0:0:0:2, 4+0:3:0:0:2, 3+0:0:0:0:2, 2+0:2:0:0:1, 4+0:0:0:0:2, 4+0:3:0:0:1, 3+0:0:0:0:2, 2+0:2:0:0:1, 4+0:0:0:0:2, 4+0:3:0:0:1, 8+1:2:0:0:3, 1+0:0:0:0:0, 91+3:35:1:0:39
E minor (1#), 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+1:5:0:0:5, 2+0:0:0:0:0, 9+1:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:1:0:1, 4+0:3:0:0:3, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:1:0:1, 4+0:3:0:0:3, 2+0:0:0:0:0, 9+1:5:0:0:5, 0+0:0:0:0:0, 81+3:40:2:0:42
Bb major (2b), 3+0:1:0:0:2, 5+0:1:0:0:3, 2+0:0:1:0:0, 7+1:2:0:0:3, 6+0:4:0:0:5, 6+1:2:0:0:3, 5+0:3:0:0:4, 2+0:0:0:0:0, 5+0:3:0:0:4, 2+0:0:0:0:0, 5+0:3:0:0:4, 2+0:0:0:0:0, 5+0:3:0:0:4, 2+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 6+0:4:0:0:5, 2+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 6+0:4:0:0:5, 7+1:2:0:0:3, 0+0:0:0:0:0, 90+3:36:1:0:49
D major (2#), 3+0:1:0:0:1, 3+0:2:0:0:0, 2+0:1:0:0:0, 9+1:5:0:0:3, 3+0:0:0:0:2, 10+1:4:0:0:3, 3+0:0:0:0:2, 4+0:4:0:0:2, 3+0:0:0:0:2, 4+0:4:0:0:2, 3+0:0:0:0:2, 4+0:4:0:0:2, 3+0:0:0:0:2, 4+0:4:0:0:2, 2+0:0:1:0:2, 4+0:3:0:0:2, 2+0:0:0:0:1, 4+0:4:0:0:2, 2+0:0:1:0:2, 4+0:3:0:0:2, 2+0:0:0:0:1, 9+1:5:0:0:3, 1+0:1:0:0:0, 88+3:45:2:0:40
G minor (2b), 4+0:1:0:0:1, 4+0:1:0:0:0, 2+0:0:1:0:1, 7+1:2:0:0:4, 5+0:3:0:0:3, 7+1:2:0:0:4, 5+0:3:0:0:3, 2+0:0:0:0:2, 5+0:3:0:0:3, 2+0:0:0:0:2, 5+0:3:0:0:3, 2+0:0:0:0:2, 5+0:3:0:0:3, 2+0:0:0:0:2, 4+0:3:1:0:2, 2+0:0:0:0:1, 5+0:3:0:0:2, 2+0:0:0:0:2, 4+0:3:1:0:2, 2+0:0:0:0:1, 5+0:3:0:0:2, 7+1:2:0:0:4, 0+0:0:0:0:0, 88+3:35:3:0:49
B minor (2#), 4+0:0:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 8+1:5:0:0:5, 2+0:0:0:0:0, 9+1:4:0:0:5, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 3+0:0:1:0:0, 4+0:3:0:0:3, 3+0:0:0:0:0, 4+0:4:0:0:4, 3+0:0:1:0:0, 4+0:3:0:0:3, 3+0:0:0:0:0, 8+1:5:0:0:5, 1+0:0:0:0:0, 83+3:41:2:0:43
Eb major (3b), 4+0:1:0:0:2, 5+0:2:0:0:3, 1+0:0:1:0:0, 7+1:2:0:0:4, 6+0:4:0:0:6, 6+1:2:0:0:4, 5+0:3:0:0:5, 2+0:0:0:0:0, 5+0:3:0:0:5, 2+0:0:0:0:0, 5+0:3:0:0:5, 2+0:0:0:0:0, 5+0:3:0:0:5, 2+0:0:0:0:0, 5+0:2:0:0:3, 1+0:0:0:0:0, 7+0:4:0:0:6, 2+0:0:0:0:0, 5+0:2:0:0:3, 1+0:0:0:0:0, 7+0:4:0:0:6, 7+1:2:0:0:4, 0+0:0:0:0:0, 92+3:37:1:0:61
A major (3#), 3+0:1:0:0:0, 3+0:2:0:0:1, 1+0:1:0:0:0, 9+1:5:0:0:5, 2+0:0:0:0:1, 10+1:4:0:0:4, 2+0:0:0:0:1, 4+0:4:0:0:3, 2+0:0:0:0:1, 4+0:4:0:0:3, 2+0:0:0:0:1, 4+0:4:0:0:3, 2+0:0:0:0:1, 4+0:4:0:0:3, 3+0:0:1:0:1, 4+0:3:0:0:3, 1+0:0:0:0:0, 4+0:4:0:0:3, 3+0:0:1:0:1, 4+0:3:0:0:3, 1+0:0:0:0:0, 9+1:5:0:0:5, 1+0:0:0:0:0, 82+3:44:2:0:43
C minor (3b), 3+0:1:0:0:1, 4+0:2:0:0:1, 1+0:0:0:0:0, 8+1:2:0:0:3, 5+0:4:0:0:3, 7+1:2:0:0:3, 4+0:3:0:0:3, 3+0:0:0:0:1, 4+0:3:0:0:3, 3+0:0:0:0:1, 4+0:3:0:0:3, 3+0:0:0:0:1, 4+0:3:0:0:3, 3+0:0:0:0:1, 5+0:3:0:0:2, 1+0:0:0:0:1, 6+0:4:0:0:3, 3+0:0:0:0:1, 5+0:3:0:0:2, 1+0:0:0:0:1, 6+0:4:0:0:3, 8+1:2:0:0:3, 0+0:0:0:0:0, 91+3:39:0:0:43
F# minor (3#), 3+0:0:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 9+1:5:0:0:5, 3+0:0:0:0:0, 10+1:4:0:0:6, 3+0:0:0:0:0, 4+0:4:0:0:4, 3+0:0:0:0:0, 4+0:4:0:0:4, 3+0:0:0:0:0, 4+0:4:0:0:4, 3+0:0:0:0:0, 4+0:4:0:0:4, 4+0:0:0:0:0, 4+0:3:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 4+0:0:0:0:0, 4+0:3:0:0:4, 2+0:0:0:0:0, 9+1:5:0:0:5, 1+0:0:0:0:0, 91+3:41:0:0:46
Ab major (4b), 4+0:1:0:0:3, 6+0:2:0:0:4, 1+0:0:1:0:0, 6+1:2:0:0:4, 6+0:4:0:0:6, 5+1:2:0:0:4, 5+0:3:0:0:5, 1+0:0:0:0:0, 5+0:3:0:0:5, 1+0:0:0:0:0, 5+0:3:0:0:5, 1+0:0:0:0:0, 5+0:3:0:0:5, 1+0:0:0:0:0, 5+0:2:0:0:4, 2+0:0:0:0:0, 7+0:4:0:0:7, 1+0:0:0:0:0, 5+0:2:0:0:4, 2+0:0:0:0:0, 7+0:4:0:0:7, 6+1:2:0:0:4, 0+0:0:0:0:0, 87+3:37:1:0:67
E major (4#), 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 9+1:5:0:0:5, 1+0:0:0:0:0, 10+1:4:0:0:4, 1+0:0:0:0:0, 4+0:4:0:0:4, 1+0:0:0:0:0, 4+0:4:0:0:4, 1+0:0:0:0:0, 4+0:4:0:0:4, 1+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:1:0:1, 5+0:3:0:0:3, 0+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:1:0:1, 5+0:3:0:0:3, 0+0:0:0:0:0, 9+1:5:0:0:5, 0+0:0:0:0:0, 73+3:40:2:0:42
F minor (4b), 4+0:1:0:0:1, 7+0:2:0:0:2, 1+0:0:1:0:1, 7+1:2:0:0:2, 5+0:4:0:0:4, 6+1:2:0:0:2, 4+0:3:0:0:3, 2+0:0:0:0:0, 4+0:3:0:0:3, 2+0:0:0:0:0, 4+0:3:0:0:3, 2+0:0:0:0:0, 4+0:3:0:0:3, 2+0:0:0:0:0, 4+0:2:0:0:2, 3+0:0:0:0:0, 6+0:4:0:0:4, 2+0:0:0:0:0, 4+0:2:0:0:2, 3+0:0:0:0:0, 6+0:4:0:0:4, 7+1:2:0:0:2, 1+0:0:0:0:0, 90+3:37:1:0:38
C# minor (4#), 3+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+1:5:0:0:5, 2+0:0:0:0:0, 10+1:4:0:0:5, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:1:0:1, 5+0:3:0:0:4, 1+0:0:0:0:0, 4+0:4:0:0:4, 2+0:0:1:0:1, 5+0:3:0:0:4, 1+0:0:0:0:0, 9+1:5:0:0:5, 0+0:0:0:0:0, 83+3:40:2:0:46
Db major (5b), 4+0:1:0:0:3, 6+0:2:0:0:5, 1+0:0:1:0:0, 5+1:2:0:0:4, 6+0:4:0:0:6, 4+1:2:0:0:4, 5+0:3:0:0:5, 0+0:0:0:0:0, 5+0:3:0:0:5, 0+0:0:0:0:0, 5+0:3:0:0:5, 0+0:0:0:0:0, 5+0:3:0:0:5, 0+0:0:0:0:0, 6+0:2:0:0:4, 1+0:0:0:0:1, 7+0:4:0:0:7, 0+0:0:0:0:0, 6+0:2:0:0:4, 1+0:0:0:0:1, 7+0:4:0:0:7, 5+1:2:0:0:4, 0+0:0:0:0:0, 79+3:37:1:0:70
B major (5#), 3+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 8+1:5:0:0:5, 0+0:0:0:0:0, 9+1:4:0:0:5, 0+0:0:0:0:0, 4+0:4:0:0:4, 0+0:0:0:0:0, 4+0:4:0:0:4, 0+0:0:0:0:0, 4+0:4:0:0:4, 0+0:0:0:0:0, 4+0:4:0:0:4, 3+0:0:1:0:0, 5+0:3:0:0:3, 1+0:0:0:0:0, 4+0:4:0:0:4, 3+0:0:1:0:0, 5+0:3:0:0:3, 1+0:0:0:0:0, 8+1:5:0:0:5, 0+0:0:0:0:0, 68+3:40:2:0:42
Bb minor (5b), 3+0:1:0:0:2, 6+0:1:0:0:3, 2+0:0:1:0:0, 5+1:2:0:0:3, 6+0:4:0:0:5, 4+1:2:0:0:3, 5+0:3:0:0:4, 0+0:0:0:0:0, 5+0:3:0:0:4, 0+0:0:0:0:0, 5+0:3:0:0:4, 0+0:0:0:0:0, 5+0:3:0:0:4, 0+0:0:0:0:0, 5+0:2:0:0:2, 2+0:0:0:0:0, 6+0:4:0:0:5, 0+0:0:0:0:0, 5+0:2:0:0:2, 2+0:0:0:0:0, 6+0:4:0:0:5, 5+1:2:0:0:3, 0+0:0:0:0:0, 77+3:36:1:0:49
G# minor (5#), 3+0:0:0:0:1, 3+0:0:0:0:1, 0+0:0:0:0:0, 8+1:5:0:0:5, 1+0:0:0:0:0, 9+1:4:0:0:6, 0+0:0:0:0:0, 4+0:4:0:0:4, 0+0:0:0:0:0, 4+0:4:0:0:4, 0+0:0:0:0:0, 4+0:4:0:0:4, 0+0:0:0:0:0, 4+0:4:0:0:4, 4+0:0:0:0:2, 5+0:3:0:0:5, 2+0:0:0:0:0, 4+0:4:0:0:4, 4+0:0:0:0:2, 5+0:3:0:0:5, 2+0:0:0:0:0, 8+1:5:0:0:5, 0+0:0:0:0:0, 74+3:40:0:0:52
Gb major (6b), 4+0:1:0:0:3, 5+1:1:0:0:4, 0+0:0:0:0:0, 5+1:2:0:0:4, 6+0:4:0:0:6, 5+1:2:0:0:4, 5+0:3:0:0:5, 0+0:0:0:0:0, 5+0:3:0:0:5, 0+0:0:0:0:0, 5+0:3:0:0:5, 0+0:0:0:0:0, 5+0:3:0:0:5, 0+0:0:0:0:0, 6+0:2:0:0:5, 2+0:0:0:0:1, 7+0:4:0:0:7, 0+0:0:0:0:0, 6+0:2:0:0:5, 2+0:0:0:0:1, 7+0:4:0:0:7, 5+1:2:0:0:4, 0+0:0:0:0:0, 80+4:36:0:0:71
F# major (6#), 3+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 8+1:5:0:0:5, 1+0:0:0:0:0, 9+1:4:0:0:6, 1+0:0:0:0:0, 4+0:4:0:0:4, 1+0:0:0:0:0, 4+0:4:0:0:4, 1+0:0:0:0:0, 4+0:4:0:0:4, 1+0:0:0:0:0, 4+0:4:0:0:4, 4+0:0:0:0:0, 5+0:3:0:0:4, 2+0:0:0:0:0, 4+0:4:0:0:4, 4+0:0:0:0:0, 5+0:3:0:0:4, 2+0:0:0:0:0, 8+1:5:0:0:5, 0+0:0:0:0:0, 77+3:40:0:0:45
Eb minor (6b), 4+0:1:0:0:2, 4+1:1:0:0:2, 0+0:0:0:0:0, 6+1:2:0:0:4, 6+0:4:0:0:6, 6+1:2:0:0:4, 5+0:3:0:0:5, 1+0:0:0:0:0, 5+0:3:0:0:5, 1+0:0:0:0:0, 5+0:3:0:0:5, 1+0:0:0:0:0, 5+0:3:0:0:5, 1+0:0:0:0:0, 6+0:2:0:0:3, 1+0:0:0:0:0, 7+0:4:0:0:6, 1+0:0:0:0:0, 6+0:2:0:0:3, 1+0:0:0:0:0, 7+0:4:0:0:6, 6+1:2:0:0:4, 0+0:0:0:0:0, 85+4:36:0:0:60
D# minor (6#), 3+0:0:0:0:2, 3+0:0:0:0:2, 0+0:0:0:0:0, 8+1:5:0:0:5, 1+0:0:0:0:0, 9+1:4:0:0:6, 1+0:0:0:0:0, 4+0:4:0:0:4, 1+0:0:0:0:0, 4+0:4:0:0:4, 1+0:0:0:0:0, 4+0:4:0:0:4, 1+0:0:0:0:0, 4+0:4:0:0:4, 5+0:0:0:0:2, 5+0:3:0:0:5, 3+0:0:0:0:1, 4+0:4:0:0:4, 5+0:0:0:0:2, 5+0:3:0:0:5, 3+0:0:0:0:1, 8+1:5:0:0:5, 0+0:0:0:0:0, 82+3:40:0:0:56
