 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, rowcost
C major (0), 1+0+1:0:0:0:0, 2+0+1:0:0:0:0,  ,  , 2+0+2:0:0:0:0, 3+0+1:0:0:0:0,  ,  , 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 11+0+7:0:0:0:0
A minor (0), 1+0+1:0:0:0:0, 2+0+1:0:0:0:0,  ,  , 2+0+1:0:0:0:0, 3+0+1:0:0:0:0,  ,  , 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 11+0+6:0:0:0:0
F major (1b), 1+0+1:0:0:0:0, 1+0+1:0:0:0:0,  ,  , 2+0+2:0:0:0:0, 2+0+1:0:0:0:0,  ,  , 1+0+1:0:0:0:0, 1+0+0:0:0:0:0, 8+0+6:0:0:0:0
G major (1#), 2+0+1:0:0:0:0, 4+0+2:0:0:0:0,  ,  , 3+0+2:0:0:0:0, 5+0+1:0:0:0:0,  ,  , 2+0+3:0:0:0:0, 4+0+2:0:0:0:0, 20+0+11:0:0:0:0
D minor (1b), 1+0+1:0:0:0:0, 1+0+1:0:0:0:0,  ,  , 2+0+2:0:0:0:0, 2+0+1:0:0:0:0,  ,  , 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 8+0+7:0:0:0:0
E minor (1#), 2+0+1:0:0:0:0, 4+0+2:0:0:0:0,  ,  , 3+0+2:0:0:0:0, 5+0+1:0:0:0:0,  ,  , 2+0+3:0:0:0:0, 4+0+2:0:0:0:0, 20+0+11:0:0:0:0
Bb major (2b), 1+0+1:0:1:0:0, 0+0+0:0:0:0:0,  ,  , 2+0+2:0:1:0:1, 1+0+0:0:0:0:0,  ,  , 1+0+1:0:1:0:1, 0+0+0:0:0:0:0, 5+0+4:0:3:0:2
D major (2#), 2+0+1:0:0:0:0, 4+0+1:0:0:0:0,  ,  , 2+0+1:0:0:0:0, 4+0+1:0:0:0:0,  ,  , 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 18+0+6:0:0:0:0
G minor (2b), 2+0+1:0:0:0:0, 0+0+2:0:0:0:0,  ,  , 2+0+2:0:1:0:1, 1+0+1:0:0:0:0,  ,  , 1+0+1:0:1:0:0, 0+0+0:0:0:0:0, 6+0+7:0:2:0:1
B minor (2#), 2+0+1:0:0:0:0, 4+0+1:0:0:0:0,  ,  , 2+0+1:0:0:0:0, 4+0+1:0:0:0:0,  ,  , 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 18+0+6:0:0:0:0
Eb major (3b), 1+0+1:0:1:0:0, 1+0+1:0:0:0:0,  ,  , 2+0+2:0:1:0:0, 2+0+1:0:0:0:0,  ,  , 1+0+1:0:1:0:0, 1+0+1:0:0:0:0, 8+0+7:0:3:0:0
A major (3#), 2+0+1:0:0:0:0, 4+0+1:0:0:0:0,  ,  , 2+0+1:0:0:0:0, 4+0+1:0:0:0:0,  ,  , 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 18+0+6:0:0:0:0
C minor (3b), 1+0+1:0:1:0:0, 1+0+1:0:0:0:0,  ,  , 2+0+2:0:1:0:0, 2+0+1:0:0:0:0,  ,  , 1+0+1:0:1:0:0, 1+0+1:0:0:0:0, 8+0+7:0:3:0:0
F# minor (3#), 2+0+1:0:0:0:0, 4+0+2:0:0:0:1,  ,  , 2+0+1:0:0:0:0, 4+0+1:0:0:0:0,  ,  , 2+0+1:0:0:0:0, 4+0+1:0:0:0:0, 18+0+7:0:0:0:1
Ab major (4b), 2+0+1:0:1:0:0, 2+0+1:0:0:0:0,  ,  , 1+0+1:0:1:0:0, 1+0+1:0:0:0:1,  ,  , 2+0+1:0:1:0:0, 2+0+1:0:0:0:0, 10+0+6:0:3:0:1
E major (4#), 2+0+1:0:0:0:0, 5+0+2:0:0:0:0,  ,  , 2+0+2:0:0:0:0, 4+0+1:0:0:0:0,  ,  , 3+0+3:0:0:0:0, 5+0+2:0:0:0:0, 21+0+11:0:0:0:0
F minor (4b), 3+0+2:0:0:0:0, 2+0+1:0:0:0:0,  ,  , 1+0+1:0:1:0:1, 1+0+0:0:0:0:0,  ,  , 3+0+1:0:0:0:0, 2+0+1:0:0:0:0, 12+0+6:0:1:0:1
C# minor (4#), 2+0+1:0:0:0:0, 5+0+2:0:0:0:0,  ,  , 2+0+2:0:0:0:0, 4+0+1:0:0:0:0,  ,  , 3+0+3:0:0:0:0, 5+0+2:0:0:0:0, 21+0+11:0:0:0:0
Db major (5b), 2+0+1:0:1:0:0, 2+0+1:0:0:0:0,  ,  , 1+0+1:0:1:0:0, 1+0+0:0:0:0:0,  ,  , 2+0+1:0:1:0:0, 2+0+0:0:0:0:0, 10+0+4:0:3:0:0
B major (5#), 2+0+1:0:0:0:0, 5+0+1:0:0:0:0,  ,  , 1+0+1:0:0:0:0, 4+0+1:0:0:0:0,  ,  , 2+0+1:0:0:0:0, 5+0+1:0:0:0:0, 19+0+6:0:0:0:0
Bb minor (5b), 2+0+1:0:1:0:0, 2+0+1:0:0:0:0,  ,  , 1+0+1:0:1:0:0, 1+0+0:0:0:0:0,  ,  , 2+0+1:0:1:0:1, 2+0+0:0:0:0:0, 10+0+4:0:3:0:1
G# minor (5#), 2+0+1:0:0:0:0, 5+0+1:0:0:0:0,  ,  , 2+0+2:0:0:0:0, 4+0+1:0:0:0:0,  ,  , 2+0+1:0:0:0:0, 5+0+1:0:0:0:0, 20+0+7:0:0:0:0
Gb major (6b), 2+0+1:0:1:0:0, 2+0+1:0:0:0:0,  ,  , 1+0+2:0:0:0:0, 1+0+0:0:0:0:0,  ,  , 2+0+1:0:1:0:0, 2+0+1:0:0:0:0, 10+0+6:0:2:0:0
F# major (6#), 3+0+1:0:0:0:0, 5+0+1:0:0:0:0,  ,  , 3+0+2:0:0:0:0, 4+0+1:0:0:0:0,  ,  , 3+0+1:0:0:0:0, 5+0+1:0:0:0:0, 23+0+7:0:0:0:0
Eb minor (6b), 2+0+1:0:1:0:0, 2+0+1:0:0:0:0,  ,  , 1+0+2:0:0:0:0, 1+0+0:0:0:0:0,  ,  , 2+0+1:0:1:0:0, 2+0+1:0:0:0:0, 10+0+6:0:2:0:0
D# minor (6#), 3+0+1:0:0:0:0, 5+0+1:0:0:0:0,  ,  , 3+0+2:0:0:0:0, 4+0+1:0:0:0:0,  ,  , 3+0+1:0:0:0:0, 5+0+1:0:0:0:0, 23+0+7:0:0:0:0
Cb major (7b), 3+0+1:0:1:0:0, 4+0+1:0:0:0:0,  ,  , 2+0+2:0:0:0:0, 3+0+0:0:0:0:0,  ,  , 3+0+1:0:1:0:0, 4+0+1:0:0:0:0, 19+0+6:0:2:0:0
C# major (7#), 2+0+3:0:0:0:0, 3+0+1:0:0:0:1,  ,  , 3+0+2:0:0:0:0, 5+0+1:0:0:0:0,  ,  , 3+0+3:0:0:0:0, 4+0+2:0:0:0:0, 20+0+12:0:0:0:1
Ab minor (7b), 3+0+1:0:1:0:0, 4+0+1:0:0:0:0,  ,  , 2+0+2:0:0:0:0, 3+0+0:0:0:0:0,  ,  , 3+0+1:0:1:0:0, 4+0+1:0:0:0:0, 19+0+6:0:2:0:0
A# minor (7#), 2+0+3:0:0:0:0, 3+0+1:0:0:0:1,  ,  , 3+0+2:0:0:0:0, 5+0+1:0:0:0:0,  ,  , 3+0+3:0:0:0:0, 4+0+2:0:0:0:0, 20+0+12:0:0:0:1
