 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 3+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 4+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 24+0:0:2:0:2
A minor (0), 3+0:0:0:0:2, 2+0:0:0:0:1,  ,  , 5+0:0:1:0:3, 3+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:1:0:2, 2+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 29+0:0:2:0:12
F major (1b), 2+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 3+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 16+0:0:2:0:2
G major (1#), 4+0:3:0:0:0, 3+0:2:0:0:0,  ,  , 5+0:4:1:0:2, 4+0:2:0:0:0, 3+0:2:0:0:0, 1+0:0:0:0:0, 4+0:3:1:0:1, 3+0:2:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 34+0:22:2:0:3
D minor (1b), 2+0:0:0:0:1, 1+0:0:0:0:0,  ,  , 3+0:0:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 18+0:0:2:0:6
E minor (1#), 5+0:3:0:0:3, 3+0:0:0:0:0,  ,  , 5+0:4:1:0:4, 3+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 5+0:3:1:0:3, 4+0:1:0:0:1, 5+0:2:0:0:2, 3+0:2:0:0:2, 39+0:17:2:0:17
Bb major (2b), 2+0:0:1:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:1:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 10+0:0:3:0:5
D major (2#), 4+0:3:0:0:1, 3+0:2:0:0:0,  ,  , 5+0:4:1:0:2, 3+0:2:0:0:0, 3+0:2:0:0:1, 1+0:0:0:0:0, 5+0:3:1:0:1, 4+0:2:0:0:0, 4+0:2:0:0:1, 4+0:2:0:0:0, 36+0:22:2:0:6
G minor (2b), 3+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 3+0:0:1:0:2, 2+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 20+0:1:3:0:4
B minor (2#), 4+0:3:0:0:4, 4+0:1:0:0:2,  ,  , 5+0:4:1:0:5, 4+0:0:0:0:1, 3+0:2:0:0:3, 2+0:0:0:0:1, 5+0:3:1:0:4, 5+0:1:0:0:2, 4+0:2:0:0:3, 5+0:2:0:0:3, 41+0:18:2:0:28
