 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, rowcost
C major (0), 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 8+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:1, 7+0:0:0:0:1, 3+0:0:0:0:0, 73+0:0:1:0:8
A minor (0), 4+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:2, 6+0:0:0:0:3, 4+0:0:0:0:3, 2+0:0:0:0:0, 4+0:0:0:0:2, 9+0:0:1:0:4, 2+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:2, 6+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:3, 5+0:0:0:0:2, 6+0:0:0:0:3, 3+0:0:0:0:3, 8+0:0:0:0:4, 4+0:0:0:0:2, 84+0:0:1:0:46
A minor mel (0), 4+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:2, 6+0:0:0:0:3, 4+0:0:0:0:3, 1+0:0:0:0:0, 4+0:0:0:0:2, 10+0:0:1:0:4, 3+0:0:0:0:1, 4+0:0:0:0:3, 5+0:0:0:0:2, 7+0:0:0:0:3, 3+0:0:0:0:1, 4+0:0:0:0:3, 4+0:0:0:0:2, 7+0:0:0:0:3, 4+0:0:0:0:3, 9+0:0:0:0:4, 5+0:0:0:0:2, 92+0:0:1:0:46
C major blues (0), 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 10+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:1, 8+0:0:0:0:1, 4+0:0:0:0:0, 84+0:0:1:0:7
A minor blues (0), 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 10+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:1, 8+0:0:0:0:1, 4+0:0:0:0:0, 84+0:0:1:0:7
C dorian (0), 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 9+0:0:1:0:2, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:1, 8+0:0:0:0:1, 4+0:0:0:0:0, 81+0:0:1:0:8
C phrygian (0), 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:1:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:1, 2+0:0:0:0:0, 56+0:0:1:0:8
C lydian (0), 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 9+0:0:1:0:2, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:1, 8+0:0:0:0:1, 4+0:0:0:0:0, 81+0:0:1:0:8
C mixolydian (0), 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:1:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:1, 2+0:0:0:0:0, 56+0:0:1:0:8
C aeolian (0), 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 8+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:1, 7+0:0:0:0:1, 3+0:0:0:0:0, 73+0:0:1:0:8
