 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
D minor (1b), 1+0:0:0:0:0, 2+0:1:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:1:0:3, 4+0:0:1:0:3, 2+0:1:0:0:1, 4+0:1:0:0:2, 3+0:1:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 1+0:0:0:0:0, 1+0:1:0:0:0, 39+0:5:2:0:19
E minor (1#), 3+0:2:0:0:2, 2+0:0:0:0:0, 3+0:2:0:0:2, 3+0:3:0:0:3, 3+0:1:0:0:1, 3+0:2:0:0:2, 6+0:5:1:0:5, 5+0:4:1:0:4, 3+0:0:0:0:0, 3+0:3:0:0:3, 3+0:1:0:0:1, 5+0:2:0:0:2, 4+0:3:0:0:3, 3+0:3:0:0:3, 3+0:2:0:0:2, 3+0:1:0:0:1, 55+0:34:2:0:34
D minor mel (1b), 2+0:0:0:0:0, 1+0:1:0:0:0, 3+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:1:0:3, 4+0:0:1:0:3, 1+0:1:0:0:1, 5+0:1:0:0:2, 3+0:1:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:0, 2+0:1:0:0:0, 47+0:5:2:0:19
E minor mel (1#), 3+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:2, 4+0:3:0:0:3, 4+0:1:0:0:1, 4+0:2:0:0:2, 6+0:5:1:0:5, 5+0:4:1:0:4, 3+0:0:0:0:0, 4+0:3:0:0:3, 4+0:1:0:0:1, 4+0:2:0:0:2, 4+0:3:0:0:3, 4+0:3:0:0:3, 3+0:2:0:0:2, 3+0:1:0:0:1, 60+0:34:2:0:34
F major blues (1b), 2+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:1, 4+0:0:1:0:1, 2+0:1:0:0:1, 5+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 49+0:7:2:0:9
G major blues (1#), 2+0:1:0:0:0, 3+0:0:0:0:0, 4+0:2:0:0:1, 4+0:2:0:0:1, 4+0:1:0:0:0, 4+0:1:0:0:0, 6+0:4:1:0:2, 5+0:4:1:0:2, 3+0:0:0:0:1, 5+0:2:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:0, 4+0:2:0:0:1, 4+0:3:0:0:1, 2+0:1:0:0:0, 2+0:0:0:0:1, 60+0:25:2:0:12
D minor blues (1b), 2+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:1, 4+0:0:1:0:1, 2+0:1:0:0:1, 5+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 49+0:7:2:0:9
E minor blues (1#), 2+0:1:0:0:0, 3+0:0:0:0:0, 4+0:2:0:0:1, 4+0:2:0:0:1, 4+0:1:0:0:0, 4+0:1:0:0:0, 6+0:4:1:0:2, 5+0:4:1:0:2, 3+0:0:0:0:1, 5+0:2:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:0, 4+0:2:0:0:1, 4+0:3:0:0:1, 2+0:1:0:0:0, 2+0:0:0:0:1, 60+0:25:2:0:12
F dorian (1b), 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:2, 4+0:0:1:0:2, 1+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 42+0:0:2:0:10
G dorian (1#), 2+0:2:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:1, 4+0:3:0:0:1, 4+0:2:0:0:0, 4+0:2:0:0:0, 6+0:5:1:0:2, 5+0:4:1:0:2, 2+0:0:0:0:1, 4+0:3:0:0:1, 4+0:1:0:0:1, 3+0:2:0:0:0, 4+0:3:0:0:1, 4+0:3:0:0:1, 2+0:2:0:0:0, 2+0:1:0:0:1, 54+0:35:2:0:12
