 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, rowcost
E minor mel (1#), 1+0:0:0:0:0, 6+0:3:0:0:3, 5+0:0:0:0:0, 4+0:0:0:0:0, 8+0:3:0:0:3, 7+0:5:0:0:5, 7+0:5:0:0:5, 5+0:3:0:0:3, 2+0:0:0:0:0, 5+0:3:0:0:3, 5+0:1:0:0:1, 5+0:3:0:0:3, 4+0:1:0:0:1, 64+0:27:0:0:27
F major blues (1b), 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:1, 41+0:1:0:0:1
G major blues (1#), 1+0:0:0:0:0, 5+0:2:0:0:0, 4+0:2:0:0:0, 3+0:1:0:0:0, 7+0:2:0:0:0, 7+0:4:0:0:2, 7+0:4:0:0:2, 5+0:2:0:0:1, 2+0:0:0:0:0, 5+0:2:0:0:1, 5+0:2:0:0:0, 5+0:2:0:0:1, 5+0:2:0:0:0, 61+0:25:0:0:7
D minor blues (1b), 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:1, 41+0:1:0:0:1
E minor blues (1#), 1+0:0:0:0:0, 5+0:2:0:0:0, 4+0:2:0:0:0, 3+0:1:0:0:0, 7+0:2:0:0:0, 7+0:4:0:0:2, 7+0:4:0:0:2, 5+0:2:0:0:1, 2+0:0:0:0:0, 5+0:2:0:0:1, 5+0:2:0:0:0, 5+0:2:0:0:1, 5+0:2:0:0:0, 61+0:25:0:0:7
F dorian (1b), 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 39+0:0:0:0:4
G dorian (1#), 1+0:0:0:0:0, 5+0:3:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 7+0:3:0:0:0, 7+0:5:0:0:2, 7+0:5:0:0:2, 5+0:3:0:0:1, 2+0:0:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:0, 5+0:3:0:0:1, 4+0:3:0:0:0, 60+0:35:0:0:7
F phrygian (1b), 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 21+0:0:0:0:4
G phrygian (1#), 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 39+0:0:0:0:4
F lydian (1b), 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 39+0:0:0:0:4
G lydian (1#), 1+0:0:0:0:0, 5+0:3:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 7+0:3:0:0:0, 7+0:5:0:0:2, 7+0:5:0:0:2, 5+0:3:0:0:1, 2+0:0:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:0, 5+0:3:0:0:1, 4+0:3:0:0:0, 60+0:35:0:0:7
