 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, rowcost
C major (0), 4+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:0, 4+0:0:1:0:2, 1+0:0:0:0:0, 6+0:0:0:0:3, 4+1:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 12+4:0:2:0:4, 2+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:1:3, 5+0:0:1:1:3, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 138+5:0:5:2:31
A minor (0), 4+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:4, 5+0:0:0:0:3, 4+0:0:1:0:3, 1+0:0:0:0:0, 5+0:0:0:0:0, 4+1:0:0:0:3, 4+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:4, 5+0:0:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:1, 12+4:0:2:0:6, 1+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:1:1:4, 5+0:0:1:1:4, 3+0:0:0:0:3, 3+0:0:0:0:3, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:3, 4+0:0:0:0:2, 2+0:0:0:0:1, 5+0:0:0:0:3, 3+0:0:0:0:3, 3+0:0:0:0:3, 3+0:0:0:0:3, 2+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:2, 4+0:0:0:0:3, 144+5:0:5:2:95
F major (1b), 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:1:0:1, 0+0:0:0:0:0, 7+0:4:0:0:4, 4+1:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 11+4:2:2:0:4, 3+0:2:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:1:2, 5+0:0:1:1:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 120+5:10:5:2:17
G major (1#), 5+0:4:0:0:1, 5+0:4:0:0:2, 5+0:4:0:0:2, 6+0:4:0:0:1, 4+0:4:1:0:3, 1+0:1:0:0:0, 5+0:0:0:0:2, 3+1:3:0:0:1, 5+0:4:0:0:1, 5+0:4:0:0:2, 5+0:4:0:0:2, 6+0:4:0:0:1, 4+0:3:0:0:0, 3+0:2:0:0:0, 13+4:7:2:0:5, 1+0:0:0:0:1, 3+0:3:0:0:1, 3+0:3:0:0:1, 4+0:3:0:0:1, 3+0:3:0:0:1, 5+0:5:1:1:4, 5+0:5:1:1:4, 4+0:3:0:0:1, 3+0:3:0:0:1, 3+0:3:0:0:1, 3+0:3:0:0:1, 4+0:3:0:0:1, 3+0:3:0:0:1, 4+0:2:0:0:0, 3+0:2:0:0:0, 6+0:4:0:0:2, 3+0:3:0:0:1, 4+0:3:0:0:1, 4+0:3:0:0:1, 3+0:2:0:0:1, 3+0:3:0:0:2, 3+0:2:0:0:1, 3+0:3:0:0:1, 155+5:119:5:2:52
D minor (1b), 4+0:0:0:0:2, 4+0:0:0:0:3, 5+0:0:0:0:3, 5+0:1:0:0:2, 3+0:0:1:0:3, 0+0:0:0:0:0, 6+0:3:0:0:1, 5+1:1:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:3, 5+0:0:0:0:3, 5+0:1:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:1, 11+4:2:2:0:6, 3+0:2:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:1:1:4, 5+0:0:1:1:4, 4+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:2, 4+0:1:0:0:1, 1+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:2, 3+0:0:0:0:2, 138+5:11:5:2:74
E minor (1#), 5+0:2:0:0:2, 5+0:3:0:0:3, 5+0:4:0:0:4, 6+0:4:0:0:4, 4+0:4:1:0:4, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+1:3:0:0:3, 5+0:2:0:0:2, 5+0:3:0:0:3, 5+0:4:0:0:4, 6+0:4:0:0:4, 4+0:2:0:0:2, 4+0:2:0:0:2, 13+4:7:2:0:7, 2+0:0:0:0:0, 3+0:3:0:0:3, 3+0:3:0:0:3, 4+0:3:0:0:3, 3+0:3:0:0:3, 5+0:5:1:1:4, 5+0:5:1:1:4, 4+0:3:0:0:3, 3+0:3:0:0:3, 3+0:3:0:0:3, 3+0:3:0:0:3, 5+0:3:0:0:3, 3+0:3:0:0:3, 4+0:2:0:0:2, 4+0:2:0:0:2, 6+0:4:0:0:4, 3+0:3:0:0:3, 4+0:3:0:0:3, 4+0:3:0:0:3, 3+0:2:0:0:2, 3+0:3:0:0:3, 3+0:2:0:0:2, 3+0:3:0:0:3, 159+5:111:5:2:109
Bb major (2b), 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 0+0:0:0:0:0, 8+0:4:0:0:5, 4+1:1:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 10+4:2:2:0:4, 4+0:2:0:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:1:2, 5+0:0:1:1:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 98+5:10:6:2:20
D major (2#), 6+0:4:0:0:2, 6+0:4:0:0:3, 6+0:4:0:0:3, 7+0:4:0:0:2, 4+0:4:1:0:3, 1+0:1:0:0:0, 4+0:0:0:0:1, 4+1:3:0:0:2, 6+0:4:0:0:2, 6+0:4:0:0:3, 6+0:4:0:0:3, 7+0:4:0:0:2, 5+0:3:0:0:1, 4+0:2:0:0:1, 13+4:7:2:0:6, 1+0:0:0:0:0, 3+0:3:0:0:1, 3+0:3:0:0:1, 4+0:3:0:0:1, 3+0:3:0:0:1, 5+0:5:1:1:4, 5+0:5:1:1:4, 5+0:3:0:0:2, 4+0:3:0:0:2, 3+0:3:0:0:1, 3+0:3:0:0:1, 5+0:3:0:0:2, 4+0:3:0:0:2, 5+0:2:0:0:1, 3+0:2:0:0:1, 6+0:4:0:0:2, 4+0:3:0:0:2, 5+0:3:0:0:2, 5+0:3:0:0:2, 3+0:2:0:0:2, 3+0:3:0:0:2, 3+0:2:0:0:2, 3+0:3:0:0:2, 173+5:119:5:2:74
G minor (2b), 3+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:1, 3+0:0:1:0:3, 0+0:0:0:0:0, 7+0:3:0:0:2, 3+1:0:1:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 11+4:2:2:0:5, 3+0:1:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 5+0:0:1:1:4, 5+0:0:1:1:4, 3+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 3+0:1:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:1, 115+5:7:6:2:53
B minor (2#), 6+0:2:0:0:3, 6+0:3:0:0:4, 6+0:4:0:0:5, 7+0:4:0:0:5, 4+0:4:1:0:4, 0+0:0:0:0:0, 5+0:0:0:0:0, 5+1:3:0:0:3, 6+0:2:0:0:3, 6+0:3:0:0:4, 6+0:4:0:0:5, 7+0:4:0:0:5, 5+0:2:0:0:3, 4+0:2:0:0:3, 14+3:7:2:0:8, 1+0:0:0:0:0, 3+0:3:0:0:3, 3+0:3:0:0:3, 4+0:3:0:0:4, 3+0:3:0:0:3, 5+0:5:1:1:4, 5+0:5:1:1:4, 5+0:3:0:0:4, 4+0:3:0:0:3, 3+0:3:0:0:3, 3+0:3:0:0:3, 5+0:3:0:0:3, 4+0:3:0:0:3, 5+0:2:0:0:3, 3+0:2:0:0:3, 6+0:4:0:0:5, 4+0:3:0:0:3, 5+0:3:0:0:4, 5+0:3:0:0:4, 3+0:2:0:0:3, 3+0:3:0:0:3, 3+0:2:0:0:3, 3+0:3:0:0:3, 175+4:111:5:2:129
