 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, rowcost
Eb major (3b), 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:1:0:2, 3+0:0:0:0:1,  , 2+0:0:0:0:1, 2+0:0:1:0:1, 2+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:1:0:0, 2+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:1, 4+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:1:0:0:2, 2+0:1:0:0:2, 1+0:0:0:0:1, 1+0:0:0:0:1,  , 2+0:0:1:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 57+0:3:4:0:29
A major (3#), 0+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1,  , 4+0:1:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:1, 4+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:1, 5+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0,  , 1+0:1:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 70+0:8:1:0:7
C minor (3b), 1+0:1:0:0:0, 2+0:0:0:0:1, 3+0:1:1:0:2, 3+0:1:0:0:1,  , 3+0:0:0:0:0, 1+0:0:1:0:1, 2+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:2:0:0:1, 1+0:1:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 51+0:10:3:0:12
F# minor (3#), 0+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0,  , 3+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 4+0:1:0:0:2, 4+0:1:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 4+0:0:0:0:1, 5+0:1:1:0:2, 4+0:1:1:0:2, 3+0:0:0:0:1, 2+0:0:0:0:1, 4+0:1:1:0:2, 3+0:1:1:0:2, 2+0:0:0:0:1,  , 1+0:1:0:0:1, 4+0:1:0:0:2, 2+0:1:1:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 73+0:10:6:0:32
Ab major (4b), 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:1:1:0:3, 4+0:0:0:0:2,  , 2+0:0:0:0:2, 3+0:0:1:0:1, 3+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:2, 1+0:0:0:0:1, 3+0:0:1:0:1, 3+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:1, 3+0:1:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1,  , 2+0:0:1:0:1, 4+0:0:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:1, 71+0:2:4:0:43
E major (4#), 0+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0,  , 4+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0,  , 1+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 1+0:0:0:0:0, 78+0:2:1:0:3
F minor (4b), 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 4+0:0:0:0:0,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:1:0:0:1, 2+0:1:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0,  , 2+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 65+0:5:1:0:6
C# minor (4#), 0+0:0:0:0:0, 3+0:0:1:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1,  , 3+0:1:0:0:2, 5+0:1:1:0:2, 3+0:1:1:0:1, 0+0:0:0:0:0, 1+0:1:1:0:1, 1+0:1:1:0:1, 1+0:1:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 5+0:1:1:0:3, 0+0:0:0:0:0, 2+0:0:0:0:1, 3+0:1:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:1:1, 4+0:0:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0,  , 2+0:1:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 5+0:1:0:0:2, 0+0:0:0:0:0, 70+0:10:7:1:32
Db major (5b), 0+0:0:0:0:0, 2+0:0:0:0:2, 4+0:1:1:0:3, 4+0:0:0:0:3,  , 2+0:0:0:0:2, 4+0:0:1:0:2, 3+0:0:0:0:3, 0+0:0:0:0:0, 2+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:2, 1+0:0:0:0:1, 3+0:0:1:0:2, 4+0:0:0:0:3, 2+0:0:0:0:2, 2+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:2, 3+0:0:0:0:2, 4+0:1:0:0:3, 2+0:0:0:0:2, 2+0:0:0:0:2,  , 2+0:0:1:0:1, 4+0:0:0:0:3, 5+0:0:0:0:2, 3+0:0:0:0:3, 1+0:0:0:0:1, 76+0:2:4:0:58
B major (5#), 0+0:0:0:0:0, 5+0:0:1:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1,  , 4+0:0:0:1:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0,  , 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 87+0:0:1:1:14
Bb minor (5b), 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:1:0:3, 3+0:0:0:0:1,  , 1+0:0:0:0:1, 5+0:0:1:0:2, 3+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:1:0:1, 5+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0,  , 2+0:1:1:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 69+0:4:4:0:21
G# minor (5#), 1+0:0:0:0:0, 6+0:1:0:0:4, 2+0:0:0:0:1, 4+0:0:0:0:2,  , 4+0:0:0:1:3, 3+0:0:0:0:2, 2+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:3, 3+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:1:0:2, 2+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:3, 2+0:0:0:0:2,  , 1+0:0:0:0:0, 4+0:0:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:3, 2+0:0:0:0:1, 80+0:1:2:1:51
Gb major (6b), 0+0:0:0:0:0, 3+0:0:0:0:2, 4+0:2:2:0:3, 3+0:0:0:0:2,  , 3+0:0:0:0:1, 4+0:1:2:0:3, 3+0:0:0:0:2, 1+0:0:0:0:0, 2+0:1:1:0:2, 1+0:1:1:0:1, 2+0:1:1:0:2, 0+0:0:0:0:0, 4+0:0:1:0:2, 4+0:0:0:0:3, 2+0:0:0:0:2, 2+0:0:0:0:2, 4+0:0:0:0:3, 3+0:1:1:0:3, 3+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:1, 3+0:1:1:0:2, 5+0:1:0:0:4, 3+0:0:0:0:2, 3+0:0:0:0:2,  , 1+0:0:0:0:1, 5+0:0:0:0:3, 5+0:0:0:0:3, 4+0:0:0:0:3, 2+0:0:0:0:1, 86+0:9:10:0:60
F# major (6#), 0+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0,  , 3+0:0:0:1:2, 6+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:1, 5+0:1:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 4+0:1:1:0:2, 4+0:1:1:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 5+0:1:1:0:2, 4+0:1:1:0:2, 3+0:0:0:0:1,  , 1+0:0:0:0:0, 4+0:1:1:0:2, 3+0:1:1:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 88+0:7:7:1:30
Eb minor (6b), 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:2:0:2, 2+0:0:0:0:0,  , 3+0:0:0:0:0, 3+0:1:2:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:1:1:0:1, 1+0:1:1:0:1, 2+0:1:1:0:1, 0+0:0:0:0:0, 3+0:0:1:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 5+0:0:0:0:1, 2+0:1:1:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:2:1:0:2, 4+0:1:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1,  , 1+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 72+0:10:10:0:23
D# minor (6#), 0+0:0:0:0:0, 2+0:0:1:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1,  , 3+0:0:0:1:1, 6+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:2, 0+0:0:0:0:0, 4+0:0:0:0:2, 4+0:1:2:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:2, 3+0:0:0:0:3, 4+0:1:1:0:3, 4+0:1:1:0:4, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:1:1:0:3, 2+0:1:1:0:2, 2+0:0:0:0:1,  , 1+0:0:0:0:1, 3+0:1:2:0:2, 3+0:1:1:0:2, 3+0:0:0:0:3, 2+0:0:0:0:2, 77+0:7:10:1:51
Cb major (7b), 0+0:0:0:0:0, 4+0:0:0:0:3, 3+0:2:1:0:3, 4+0:0:0:0:2,  , 4+0:0:0:0:2, 3+0:1:1:0:3, 2+0:0:0:0:2, 1+0:0:0:0:1, 2+0:1:1:0:2, 1+0:1:1:0:1, 2+0:1:1:0:2, 0+0:0:0:0:0, 5+0:0:0:0:3, 4+0:0:0:0:3, 1+0:0:0:0:1, 2+0:1:1:0:2, 3+0:0:0:0:2, 4+0:1:1:0:3, 3+0:0:0:0:2, 4+0:1:1:0:4, 3+0:0:0:0:2, 3+0:1:1:0:2, 4+0:0:0:0:3, 3+0:1:1:0:3, 2+0:0:0:0:2,  , 1+0:0:0:0:1, 4+0:0:0:0:3, 5+0:1:1:0:3, 5+0:0:0:0:4, 2+0:0:0:0:2, 84+0:12:11:0:66
C# major (7#), 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0,  , 3+0:1:0:0:1, 6+0:1:1:0:2, 3+0:1:1:0:1, 0+0:0:0:0:0, 2+0:1:1:0:1, 1+0:1:1:0:1, 2+0:1:1:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 5+0:2:2:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:1:0:2, 3+0:1:1:0:2, 3+0:0:0:0:0, 3+0:0:0:1:1, 4+0:1:1:0:2, 3+0:1:1:0:1, 2+0:0:0:0:0,  , 2+0:0:0:0:0, 3+0:1:1:0:1, 3+0:1:1:0:2, 3+0:1:1:0:1, 1+0:0:0:0:0, 81+0:15:14:1:24
Ab minor (7b), 1+0:0:0:0:0, 5+0:0:0:0:1, 3+0:2:1:0:3, 4+0:0:0:0:1,  , 4+0:0:0:0:1, 2+0:1:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:1:0:2, 1+0:1:1:0:1, 2+0:1:1:0:2, 0+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:1, 2+0:1:1:0:1, 2+0:0:0:0:1, 3+0:1:1:0:1, 2+0:0:0:0:0, 3+0:1:1:0:2, 4+0:0:0:0:1, 3+0:1:1:0:1, 3+0:0:0:0:0, 3+0:1:1:0:1, 2+0:0:0:0:0,  , 1+0:0:0:0:1, 4+0:0:0:0:1, 4+0:1:1:0:1, 5+0:0:0:0:2, 2+0:0:0:0:1, 79+0:12:11:0:28
A# minor (7#), 0+0:0:0:0:0, 2+0:0:0:0:1, 3+0:1:0:0:2, 2+0:0:0:0:1,  , 1+0:0:0:0:0, 6+0:2:1:0:5, 3+0:1:1:0:3, 0+0:0:0:0:0, 1+0:1:1:0:1, 2+0:1:1:0:1, 1+0:1:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:2, 5+0:2:2:0:4, 1+0:0:0:0:1, 2+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:2, 3+0:1:1:0:2, 3+0:1:1:0:3, 1+0:0:0:0:0, 3+0:0:0:1:2, 4+0:1:1:0:3, 4+0:1:1:0:2, 2+0:0:0:0:2,  , 3+0:0:0:0:1, 2+0:1:1:0:2, 3+0:1:1:0:3, 2+0:1:1:0:2, 0+0:0:0:0:0, 70+0:16:14:1:51
