 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, rowcost
C major (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:2, 6+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:0:1:2, 3+0:0:0:0:0, 10+1:0:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:0:1:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 115+1:0:1:2:21
A minor (0), 1+0:0:0:0:0, 2+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 7+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:2, 4+0:0:1:0:3, 0+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:2, 7+0:0:0:1:4, 3+0:0:0:0:2, 9+1:0:0:0:1, 2+0:0:0:0:2, 4+0:0:0:0:2, 7+0:0:0:1:4, 3+0:0:0:0:2, 1+0:0:0:0:0, 113+1:0:1:2:51
A minor mel (0), 2+0:0:0:0:0, 3+0:0:0:0:2, 4+0:0:0:0:1, 5+0:0:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 6+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 6+0:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:1, 5+0:0:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 5+0:0:1:0:3, 0+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:0, 5+0:0:0:0:2, 7+0:0:0:1:4, 4+0:0:0:0:2, 10+1:0:0:0:1, 3+0:0:0:0:2, 5+0:0:0:0:2, 7+0:0:0:1:4, 4+0:0:0:0:2, 1+0:0:0:0:0, 138+1:0:1:2:51
C major blues (0), 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:2, 5+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:2, 6+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:0:1:2, 4+0:0:0:0:0, 13+1:0:0:0:3, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:0:1:2, 4+0:0:0:0:0, 1+0:0:0:0:0, 156+1:0:1:2:21
A minor blues (0), 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:2, 5+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:2, 6+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:0:1:2, 4+0:0:0:0:0, 13+1:0:0:0:3, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:0:1:2, 4+0:0:0:0:0, 1+0:0:0:0:0, 156+1:0:1:2:21
C dorian (0), 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:2, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:0:1:2, 4+0:0:0:0:0, 11+1:0:0:0:3, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:0:1:2, 4+0:0:0:0:0, 1+0:0:0:0:0, 140+1:0:1:2:21
C phrygian (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:0:1:2, 2+0:0:0:0:0, 11+1:0:0:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:0:1:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 103+1:0:1:2:21
C lydian (0), 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:2, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:0:1:2, 4+0:0:0:0:0, 11+1:0:0:0:3, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+0:0:0:1:2, 4+0:0:0:0:0, 1+0:0:0:0:0, 140+1:0:1:2:21
C mixolydian (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:2, 5+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:0:1:2, 2+0:0:0:0:0, 11+1:0:0:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:0:1:2, 2+0:0:0:0:0, 0+0:0:0:0:0, 103+1:0:1:2:21
C aeolian (0), 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:2, 6+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:0:1:2, 3+0:0:0:0:0, 10+1:0:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:0:1:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 115+1:0:1:2:21
